"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
3000,100,111,1,8,2,0,NA,290.1,119.4
4450,100,87,1,21,270,263,NA,154.6,93
6000,100,67,1,35,486,480,85,95,36.8
22300,100,87,1,5,29,28,50,195.1,88.2
151039.5,100,111,1,15,1,0,82,192.9,77.9
9560,100,57,1,21,372,360,NA,120.2,74.1
18000,100,52,1,20,269,260,27,164.9,112.8
16115,100,75,1,7,164,159,NA,186.8,104.6
5000,100,98,1,13,177,172,NA,158.7,92.3
2464,100,32,1,12,42,41,NA,103,61.1
3000,100,116,1,8,71,70,NA,177.6,97.1
12522,100,18,1,16,3,0,45,209.3,89.4
7825,100,62,1,6,145,144,NA,187.6,96.8
23600,100,62,1,14,234,229,65,114.7,67.3
11130,100,89,1,15,104,96,64,125.8,70.1
17250,100,111,1,11,13,0,71,187.5,94.1
7575,100,113,1,10,15,1,95,77.7,53.3
20000,100,104,1,6,6,0,67,155.5,71.8
9116,100,54,1,20,182,175,95,108.8,63.6
206442,100,46,1,7,12,0,11,470.7,187.3
9090,100,62,1,20,273,267,27,145.1,125.7
24345,100,52,1,25,330,323,NA,110.8,81.7
8370,100,58,1,7,95,92,38,210.4,126.5
36854,100,89,2,5,40,39,NA,167.2,91.4
15680,100,91,1,21,426,420,NA,143.9,90.5
13400,100,58,1,12,120,119,78,168.7,88.4
5200,100,57,1,16,113,107,NA,136,81.1
21500,100,57,1,7,186,182,NA,62.8,39.1
5200,100,55,1,6,86,83,80,95.3,52.2
14500,100,110,1,12,78,77,32,203.2,74
15000,100,92,1,6,8,0,95,85.4,61
2100,100,91,3,6,170,169,NA,165.8,101.7
3000,100,87,1,8,87,86,NA,130.2,62.2
11150,100,59,1,17,162,160,39,174,96.7
24010,100,109,1,10,14,0,86,151.3,67.4
9456,90,87,1,10,5,0,98,537.1,175
17618,100,86,1,17,24,0,78,223.2,82.2
4428,100,14,1,14,143,142,NA,168.7,72.7
12816,100,58,1,6,85,82,63,227.5,139.1
12980,100,57,1,21,425,416,NA,146.5,99.9
1920,100,56,1,20,139,135,NA,128.2,80.5
5340,100,105,1,12,20,19,NA,75,43.4
10006,100,56,1,15,155,150,84,120.6,67
2050,100,57,1,17,163,160,NA,107.1,70.7
5084,100,86,1,20,162,159,71,121,80.3
3862,100,87,1,16,207,200,NA,162,109.1
9495,100,19,1,7,25,22,NA,85.4,50.2
5331,100,107,1,17,131,128,57,124.8,81.5
12971,100,107,1,6,2,0,1,564.8,244
10000,100,103,1,4,3,0,NA,138.8,58
4810,100,47,1,21,58,57,NA,231.5,113.1
7189,100,7,1,10,37,35,16,141.2,50.3
10000,100,6,1,13,112,111,75,133.3,62.6
12389,90,12,1,14,337,336,25,178.8,99.6
9342,100,106,2,6,2,0,81,157,67.4
15364,100,8,1,13,96,90,89,83.8,33.7
7252,100,3,1,33,391,390,NA,168.8,81.5
14649,95,81,1,8,30,0,75,202.1,110.3
3600,0,104,2,3,28,0,NA,35.9,11.4
26107,100,94,1,4,10,0,22,361.2,124.3
157112,100,83,1,8,62,0,NA,387.5,153.8
10663,100,8,1,23,399,394,37,148.1,82.6
13788,100,5,2,12,99,98,62,214.8,102.9
5500,100,79,1,6,66,64,62,117.4,80
9897,100,57,1,16,219,217,73,115.5,58.4
15000,100,86,1,21,222,221,NA,138.2,79.1
9020,100,111,1,13,77,75,98,84.7,29.1
116917,100,17,1,33,345,333,38,169.1,78.4
9500,100,101,1,24,7,0,82,210.8,81.2
45637,95,87,1,14,253,252,73,139.1,75.2
23700,100,90,1,25,35,0,NA,157.5,61.6
5118,100,90,1,23,58,0,NA,163.9,84.1
9606,100,90,1,16,21,0,91,113.9,62.4
10600,100,10,1,24,572,569,NA,172.1,89.3
20000,100,88,1,23,28,0,84,170.2,71.7
11932,100,112,8,5,120,102,19,214.6,124.8
6152,100,80,1,6,121,113,24,151.5,93.1
5070,100,87,1,19,180,175,85,106,66
4575,100,107,1,12,12,11,NA,170.1,83.7
13168,100,110,1,10,32,31,78,119.1,67.5
6400,100,104,1,12,20,19,NA,87.6,50.1
3488,100,78,1,15,199,196,NA,180,113.6
6552,100,54,1,14,133,130,33,188.6,99.5
14760,100,77,1,6,85,77,86,96,66.7
10000,100,90,1,18,266,262,NA,144.6,82.4
39071,100,107,1,19,357,352,29,186.1,89
7500,100,92,1,12,43,25,74,113.9,74.8
34200,100,105,1,12,14,0,NA,138.9,67.4
10000,100,92,1,6,43,0,91,78.5,40.1
15183,100,97,1,16,74,0,94,107.5,58.7
5160,90,89,1,17,50,1,90,141.1,66.5
15000,100,107,1,17,0,0,93,126.8,50
148978,100,47,3,57,451,0,73,236.1,139.2
5600,100,93,1,16,0,0,NA,113.2,55.5
13996,100,7,1,39,349,348,100,66.3,28.2
4420,100,93,1,14,37,0,NA,111.2,64
7500,100,93,1,16,44,0,NA,127.1,66.1
11957,100,91,1,16,28,0,91,139.4,69.8
18250,100,93,1,17,17,0,88,137.9,61.1
15000,100,93,1,16,13,0,NA,157.3,70
10415,100,93,1,12,10,0,55,225.6,104.7
8000,100,95,1,13,0,0,NA,111.6,44.9
6550,100,110,1,10,12,0,93,114,54
54900,100,96,1,12,15,0,NA,218.8,91.1
5500,100,115,1,13,108,104,NA,139.4,65.2
6250,100,88,1,17,30,0,96,95.7,47.4
8000,100,93,1,14,0,0,79,157.2,65.4
16329,100,90,1,21,67,0,NA,119.5,38.1
12000,100,107,3,12,104,0,NA,99.7,35.6
9000,100,91,1,18,123,0,92,114,62.2
4000,100,92,1,20,65,0,NA,147.2,71.7
9858,100,92,1,16,1,0,NA,141.5,87.4
9000,100,107,1,12,15,0,84,120.3,52.7
9800,100,93,1,23,30,0,NA,193,81.3
13800,100,94,1,12,13,0,74,179,77.2
4000,100,93,1,14,25,0,NA,120.9,57.4
12277,100,90,1,20,61,0,54,194,85.4
8700,100,67,1,6,58,56,71,107.8,75.8
8500,100,79,1,7,65,64,71,96.4,57.6
4711,100,108,1,8,29,28,NA,115.3,76.4
5836,100,9,1,14,40,38,38,153.5,64.3
11955,100,16,1,15,259,254,2,217.2,131
17627,100,108,1,7,23,21,68,86.1,54.9
33000,100,116,1,8,8,0,NA,161.1,65.9
4231,100,79,1,6,62,58,NA,107.8,68.2
7500,100,106,1,12,13,0,88,127.9,55.1
120000,100,107,1,5,7,0,19,371.9,147.5
5544,100,106,1,12,8,0,94,126.6,62.6
15772,100,9,1,40,203,202,21,150.1,64.1
5700,100,106,1,12,11,0,NA,105.3,40.8
7650,100,47,1,12,9,0,96,100.5,42.4
5896,100,104,1,12,19,0,75,204.6,94.9
10000,100,106,1,12,18,13,NA,77.2,53.1
8250,100,107,1,12,14,0,93,107.3,48.9
5658,100,95,1,9,27,25,93,75.3,30.9
4816,100,67,1,12,9,0,NA,196.3,71.2
5000,95,107,1,12,0,0,91,111.5,47.3
8000,100,107,1,12,20,0,83,116.7,47.8
6000,100,107,1,12,4,0,37,207.8,88.8
4827,100,105,1,12,13,0,NA,121.1,56.9
4600,100,105,1,12,42,0,NA,118.4,54.5
5600,100,106,1,12,12,0,80,148.8,63.1
18442,100,88,1,19,50,45,NA,97.4,51.7
2200,100,87,1,22,27,0,NA,162.6,68.9
7826,90,90,1,25,280,0,91,134.8,56.7
50000,100,97,2,8,4,0,NA,247.7,150.2
154038,100,107,1,12,82,0,86,166.4,57.9
6750,100,92,1,14,70,0,11,533.6,203.7
272412,100,107,1,9,10,0,76,164,64.6
96407.4,80,63,1,25,1051,0,84,142.1,62
2169496,100,115,1,19,1,0,85,185.8,60.9
56730,100,102,1,12,116,0,79,215.7,84.1
13852,100,92,2,24,111,0,88,163.9,60
10000,100,95,1,12,39,0,88,139,57.5
8100,100,96,1,16,3,0,74,182.3,73.1
10293,100,106,1,22,34,0,91,114.2,53.5
8092,100,94,1,22,25,0,92,120.6,55
21110,100,92,1,21,65,0,91,224.4,83.4
7000,100,103,1,12,13,0,89,133.1,46.9
15727,100,89,1,17,120,0,74,188.7,76.9
19704,75,67,1,42,352,0,78,165.4,82.3
5929,100,52,2,20,245,239,NA,129,84.9
2500,100,31,1,21,51,50,NA,137.8,77.4
5600,100,111,1,11,7,0,48,220.3,84.4
8790,100,67,1,15,33,11,NA,220.1,108.3
31000,100,116,1,11,20,0,NA,174.4,67
5000,100,115,1,11,19,0,74,195.8,79.9
27130,100,111,1,7,70,67,20,183,64.5
