"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
93725,100,8,1,16,1,0,NA,561.8,250.1
30840,100,14,2,6,1,0,6,367.8,147.9
137060,95,30,6,4,41,0,NA,355.6,145.2
23000,100,70,1,4,4,0,33,298.9,95.3
1045,100,30,1,17,110,109,NA,140,81.2
5094,100,63,1,12,21,0,NA,198.9,76.1
8460,100,60,1,26,41,0,84,162.9,69.6
42859,60,62,1,12,4,0,NA,143,75.6
2000,100,53,2,25,253,250,NA,136.5,89.1
3584,100,32,2,8,27,23,NA,121.6,59.9
2300,100,88,1,10,69,68,NA,98.8,62.9
1656,100,51,1,30,174,174,NA,125.1,76.3
2000,100,32,1,9,34,32,NA,127.3,70
1200,100,90,1,27,200,198,NA,143.3,86.5
24378,100,52,1,6,215,214,5,232.8,136.2
20000,100,111,1,11,13,0,71,187.5,94.1
4200,100,94,1,15,153,144,NA,94.5,56.9
5000,100,54,2,13,105,102,62,116.8,76.1
15400,100,110,1,12,78,77,32,203.2,74
2000,100,87,1,8,87,86,NA,130.2,62.2
15000,100,90,1,18,50,0,62,238.3,100.5
5000,100,90,1,20,0,0,82,163.2,73.6
9515,100,47,1,8,8,0,4,357.9,128.4
15000,100,93,1,16,13,0,NA,157.3,70
9153,100,32,1,9,14,13,NA,186.3,94.1
1327,100,15,1,12,49,49,NA,154.7,87.7
237000,100,116,1,6,8,0,59,270.1,102.8
131467,90,86,1,27,50,0,61,236.6,99.6
7500,95,107,1,12,0,0,91,111.5,47.3
9000,75,89,1,23,62,0,87,134,58
5400,100,44,1,6,111,108,NA,132.4,74.8
14000,100,111,1,19,2,0,85,156.4,60.8
17000,100,106,1,12,135,134,21,158.3,84.7
23596,100,105,1,12,20,0,NA,144.6,54.1
3116,95,89,1,22,47,0,NA,158.7,82.7
16338,100,62,1,13,136,122,77,107,65.2
4151,100,78,1,20,102,96,NA,139.3,96.7
15629,100,68,1,13,119,108,83,105.9,62.8
18000,100,97,1,10,44,40,76,121,74.4
2100,100,65,1,15,200,198,NA,109.2,64.4
5000,100,77,1,17,132,131,69,111.2,70.8
5000,100,61,1,20,228,224,19,179,116.7
65948,100,97,1,13,65,0,100,66,49
90492,100,108,1,12,19,0,78,192.2,88.7
4300,100,20,1,22,185,183,NA,151.6,88.3
3000,100,95,2,16,102,100,NA,182.2,120.8
3600,100,62,1,18,150,145,NA,120,62.3
6000,100,93,1,12,77,74,88,95.8,68.8
5500,100,67,1,16,119,113,NA,112.2,71.1
3000,100,51,1,24,117,115,NA,121.3,66.3
11755,100,43,1,26,112,108,NA,124.3,69.6
2000,100,93,1,14,106,106,NA,168.4,102.3
38000,100,44,1,32,277,270,44,156.7,89.4
8849,100,116,1,10,161,127,79,120,49.6
2400,100,56,1,20,330,326,NA,103.1,66.6
4000,100,58,1,16,194,189,NA,135,81
5000,100,45,1,19,167,165,67,122.1,74.5
8994,100,14,1,14,81,80,4,229.6,120.2
2000,100,65,1,33,311,300,NA,76.4,26.9
156684,100,53,1,12,2,0,83,149.7,47.7
1832,100,87,1,17,211,202,NA,108.6,66.4
77307,100,108,1,10,26,0,NA,195.8,72.6
3006,100,56,3,21,1120,1118,NA,116.2,85
404375,100,89,1,13,14,0,48,350.1,111.7
6026,100,52,1,32,587,586,61,137.7,98.2
108161,100,52,1,7,4,0,1,649.2,233.3
5300,100,92,1,15,67,65,32,150,76.4
24000,95,87,1,9,42,35,57,130.5,90.5
4730,100,89,1,16,63,60,NA,101.2,65.1
7854,100,67,1,18,80,79,10,187.5,117.3
6800,100,79,1,17,78,75,86,81,58.4
9279,100,52,1,17,147,142,43,151,89.4
21552,100,13,1,18,149,145,NA,198,99
5000,100,97,1,11.5,73,73,NA,82.1,50.7
6000,100,88,1,15,94,92,90,87.5,57.8
2560,100,101,1,9,35,31,NA,108.9,76
10000,100,53,1,36,504,497,26,151.2,103.9
3000,100,63,1,13,64,64,NA,74.1,39.2
2000,100,89,1,15,102,102,NA,80.6,48.6
9481,100,114,1,12,149,137,31,160.1,98.5
87674,100,31,1,51,508,498,5,237.3,116.3
1025,100,112,1,12,66,59,NA,91.1,67.5
1025,100,112,1,12,80,75,NA,97.4,69.9
3000,100,30,1,19,94,93,NA,181.1,93
1740,100,49,1,27,302,301,NA,238.8,157.2
4000,100,52,1,29,458,452,NA,112.6,60
1955,100,90,1,15,86,83,NA,114.4,56.7
5608,100,57,2,28,442,432,68,112.2,63.3
45030,100,100,1,14,60,58,66,162.9,133.1
5050,100,88,1,16,134,128,99,62.4,41.2
