"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
3889181,100,48,6,22,0,0,55,404.3,229.8
2971874,100,85,9,27,1,0,55,414.2,359.9
105518,100,8,1,16,1,0,NA,561.8,250.1
138068,100,48,1,9,1,0,3,721.5,388.3
430679,100,54,1,49,736,729,100,150.8,48
309327,100,93,1,10,1,0,100,72.4,23.1
308328,100,93,1,19,148,148,100,242.1,188.5
340155,100,64,1,8,0,0,25,552.1,274.6
160000,100,53,1,6,2,0,NA,360.7,155.3
221252,80,49,1,14,40,0,62,216.1,76.2
5200,100,89,1,16,155,149,68,111,75.4
338424,100,38,1,17,1,0,64,465.9,215.2
9750,100,15,6,27,255,254,13,159.4,98.2
38000,100,101,2,10,2,0,41,263,130.1
1440,100,105,1,12,46,45,59,124,80.9
3000,100,95,1,14,25,23,74,97.2,55.4
1650,100,90,1,16,64,62,72,105.6,72.5
2000,100,100,1,17,39,36,34,145.1,90.5
3555,100,93,1,14,18,15,NA,112.7,63.8
4000,100,103,1,12,14,12,NA,130.5,69.9
2400,100,69,1,20,170,162,NA,173.5,98.2
4000,100,87,1,19,40,33,14,170,91.4
1500,100,90,1,14,23,21,57,118,70.9
1625,100,80,1,17,35,34,80,124.8,79.9
3100,100,58,1,18,50,48,82,97,58.5
1700,100,93,1,15,31,29,76,99.3,64.1
1600,100,86,1,19,43,40,29,149.9,84.8
2000,100,79,1,18,32,32,32,132.4,73.8
1275,100,91,1,15,21,20,NA,117.1,68.9
1200,100,57,1,16,136,131,12,153.3,85.9
3800,100,102,1,15,52,48,1,233.1,109.4
3200,100,89,1,11,81,65,36,119.5,68.6
5450,100,55,1,16,55,53,7,166.5,101.1
3957,100,112,1,11,19,17,36,151.3,94.3
4000,100,93,1,11,21,21,71,118.7,77.1
1217,100,93,1,12,31,29,66,100.4,65.4
2000,100,54,1,20,44,39,96,97.7,49.6
4200,100,103,1,12,51,45,75,114.9,66.7
1444,100,94,1,11,45,43,56,120.5,86.4
3600,100,77,1,20,88,82,72,99.4,55.6
2200,100,70,1,20,80,78,69,112.2,69.9
59000,100,59,1,7,67,67,NA,17.5,5.6
2200,100,87,1,16,35,33,83,100.2,64.6
492654,100,78,1,37,499,490,NA,6.7,2.1
82200,100,67,1,6,1,0,NA,192.5,72.4
512295,100,62,1,12,1,0,NA,501.5,159.7
211990,100,29,1,12,103,103,NA,215.9,69.1
5000,100,53,2,18,248,245,NA,215.7,151.5
6580,100,29,1,39,146,146,NA,448.8,179.2
53677,100,110,1,11,32,15,NA,291.2,92.7
1200,100,87,1,14,14,12,NA,147.5,84.7
1476,100,89,1,14,15,14,NA,132.7,75.6
2300,100,88,2,14,25,22,81,110.5,59.1
1625,100,91,1,13,13,13,NA,149.5,79.1
2605,100,101,1,13,70,66,86,129.2,76.3
1400,100,92,1,12,66,60,89,92.4,59.8
3500,100,57,1,20,94,90,57,116.8,68.2
2500,100,57,1,20,56,54,72,118.2,76.2
1981,100,87,1,14,14,13,NA,140.1,86.7
3300,100,56,1,21,48,45,5,183.2,121.1
4133,100,90,1,15,45,43,44,108,74.6
3800,100,77,1,19,93,89,82,97.7,61.1
2200,100,91,1,14,42,40,81,108.1,66.4
1808,100,88,1,17,74,74,89,103.1,70.7
5344,100,90,1,15,63,59,100,141.5,86.6
4930,100,102,1,13,53,49,68,114.6,79.2
2200,100,100,1,9,34,31,92,102.8,71.6
3000,100,78,1,13,67,64,71,109.2,76
3200,100,94,1,14,64,61,92,92,54.1
1800,100,56,1,18,149,148,80,110.6,70.6
56964,100,20,1,5,3,0,NA,251.3,97.8
1976,100,11,1,19,97,96,3,186.2,92
5487,100,15,1,22,213,211,45,168,92.4
17409,100,90,1,5,4,0,NA,225,92.5
42500,100,80,1,6,1,0,NA,152.8,49.8
68787,100,67,1,6,2,0,100,278.7,116.9
308789,100,26,2,3,1,0,50,481.2,237.1
1533,100,88,1,6,77,67,44,151.6,105
447195,100,78,1,11,1,0,NA,378.4,139.6
68952,100,86,1,2,1,0,NA,969.3,721.6
204433,100,95,1,5,1,0,NA,79.1,25.8
224650,100,90,4,10,1,0,57,529,482
64600,100,67,1,6,1,0,100,373.4,157.4
137200,100,88,2,7,1,0,96,330.5,167.9
172268,100,40,4,5,1,0,40,506.1,303.7
617570,100,60,1,7,1,0,58,417.1,249.1
80844,100,67,2,4,1,0,100,145.7,49.7
469000,100,86,3,5,1,0,5,615.5,276.9
7e+05,100,34,1,13,1,0,100,240.8,77.3
292230,100,57,2,9,0,0,100,263,182.1
71500,100,46,1,2,3,0,81,426,163.9
113300,100,88,1,5,1,0,70,448.9,216
131151,100,62,1,3,1,0,100,339,147.4
190934,100,66,5,10,1,0,53,634.9,350.6
56433,100,46,1,3,1,0,NA,268.7,104.3
590371,100,39,3,8,1,0,63,536.3,284.7
187274,100,59,3,4,1,0,70,384.2,191.5
171780,100,7,1,3,1,0,12,547.8,253.8
124800,100,55,1,4,1,0,100,229.4,148.8
546365,100,114,7,7,1,0,72,390.5,205.7
67925,100,48,1,6,1,0,100,175.1,144.9
54000,95,30,1,1,1,0,NA,376.7,137.8
76866,100,42,2,3,3,0,NA,210,95.6
220240,100,67,2,3,200,0,37,613.3,400.3
