"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
288790,95,102,5,8,1,0,66,346.1,213.4
16447,100,17,1,14,218,218,3,227.1,104.5
64260,90,8,1,6,1,0,2,415.3,196.9
51339,90,18,1,6,86,85,91,167.3,104.5
171126,100,91,1,22,215,0,NA,251.8,148
238000,100,77,1,16,2,0,93,195,108.8
69803,100,43,1,6,1,0,37,296.2,153.5
125992,100,41,1,15,2,0,8,351.4,163.9
92065,100,97,1,10,240,240,41,271.2,127.1
213241,100,28,3,6,264,264,43,206,108.6
83500,95,46,1,6,1,0,27,236.5,145.1
90550,95,42,1,7,1,0,20,308,122.2
91405,100,38,1,6,1,0,66,217.5,134.9
136164,100,10,1,7,1,0,82,188.9,104.2
57600,100,47,1,6,1,0,NA,276.3,161
89500,95,43,1,5,1,0,9,293.2,121.8
188760,100,43,5,5,1,0,34,271.3,191.3
486162,100,83,3,8,1,0,87,178.7,104.7
65625,100,47,1,7,1,0,NA,385.1,261
77403,100,44,1,5,1,0,31,216.2,118.8
74400,100,45,3,7,1,0,34,280.7,169.4
107658,100,40,6,6,1,0,41,228.9,177.3
158840,100,77,1,4,1,0,29,199.8,122.2
127800,100,46,1,8,143,143,93,131.7,79.9
114000,100,15,3,4,25,25,18,186,92.9
58795,100,42,1,6,1,0,28,331.2,164.5
70700,100,50,2,7,1,0,5,368.5,225.6
259241,100,81,10,7,1,0,99,117.7,116.5
163000,100,17,1,14,205,205,9,234.3,133.1
135135,100,89,1,5,1,0,87,180.6,117.9
59479,100,49,1,6,1,0,23,295.7,168.5
135000,100,24,1,5,288,288,57,243.9,108.1
173640,100,57,2,6,3,0,46,258.4,155
2000,100,9,3,8,137,136,NA,145.1,51.8
96000,100,24,2,7,1,0,21,295.9,142.1
118230,100,42,2,5,1,0,2,412.8,198.6
121000,100,41,1,4,1,0,52,242.7,134.7
100479,100,39,1,6,0,0,67,204.9,155.4
77800,90,23,1,5,98,98,86,125.4,90.1
50840,100,42,1,4,210,0,NA,204.2,103.6
130500,100,21,1,4,1,0,40,315.4,176.8
61994,100,58,1,5,1,0,20,310.6,129.9
122676,100,42,1,6,200,200,76,200.5,87.7
111667,100,49,1,8,1,0,23,247.7,151.4
60975,100,46,1,6,120,120,7,198.3,117.8
83526,100,86,1,5,110,0,99,136,75
15164,100,16,6,5,86,86,NA,375.8,273.5
99941,100,43,1,8,1,0,61,234.2,88.3
120618,100,86,5,9,0,0,7,383.7,212.3
153600,100,47,1,7,1,0,14,261.6,155.1
272100,100,25,1,7,1,0,56,147.5,83.9
106000,90,48,2,5,1,0,NA,358.6,220
123140,100,42,1,7,1,0,22,293.8,167.4
130147,100,42,1,7,1,0,10,304.9,125.9
125835,100,11,1,4,1,0,11,233.1,129.8
275000,100,32,3,3,0,0,12,244,108.1
66242,100,48,1,6,1,0,33,269.1,135.8
89472,100,41,1,5,1,0,89,169.2,103.9
159572,100,17,1,9,1,0,80,182.5,101.5
150000,100,22,1,8,1,0,55,222.8,130.2
97800,100,91,1,3,1,0,80,191.9,116.7
66462,100,56,1,7,1,0,60,227.8,137.6
62907,100,47,1,6,1,0,30,299.5,173.2
118864,100,16,1,10,102,102,26,161.4,88.1
66223,100,45,1,6,0,0,62,254.2,90.2
120450,100,45,1,10,1,0,31,275,165.6
51723,100,43,1,8,1,0,90,206.9,122.9
76200,100,46,1,6,1,0,NA,258.9,143.5
80703,100,46,2,6,0,0,12,331.2,129.2
76000,100,49,1,6,0,0,60,228.1,78
55969,100,60,2,3,1,0,58,376.1,220.7
167073,100,22,1,9,1,0,34,173.6,100.1
87106,95,43,1,6,1,0,49,236.7,146.3
95000,100,67,1,6,1,0,67,210.5,121.8
101640,100,20,1,10,1,0,1,449.8,230.7
69200,100,48,1,6,1,0,35,281.8,148.9
295126,100,46,4,11,1,0,23,286.3,180.2
97081,95,58,1,5,1,0,6,239.7,98
381993,100,45,1,8,0,0,7,313.8,194.3
144700,100,8,2,4,1,0,64,217.3,95.5
273882,100,27,2,5,1,0,91,152,64.8
113240,90,41,1,9,0,0,46,245.5,135
95412,100,67,1,4,0,0,2,399.4,280.5
98642,100,57,1,5,0,0,53,235,128.5
149000,100,42,1,12,1,0,3,308.5,182.2
139450,100,47,2,5,1,0,54,172,96
95300,100,43,1,6,2,1,10,334.2,146.7
97800,100,43,3,5,1,0,95,147.5,66.5
87036,100,42,3,6,1,0,30,273.9,172.6
75000,100,41,2,6,1,0,76,133.6,75.6
70000,100,48,2,6,1,0,14,300.9,171.4
92595,100,50,1,4,1,0,27,287,158.5
502197,100,87,15,6,4,0,99,113.1,36
129333,100,25,1,4,1,0,35,288.7,157.1
72673,100,45,2,5,1,0,2,423.3,329.1
74429,100,44,1,6,1,0,24,184,111.6
109000,100,42,2,10,1,0,37,171.5,61.2
53856,100,12,1,5,1,0,49,213.1,124.4
211000,100,24,2,8,1,0,60,261.8,145.7
170000,100,45,1,6,1,0,6,331,181.4
