"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
59125,100,101,1,2,3,0,NA,22.1,9.8
167272,100,53,2,1,2,0,93,19.2,8.6
99750,90,53,2,1,1,0,96,18.4,17.1
48000,100,86,1,4,4,0,74,62,29.6
80000,100,71,1,1,1,0,88,34.7,12.7
319284,100,29,1,2,1,0,86,39.6,18.7
154639,5,67,1,5,1,0,NA,52.9,33.9
153000,100,62,1,3,1,0,29,59.1,35
26000,100,97,1,4,66,63,NA,147.2,84.5
49000,100,57,1,1,1,0,NA,175.7,64.1
102980,100,48,1,1,2,0,34,143.9,66.2
130000,100,49,1,2,1,0,99,19.7,6.7
57441,100,17,1,3,1,0,89,41.1,17.6
91476,100,16,1,3,1,0,75,37.5,28
75886,100,8,2,4,1,0,NA,53.1,19.1
85600,100,47,1,1,1,0,91,36.4,22.4
107435,100,60,1,1,1,0,NA,60.8,22.5
120000,100,60,1,1,1,0,79,59.5,44.4
423828,100,46,1,2,11,0,63,98.8,42
66000,100,57,1,1,2,0,22,173.2,92
77000,100,46,1,1,2,0,81,43.1,19
58000,100,54,1,1,1,0,77,118.5,87.6
70875,100,55,1,1,1,0,3,188.3,85.5
96500,100,50,1,1,1,0,100,6.8,6.2
68000,100,55,1,1,1,0,37,123.4,81.1
88000,100,38,1,2,3,0,NA,35.8,11.5
111756,100,77,1,4,3,0,86,51.7,30.4
176814,100,98,1,6,136,0,82,116.8,50.8
110821,100,8,1,5,1,0,61,34,15.4
71172,100,11,1,3,2,1,72,42.9,21.8
90000,100,77,1,1,2,0,8,159.1,61.6
160534,100,30,5,2,1,0,90,29.7,14.1
62108,100,70,1,1,1,0,23,117.1,103.8
340000,100,45,1,2,1,0,82,47.6,26.2
177386,100,46,1,1,1,0,39,83,53.4
60117,100,11,1,3,1,0,44,53.7,23.8
153400,100,77,2,3,2,0,NA,141.8,53.8
59022,100,55,1,1,1,0,35,105.8,36.5
80000,100,86,3,2,1,0,64,74.8,34.7
106000,100,97,1,1,4,0,NA,128.1,73.6
86937,0,86,4,4,1,0,NA,10.7,3.4
29500,100,50,1,1,6,0,50,128,69.6
21500,100,11,2,2,3,0,1,993.8,469.7
90000,100,63,1,3,1,0,80,194.1,80.5
55580,100,101,1,4,15,0,92,44,25.8
13364,100,101,1,4,4,0,98,44.8,19.9
190100,100,52,1,3,1,0,60,147.4,72.3
116445,100,16,1,3,1,0,98,25,10.3
61284,100,52,1,2,1,0,79,67.7,35.6
98290,100,55,1,2,1,0,NA,66.4,45.6
33000,100,66,1,6,6,0,NA,131.3,89.1
60460,100,86,2,4,10,0,NA,61.6,31.3
54500,0,53,1,1,1,0,84,51.6,31.7
59780,100,74,1,2,2,0,55,129.9,51.6
54000,100,72,1,3,3,0,NA,388.5,219.6
141000,100,91,1,4,1,0,NA,138.8,69.4
115313,100,100,2,5,4,0,40,106,55.7
47500,100,86,1,3,1,0,91,56.8,32.6
80000,100,92,2,6,28,0,20,118.9,62
55150,100,62,1,1.5,1,0,52,57.5,30.2
