"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65","SOURCE_EUI","SourceEnergy","FINALWT","SourceEnergyLog"
-66462.98,5.7,-209.33,-302.04,"No",9.64,1227.92,187.32,7024363.5,653.84,15.76
496037.02,9.7,1265.67,1395.96,"No",9.64,72.92,257.53,154516125.89,23.25,18.86
-32962.98,-2.3,-110.33,-125.04,"No",1.64,-519.08,131.16,9312410.82,360.22,16.05
291037.02,3.7,865.67,1084.96,"No",9.64,323.92,229.62,90699590.61,48.84,18.32
46037.02,-2.3,-34.33,-64.04,"No",4.64,231.92,237.86,35679153.12,24.43,17.39
-87462.98,-17.3,-222.33,-306.04,"No",9.64,-81.08,314.87,5195395.1,1117.74,15.46
896037.02,105.7,3265.67,4181.96,"No",9.64,-412.08,269.44,269439803.4,15.95,19.41
696037.02,-2.3,2139.67,3429.96,"No",9.64,188.92,162.31,129849378.4,25.32,18.68
191037.02,27.7,965.67,791.96,"Yes",-5.36,-657.08,129.29,38140115.73,86.87,17.46
-93712.98,-22.3,-220.33,-309.04,"No",-10.36,-741.08,215.84,2212380.97,1155.43,14.61
-94062.98,-22.3,-217.33,-313.04,"No",9.64,-705.08,80.86,800482.9,1559.83,13.59
-102762.98,-22.3,-231.33,-327.04,"No",-10.36,167.92,149.25,179100.25,1667.76,12.1
-99012.98,-18.3,-228.33,-322.04,"No",9.64,-1227.08,63.11,312379.9,1868.4,12.65
-100862.98,105.7,-231.33,-325.04,"No",9.64,-949.08,87.92,272554.74,1868.4,12.52
-83962.98,-22.3,-214.33,-302.04,"No",-50.36,465.92,36.71,734197.1,692.22,13.51
56037.02,-22.3,315.67,669.96,"No",9.64,-1392.08,1044.59,167134595.3,52.66,18.93
376037.02,0.7,1265.67,786.96,"Yes",-5.36,-572.08,271.54,130341493.55,16.67,18.69
-62962.98,-2.3,-134.33,-197.04,"No",9.64,2353.92,188.45,7726446,74.84,15.86
