"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",122,29,29,0.434,0.255,417.165
"2","C1",1,"Reg","SiteEnergyUse",122,29,29,0.906,0.877,621211155994.189
"3","C1a",1,"Reg-Lasso","SourceEUI",122,2,2,0.155,-0.149,736.689
"4","C1a",1,"Reg-Ridge","SourceEUI",122,33,33,0.341,0.104,734.271
"5","C1a",1,"Reg-ElasticNet","SourceEUI",122,1,1,NA,NA,736.689
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",122,2,2,0.85,0.796,1411421894015.53
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",122,33,33,0.894,0.855,913275665095.166
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",122,4,4,0.876,0.831,915858995150.467
"9","C2",2,"Reg","SourceEUI",122,85,320,0.842,1.096,116.086
"10","C2",2,"Reg","SiteEnergyUse",122,85,320,0.961,1.024,258737312594.892
"11","C2",3,"Reg","SourceEUI",122,98,1818,0.893,1.008,78.992
"12","C2",3,"Reg","SiteEnergyUse",122,98,1818,0.977,1.002,155197847533.481
"13","C2",4,"Reg","SourceEUI",122,99,6073,0.898,1.002,74.836
"14","C2",4,"Reg","SiteEnergyUse",122,99,6073,0.983,1,114615735709.034
"15","C2",5,"Reg","SourceEUI",122,99,13009,0.898,1.001,74.836
"16","C2",5,"Reg","SiteEnergyUse",122,99,13009,0.983,1,114615735709.034
"17","C2",6,"Reg","SourceEUI",122,99,19462,0.898,1.001,74.836
"18","C2",6,"Reg","SiteEnergyUse",122,99,19462,0.983,1,114615735709.034
"19","C2",7,"Reg","SourceEUI",122,99,22648,0.898,1.001,74.836
"20","C2",7,"Reg","SiteEnergyUse",122,99,22648,0.983,1,114615735709.034
"21","C2",8,"Reg","SourceEUI",122,99,23296,0.898,1.001,74.836
"22","C2",8,"Reg","SiteEnergyUse",122,99,23296,0.983,1,114615735709.034
"23","C3a",1,"rpart","SourceEUI",122,8,8,0.225,0.17,570.824
"24","C3a",1,"rpart","SiteEnergyUse",122,8,8,0.789,0.774,1399064092524.82
"25","C3b",1,"xgboost","SourceEUI",122,22,22,0.743,0.651,311.231
"26","E3b",1,"xgboost","SiteEnergyUse",122,23,23,0.966,0.954,230660906050.17
