"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"0939000105","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",1910,1,6,182.6999969,63712,"1",4573777,"AVERAGE","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"8729690000","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",2003,1,7,175.3999939,116947,NA,10040121,"GOOD","STRUCTURAL STEEL","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"8725600350","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",1909,1,6,156.8000031,51976,"34",4189569.25,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"3388120000","Multifamily LR (1-4)","Low-Rise Multifamily","Multifamily Housing",1917,1,4,80.80000305,56617,"15",1986611.375,"AVERAGE/GOOD","MASONRY","Yes","ELECTRIC WALL","Rect or Slight Irreg","Yes"
"3993000000","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",2009,1,6,133.8999939,56745,"54",2473962.5,"AVERAGE","WOOD FRAME","Yes","ELECTRIC","Very Irreg","Yes"
"6434000000","Multifamily LR (1-4)","Low-Rise Multifamily","Multifamily Housing",2003,1,4,193.3999939,67920,NA,2772124.75,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"8566600000","Multifamily MR (5-9)","Mid-Rise Multifamily","Multifamily Housing",2002,1,6,83.69999695,117950,"55",3187950.75,"AVERAGE","MASONRY","Yes","HEAT PUMP","Long Rect or Irreg","Yes"
"0254600000","Multifamily HR (10+)","High-Rise Multifamily","Multifamily Housing",1989,1,26,95.40000153,358176,"85",8393893,"AVERAGE","STRUCTURAL STEEL","Yes","ELECTRIC","Rect or Slight Irreg","Yes"
"6385300000","Multifamily HR (10+)","High-Rise Multifamily","Multifamily Housing",1929,1,13,168.8000031,99470,NA,6136327.5,"LOW COST","REINFORCED CONCRETE","Yes","ELECTRIC","Rect or Slight Irreg","Yes"
"0348300000","Multifamily LR (1-4)","Low-Rise Multifamily","Multifamily Housing",1976,1,4,72.40000153,31334,"88",722062.875,NA,NA,NA,NA,NA,NA
