"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"1976700005","NonResidential","Retail Store","Retail Store",1929,1,4,300.6000061,78920,"80",8303666.5,"GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"1975700300","NonResidential","Retail Store","Retail Store",1940,1,3,159.6000061,83118,"59",2443141.5,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1975700485","NonResidential","Retail Store","Retail Store",1924,1,3,333,77555,"39",7802205.5,"GOOD","REINFORCED CONCRETE",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"3624039166","NonResidential","Retail Store","Retail Store",1992,1,1,181.6000061,102500,"81",7305474,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"5260300005","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1963,1,1,615.5999756,50785,"57",7439009,"AVERAGE","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","No"
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,149.1000061,93803,NA,5453438.5,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"3026049093","NonResidential","Retail Store","Retail Store",1995,1,1,180.8999939,101830,"60",10713006,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"2738100620","NonResidential","Retail Store","Retail Store",1958,1,1,169.3000031,74178,NA,5402181,"AVERAGE/GOOD","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3148650000","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1996,1,3,491.2000122,119190,"71",10077532,"AVERAGE/GOOD","MASONRY","Yes","HEAT PUMP","Approx Square","Yes"
"0524049003","NonResidential","Retail Store","Retail Store",1917,1,2,106.9000015,147545,"69",6787070,NA,NA,NA,NA,NA,NA
"0164000005","NonResidential","Retail Store","Retail Store",1968,1,1,47,48139,"98",859236.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0925049406","NonResidential","Retail Store","Retail Store",1996,1,1,125.4000015,25735,"82",1169394.875,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"0925049426","NonResidential","Retail Store","Retail Store",1956,1,2,371.6000061,25862,"20",4801472,NA,NA,NA,NA,NA,NA
"0925049426","NonResidential","Retail Store","Retail Store",2003,1,2,206.8000031,49965,"82",3377209.75,NA,NA,NA,NA,NA,NA
"0939000300","NonResidential","Retail Store","Retail Store",1906,1,2,83.5,46800,"86",1245187.5,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0656000130","NonResidential","Retail Store","Retail Store",1931,1,2,147,26270,"32",1560461.75,"AVERAGE","REINFORCED CONCRETE",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0695000125","NonResidential","Retail Store","Retail Store",1925,1,1,41.59999847,24825,NA,439521.0938,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,406.7000122,39265,NA,5238803,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,2,375.7000122,54284,"18",6778694,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1956,1,1,320.7999878,23409,"67",2545405,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"0925049346","NonResidential","Retail Store","Retail Store",1997,1,1,219.8999939,63153,NA,4644178,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Long Rect or Irreg",NA
"1142000160","NonResidential","Retail Store","Retail Store",1900,1,3,77.5,32960,"71",813641,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"0952007370","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1946,1,2,232.3999939,25762,"100",1906384.875,"AVERAGE/GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","No"
"1327300008","NonResidential","Retail Store","Retail Store",1914,1,1,87.59999847,20000,"75",557863.6875,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1794500895","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1962,1,1,755.2000122,25159,"38",8905287,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1824049074","NonResidential","Retail Store","Retail Store",1953,1,1,6.400000095,39900,"100",145468.7969,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1977201070","NonResidential","Retail Store","Retail Store",1916,1,2,58,25920,"5",478690.0938,"AVERAGE","MASONRY","Yes","HOT WATER","Rect or Slight Irreg","No"
"1977201135","NonResidential","Retail Store","Retail Store",1919,1,2,74,25920,"93",1011667.5,"AVERAGE","MASONRY","Yes","FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"1972203060","NonResidential","Retail Store","Retail Store",1911,1,2,89.59999847,20516,"98",1021796.625,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1972203160","NonResidential","Retail Store","Retail Store",1906,1,3,123.5,27480,"88",1215156.25,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"1926049423","NonResidential","Retail Store","Retail Store",1998,1,1,159.8000031,26115,"43",1689372.625,"GOOD","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","Yes"
"1977200735","NonResidential","Retail Store","Retail Store",1920,1,2,121.3000031,26400,"36",983595.875,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1974700170","NonResidential","Retail Store","Retail Store",1900,1,4,82.09999847,34680,"92",1169948.875,"AVERAGE","MASONRY","Yes","STEAM","Rect or Slight Irreg","Yes"
"1975700155","NonResidential","Retail Store","Retail Store",1915,1,1,390.1000061,36504,"2",2100982.75,"AVERAGE","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1983200180","NonResidential","Retail Store","Retail Store",1964,1,2,112.1999969,45271,"57",2553763.5,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2107700260","NonResidential","Retail Store","Retail Store",1993,1,3,184.6999969,25194,NA,1878742.875,"AVERAGE","REINFORCED CONCRETE",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"2437200030","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1975,1,1,759.2000122,33005,"21",10642754,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"2724049105","NonResidential","Retail Store","Retail Store",1992,1,2,364,38845,"82",6917280,"GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"2724049127","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1953,1,1,711.5,26092,"40",7619445,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"2738100610","NonResidential","Retail Store","Retail Store",1958,1,2,115.8000031,56193,NA,2497942.75,"AVERAGE/GOOD","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2768100235","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1966,1,1,781.0999756,29214,"8",9336239,"AVERAGE","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"2768300240","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2000,1,1,660.2000122,89103,"34",14029480,"GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"2768302800","NonResidential","Retail Store","Retail Store",1996,1,1,141.6999969,23500,"53",1137967.5,"GOOD","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2769601465","NonResidential","Retail Store","Retail Store",1967,1,1,148,22420,"82",1404253.75,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"2770602660","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1961,1,1,718.7000122,25842,"35",8518313,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"2776600135","NonResidential","Retail Store","Retail Store",1989,1,1,148.3999939,32810,"66",2017967.75,"AVERAGE","WOOD FRAME",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"2926049039","NonResidential","Retail Store","Retail Store",1965,1,1,42.09999847,24982,"99",335245,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","ELECTRIC","Rect or Slight Irreg","Yes"
"2926049223","NonResidential","Retail Store","Retail Store",1966,1,1,143.3999939,41615,"69",1900006.25,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"3086003145","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1965,1,1,660.9000244,21603,"16",5833800,"AVERAGE/GOOD","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","No"
"7589200051","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1994,1,1,604.9000244,45522,"22",12250422,"GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","No"
"7608700007","NonResidential","Retail Store","Retail Store",1979,1,2,52.40000153,20088,NA,326778.6875,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"3524049132","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1959,1,1,170.6000061,67450,"97",2842819.5,"AVERAGE","MASONRY","Yes","PACKAGE UNIT","Rect or Slight Irreg","Yes"
"3333002890","NonResidential","Retail Store","Retail Store",2002,1,2,113.6999969,54211,"100",1267463.125,"GOOD","MASONRY",NA,"HEAT PUMP","Long Rect or Irreg",NA
"7666203450","NonResidential","Retail Store","Retail Store",1944,1,1,19.79999924,25880,"100",162960,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666203730","NonResidential","Retail Store","Retail Store",1951,1,2,98,24000,NA,1318947.25,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"5101405300","NonResidential","Retail Store","Retail Store",1958,1,2,79.80000305,20738,"44",526752.8125,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"7950301480","NonResidential","Retail Store","Retail Store",1968,1,1,81.90000153,36071,"97",1519952.125,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"7666204995","NonResidential","Retail Store","Retail Store",1975,1,1,67.59999847,43794,"88",1164537.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7974200020","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1965,1,1,587.5,32822,"42",8839812,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"7974700270","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1973,1,1,912.7999878,24377,"6",9851260,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"6844701790","NonResidential","Retail Store","Retail Store",1952,1,1,189.6999969,26853,"68",1399062.75,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"3624039009","NonResidential","Retail Store","Retail Store",1990,1,1,277.5,40265,"19",3740373.75,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"3624039009","NonResidential","Retail Store","Retail Store",2005,1,1,118.9000015,26208,"79",1608884.25,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"3626039310","NonResidential","Retail Store","Retail Store",1953,1,1,75.40000153,51000,"95",1298039.875,"AVERAGE","WOOD FRAME",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"3573700195","NonResidential","Retail Store","Retail Store",1964,1,1,91.30000305,37247,"69",1748644.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7515000155","NonResidential","Retail Store","Retail Store",1993,1,1,296.7999878,25384,"11",3027867.5,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"8113100170","NonResidential","Retail Store","Retail Store",1966,1,1,453,37883,"88",12434593,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","No"
"3646100320","NonResidential","Retail Store","Retail Store",1998,1,2,248.3000031,21200,"15",1676426.5,"AVERAGE","MASONRY",NA,"COMPLETE HVAC","Very Irreg","Yes"
"3646100390","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1980,1,1,615.4000244,30630,"27",6058494,NA,NA,NA,NA,NA,NA
"3646100390","NonResidential","Retail Store","Retail Store",1980,1,2,254.3000031,23421,"25",1896626.375,NA,NA,NA,NA,NA,NA
"7666207515","NonResidential","Retail Store","Retail Store",1954,1,2,117.1999969,21900,"40",1302192.875,"AVERAGE","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","No"
"4092300005","NonResidential","Retail Store","Retail Store",1930,1,1,98.59999847,46059,"82",1582655.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"6003500420","NonResidential","Retail Store","Retail Store",1916,1,2,28.60000038,36940,"100",336745.4063,"AVERAGE","MASONRY","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"6003500470","NonResidential","Retail Store","Retail Store",1920,1,1,107.6999969,30240,"78",1264626.875,"AVERAGE","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"6003501820","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1998,1,1,728.7000122,44739,"17",14585813,"AVERAGE/GOOD","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","Yes"
"8816400135","NonResidential","Retail Store","Retail Store",1953,1,4,157.3000031,33910,"75",1822834.25,"AVERAGE","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"4083802815","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1957,1,1,694,28808,"29",9232576,"AVERAGE","MASONRY","Yes","SPACE HEATERS","Rect or Slight Irreg","Yes"
"8816401015","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1950,1,1,741.4000244,26226,"37",7588060.5,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"5247802260","NonResidential","Retail Store","Retail Store",1917,1,2,16.39999962,24550,"100",977230.3125,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"6087100195","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1997,1,1,851.0999756,31841,NA,13140574,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"5637500005","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1998,1,1,651.2999878,33706,"22",8687690,"AVERAGE/GOOD","MASONRY",NA,"PACKAGE UNIT","Rect or Slight Irreg","Yes"
"6716700415","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1997,1,1,761.2999878,76585,"18",13906080,"AVERAGE","MASONRY","No","HEAT PUMP","Rect or Slight Irreg","Yes"
"5724500615","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1996,1,1,521,44755,"56",11521140,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"6600770000","NonResidential","Retail Store","Retail Store",2000,1,3,201.6999969,54969,"67",3724098.25,"AVERAGE","MASONRY","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"6065010000","NonResidential","Retail Store","Retail Store",1991,1,3,139.3000031,103000,"89",5214621.5,NA,NA,NA,NA,NA,NA
"1333100000","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2008,1,1,521,37864,"61",8025696,"GOOD","WOOD FRAME","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"6850700315","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",1950,1,2,433.7000122,66497,"84",9290214,"GOOD","PREFAB STEEL","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"4458720000","NonResidential","Retail Store","Retail Store",2006,1,4,290.8999939,34010,NA,3560614.25,"GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"4458720010","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2006,1,4,433.7000122,45980,"79",8305255,"GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"6798100875","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2011,1,1,514.7999878,51400,"74",11702959,"GOOD","MASONRY","Yes","PACKAGE UNIT","Long Rect or Irreg","Yes"
"8681450000","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2003,1,4,781.2999878,33997,"23",8926736,"GOOD","STRUCTURAL STEEL","Yes","ELECTRIC","Very Irreg","Yes"
"701100-0000","NonResidential","Retail Store","Retail Store",1918,1,3,163.5,43832,"67",3886545,NA,NA,NA,NA,NA,NA
"2301550010","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2011,1,1,517.5,67263,"78",14697487,"GOOD","MASONRY","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"2767604965","NonResidential","Supermarket / Grocery Store","Supermarket/Grocery Store",2010,1,8,560.7999878,41198,"44",7768057.5,"GOOD","STRUCTURAL STEEL","Yes","FORCED AIR UNIT","Long Rect or Irreg","Yes"
