"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"0659000030","NonResidential","Hotel","Hotel",1927,1,12,182.5,88434,"60",7226362.5,"AVERAGE","REINFORCED CONCRETE","Yes","STEAM WITHOUT BOILER","Approx Square","Yes"
"0659000220","NonResidential","Hotel","Hotel",1996,1,11,176.1000061,103566,"61",8387933,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0659000475","NonResidential","Hotel","Hotel",1969,1,41,241.8999939,956110,"43",72587024,"GOOD/EXCELLENT","STRUCTURAL STEEL","Yes","REFRIGERATED COOLING","Rect or Slight Irreg","Yes"
"0659000640","NonResidential","Hotel","Hotel",1926,1,10,216.1999969,61320,"56",6794584,"AVERAGE/GOOD","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Approx Square","Yes"
"0659000970","NonResidential","Hotel","Hotel",1980,1,18,211.3999939,175580,"75",14172606,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"0660000825","NonResidential","Hotel","Hotel",1926,1,11,146.6000061,83008,"27",5758795,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Approx Square","Yes"
"0939000080","NonResidential","Hotel","Hotel",1904,1,15,180.8999939,163984,"43",13723820,"AVERAGE","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0942000145","NonResidential","Hotel","Hotel",1969,1,11,228.1999969,153163,"30",16016644,"GOOD/EXCELLENT","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0942000165","NonResidential","Hotel","Hotel",1998,1,25,199,333176,"36",26941110,"GOOD/EXCELLENT","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0942000210","NonResidential","Hotel","Hotel",1928,1,9,153.6000061,65009,"48",6596057.5,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","STEAM WITHOUT BOILER","Approx Square","Yes"
"0942000235","NonResidential","Hotel","Hotel",1980,1,33,179.8999939,315952,"58",22325364,"GOOD/EXCELLENT","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Approx Square","Yes"
"0942000265","NonResidential","Hotel","Hotel",1922,1,11,297.3999939,92190,"35",10750010,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","STEAM","Approx Square","Yes"
"0942000430","NonResidential","Hotel","Hotel",1983,1,28,228.5,416281,"31",33556756,"GOOD","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"0942000610","NonResidential","Hotel","Hotel",1916,1,10,225.5,104352,"39",10154608,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1142000755","NonResidential","Hotel","Hotel",2001,1,6,148,88592,"84",3663534.5,"GOOD","REINFORCED CONCRETE","Yes","EVAPORATIVE COOLING","Very Irreg","Yes"
"0660001832","NonResidential","Hotel","Hotel",1991,1,8,58,158676,NA,5328051.5,"GOOD","REINFORCED CONCRETE","Yes","HEAT PUMP","Long Rect or Irreg","Yes"
"0660002680","NonResidential","Hotel","Hotel",2001,1,10,181.1000061,171866,"57",11061916,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Very Irreg","Yes"
"0697000170","NonResidential","Hotel","Hotel",1978,1,5,199.6999969,68410,"57",4456714.5,"AVERAGE","WOOD FRAME","Yes","ELECTRIC WALL","Rect or Slight Irreg","Yes"
"0925049117","NonResidential","Hotel","Hotel",1994,1,4,162.5,81871,"29",6668568.5,"AVERAGE","WOOD FRAME","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1975700040","NonResidential","Hotel","Hotel",1969,1,24,121.8000031,332210,"67",16163194,NA,NA,NA,NA,NA,NA
"1976700010","NonResidential","Hotel","Hotel",1930,1,20,158.6000061,98634,"71",4841347.5,"GOOD","MASONRY","Yes","PACKAGE UNIT","Approx Square","Yes"
"1976700095","NonResidential","Hotel","Hotel",1982,1,34,182.5,994212,"63",80469216,"EXCELLENT","STRUCTURAL STEEL","Yes","WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1977200050","NonResidential","Hotel","Hotel",1985,1,7,215.8999939,71150,"98",5348309,"GOOD","STRUCTURAL STEEL","Yes","HEAT PUMP","Long Rect or Irreg","Yes"
"1977201035","NonResidential","Hotel","Hotel",1908,1,7,68.19999695,122810,"99",5401277.5,"AVERAGE","MASONRY","Yes","STEAM WITHOUT BOILER","Long Rect or Irreg","Yes"
"1991200730","NonResidential","Hotel","Hotel",1959,1,5,165.6999969,113173,"86",5284343.5,"AVERAGE","MASONRY","Yes","HOT WATER","Long Rect or Irreg","Yes"
"1991200935","NonResidential","Hotel","Hotel",2000,1,7,128,150453,"84",6715187,"AVERAGE","WOOD FRAME","Yes","COMPLETE HVAC","Very Irreg","Yes"
"1991200940","NonResidential","Hotel","Hotel",1997,1,6,144.5,116300,"80",5827595.5,"AVERAGE","REINFORCED CONCRETE","Yes","PACKAGE UNIT","Long Rect or Irreg","Yes"
"1992200235","NonResidential","Hotel","Hotel",1998,1,6,107.4000015,155602,"81",6836900,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","WARMED AND COOLED AIR","Very Irreg","Yes"
"2249000170","NonResidential","Hotel","Hotel",1999,1,4,136.6999969,122942,"94",5337334,"AVERAGE/GOOD","WOOD FRAME","Yes","HEAT PUMP","Long Rect or Irreg","Yes"
"2467400430","NonResidential","Hotel","Hotel",2008,1,6,154.1999969,84103,"74",3706100.25,"AVERAGE","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1979200270","NonResidential","Hotel","Hotel",1908,1,7,172,76631,"71",7258758.5,"EXCELLENT","MASONRY","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1984200065","NonResidential","Hotel","Hotel",1990,1,7,184,282863,"37",19459304,"GOOD/EXCELLENT","WOOD FRAME","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1989201125","NonResidential","Hotel","Hotel",2002,1,6,182.1999969,96910,"56",5155568.5,"GOOD","REINFORCED CONCRETE","Yes","FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"1142001871","NonResidential","Hotel","Hotel",1962,2,4,203.3000031,50017,"53",5448975,"AVERAGE","MASONRY","Yes","ELECTRIC WALL","Rect or Slight Irreg","Yes"
"1926049012","NonResidential","Hotel","Hotel",2001,1,4,130.6999969,51390,"89",3611538,"AVERAGE","WOOD FRAME","Yes","FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"1926049434","NonResidential","Hotel","Hotel",2002,1,3,101.5999985,69138,"78",3242458,"AVERAGE","WOOD FRAME","Yes","WARMED AND COOLED AIR","Long Rect or Irreg","Yes"
"1974600035","NonResidential","Hotel","Hotel",1904,1,5,84,190980,"98",6505995,"GOOD","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
