"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"0825049008","NonResidential","Small- and Mid-Sized Office","Office",1906,1,3,106.5,87262,NA,4145920.5,NA,NA,NA,NA,NA,NA
"0467000429","NonResidential","Small- and Mid-Sized Office","Office",1961,1,2,163,94900,"57",6186461.5,"LOW/AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg",NA
"0570000340","NonResidential","Small- and Mid-Sized Office","Office",1900,1,2,108.6999969,52554,"83",2951331.25,"AVERAGE","WOOD FRAME","Yes","HOT WATER-RADIANT","Rect or Slight Irreg","Yes"
"1975700200","NonResidential","Large Office","Office",1973,1,5,176.6000061,168115,"78",9536161,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1975700380","NonResidential","Small- and Mid-Sized Office","Office",1910,1,8,398.7000122,59400,"14",5071974,"AVERAGE","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"2254501944","NonResidential","Small- and Mid-Sized Office","Office",1962,1,2,139.6000061,54984,"71",3375211,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"1983200325","NonResidential","Large Office","Office",2010,1,5,144,316306,"96",13795954,"GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1986200410","NonResidential","Large Office","Office",2010,1,12,174.1999969,571329,"91",39605888,"GOOD","STRUCTURAL STEEL","Yes","COMPLETE HVAC","Long Rect or Irreg","Yes"
"1988201155","NonResidential","Large Office","Office",2010,1,6,130.8000031,920598,"93",36667044,"EXCELLENT","STRUCTURAL STEEL","Yes","COMPLETE HVAC","Very Irreg","Yes"
"1989200850","NonResidential","Small- and Mid-Sized Office","Office",1970,1,4,192.3999939,76213,"68",3476212.5,"AVERAGE","REINFORCED CONCRETE","Yes","HEAT PUMP","Rect or Slight Irreg","Yes"
"1498303116","NonResidential","Small- and Mid-Sized Office","Office",2003,1,3,241.5,99433,"63",4897760,"GOOD/EXCELLENT","REINFORCED CONCRETE",NA,"COMPLETE HVAC","Long Rect or Irreg",NA
"6418100005","NonResidential","Small- and Mid-Sized Office","Office",2002,1,2,476.5,96300,NA,16319835,"AVERAGE/GOOD","REINFORCED CONCRETE","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"7378600265","NonResidential","Small- and Mid-Sized Office","Office",1958,1,1,234.8999939,54765,NA,4253369.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2924049043","NonResidential","Small- and Mid-Sized Office","Office",2007,1,3,165.8000031,64015,"21",3242077.75,"AVERAGE","MASONRY","No","SPACE HEATERS","Very Irreg","Yes"
