"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",105,25,26,0.376,0.168,34950.623
"2","C1",1,"Reg","SiteEnergyUse",105,25,26,0.702,0.603,12097484786399.9
"3","C1a",1,"Reg-Lasso","SourceEUI",105,2,2,0.113,-0.231,55991.062
"4","C1a",1,"Reg-Ridge","SourceEUI",105,29,29,0.239,-0.056,55424.589
"5","C1a",1,"Reg-ElasticNet","SourceEUI",105,7,7,0.165,-0.157,48762.169
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",105,3,3,0.573,0.408,19445249927582.9
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",105,29,29,0.66,0.528,17194545059494.1
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",105,11,11,0.657,0.524,14408323367529
"9","C2",2,"Reg","SourceEUI",105,81,259,0.764,1.158,13201.611
"10","C2",2,"Reg","SiteEnergyUse",105,81,259,0.926,1.05,3013645020708.8
"11","C2",3,"Reg","SourceEUI",105,88,1360,0.796,1.017,11420.742
"12","C2",3,"Reg","SiteEnergyUse",105,88,1360,0.939,1.005,2466730791441.35
"13","C3a",1,"rpart","SourceEUI",105,8,8,0.254,0.192,41747.273
"14","C3a",1,"rpart","SiteEnergyUse",105,8,8,0.522,0.482,19417217126948.6
