"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
1250,50,5,5,"No",100,2600
2200,85,3,3,"No",25,2848
3500,40,5,9,"No",25,839
5200,70,5,11,"No",100,1623
2600,40,1,7,"No",100,4554
59000,75,150,107,"No",50,1410
4250,45,2,6,"No",90,692
50000,50,120,121,"No",90,1879
5000,60,11,13,"No",100,1813
3950,40,10,8,"No",100,1755
3500,50,9,12,"No",100,2918
40000,45,200,145,"No",80,1313
415000,50,220,200,"No",100,1208
88000,65,150,240,"No",100,2838
250000,62,500,738,"No",70,3755
445000,66,300,520,"No",60,4336
7500,40,19,17,"No",100,3003
5000,40,2,4,"No",33,1488
205000,85,425,465,"No",100,706
4600,44,10,15,"No",61,735
52000,90,100,83,"No",100,1959
85000,168,150,375,"No",100,1411
25000,50,25,52,"No",60,563
500001,60,600,814,"No",90,4623
1500,45,4,9,"No",75,230
6e+05,168,1500,2180,"Yes",95,1252
5400,55,18,26,"Yes",100,1369
16250,60,19,5,"No",100,1415
17000,45,70,84,"Yes",100,1218
500001,168,300,605,"No",100,1515
1500,50,3,6,"No",100,769
500001,168,1200,1500,"Yes",90,1157
280000,50,520,310,"No",95,1034
5800,60,21,25,"No",100,645
3500,48,5,8,"Yes",80,1651
32000,168,50,57,"No",75,764
5700,40,10,12,"No",100,701
60000,40,80,96,"No",100,4522
4100,40,5,7,"No",100,2453
2e+05,40,38,46,"No",90,613
4e+05,50,350,565,"No",100,792
210000,60,300,600,"No",95,1813
5000,40,2,4,"No",100,3376
1e+06,70,3750,5087,"No",65,3806
1800,45,12,22,"No",100,617
2400,45,8,11,"Yes",100,1913
210000,50,600,2250,"No",90,2043
2350,100,5,12,"No",100,2311
4000,47,6,9,"No",100,1507
5200,40,16,16,"No",50,2040
60000,168,150,555,"No",100,1278
14500,168,40,35,"No",100,928
2500,48,3,4,"No",100,2996
2400,56,4,14,"No",100,1930
9900,50,12,14,"No",75,496
4500,53,6,5,"No",100,3221
45000,55,75,407,"No",100,1897
5200,45,16,20,"No",100,4196
285000,40,604,2764,"No",100,2681
5600,40,2,3,"No",100,1961
26000,40,25,36,"No",80,716
91000,65,175,708,"No",100,1115
100001,100,75,72,"No",100,1586
40000,50,65,110,"No",100,1424
104000,60,538,575,"No",100,653
7000,50,12,19,"No",66,1818
1200,40,1,6,"No",100,2673
