"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
9000,60,1,20,"No",100,741
380000,55,621,833,"No",78,1589
5900,50,15,25,"Yes",90,894
2850,40,4,21,"No",100,1565
44500,60,30,38,"No",100,3637
150000,55,150,259,"No",30,1301
102000,80,360,650,"Yes",100,1825
305000,60,425,494,"No",100,975
2500,40,3,3,"No",100,2917
210000,60,900,1246,"No",100,1067
26000,168,65,195,"No",90,1241
6500,45,8,11,"No",100,1789
3200,100,3,4,"No",100,198
6e+05,55,900,495,"No",80,1213
270000,65,418,516,"No",100,1490
1200,55,4,7,"No",60,2239
13500,40,41,91,"No",90,1309
6000,70,6,18,"No",66,961
25000,168,80,46,"No",50,1220
470000,55,1200,1220,"No",100,1878
2200,48,3,5,"No",100,3855
2000,40,5,12,"No",100,1734
11000,48,32,31,"No",75,819
6000,56,4,5,"No",100,3643
3000,45,14,20,"No",100,2939
37000,54,91,108,"No",100,1201
73000,60,200,309,"No",100,3071
6000,40,5,8,"No",100,918
51000,168,175,250,"No",100,1411
6000,44,14,20,"No",100,2279
6300,60,10,9,"No",100,3067
13500,40,20,24,"No",85,2837
2100,35,2,3,"No",100,2033
7e+05,60,1500,2350,"No",85,53
40000,43,50,51,"Yes",75,2027
10500,50,25,30,"No",75,1885
8300,60,27,35,"No",100,1533
43000,40,50,59,"No",100,213
64000,55,100,91,"No",100,1621
8900,45,5,6,"No",100,919
156000,105,800,1130,"No",81,531
70000,60,250,173,"No",80,840
4850,40,9,12,"No",100,1705
74000,61,228,201,"No",100,4898
1500,40,4,7,"No",100,2044
8000,40,20,21,"No",100,709
290000,60,875,1176,"No",100,4325
15250,40,4,10,"No",100,1984
24750,50,35,25,"No",70,2008
6500,54,6,12,"Yes",100,729
6000,44,4,9,"No",100,1637
4600,168,3,9,"No",100,429
47000,48,200,225,"No",100,1513
1001,40,2,4,"Yes",100,1728
7e+05,60,1500,1450,"No",20,61
8000,90,8,9,"No",100,3270
6700,40,15,16,"No",100,1464
2e+05,40,600,915,"No",80,1433
18500,72,50,70,"No",75,467
6e+05,168,317,406,"No",60,1409
3200,45,8,15,"No",100,779
2000,45,4,6,"No",100,2078
43500,42,30,45,"No",75,1418
12000,40,5,16,"No",100,1559
146000,45,550,537,"No",100,3512
3500,45,12,10,"No",100,1363
118000,50,400,1366,"No",90,1030
1500,32,4,5,"Yes",100,1257
184000,55,900,904,"No",100,161
13000,70,35,102,"No",100,2568
