Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
128798,112 S Michigan Ave,60603,Commercial,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.88040116,-87.62480927,"(41.88040116, -87.62480927)"
135007,150 N Clinton St,60661,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,42,41.88477893,-87.64127771,"(41.88477893, -87.64127771)"
118776,450 N Cityfront Plz,60611,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.88968811,-87.62196737,"(41.88968811, -87.62196737)"
121761,2555 N Normandy Ave,60707,Commercial,"50,000 - 250,000 Sq Ft",2018,MONTCLARE,18,29,41.92669728,-87.79203184,"(41.92669728, -87.79203184)"
124911,3131 N Clark St,60657,Commercial,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.93916606,-87.6496288,"(41.93916606, -87.6496288)"
159298,1911 S Indiana Ave,60616,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.85635481,-87.62186424,"(41.85635481, -87.62186424)"
159276,6201 S Emerald Dr,60621,Commercial,"50,000 - 250,000 Sq Ft",2018,ENGLEWOOD,68,16,41.770346,-87.643171,"(41.770346, -87.643171)"
132117,200 W 87th St,60620,Commercial,"> 250,000 Sq Ft",2018,CHATHAM,44,21,41.73721633,-87.63117106,"(41.73721633, -87.63117106)"
134421,4612 - 4652 W Irving Park Rd,60641,Commercial,"50,000 - 250,000 Sq Ft",2018,PORTAGE PARK,15,45,41.95551563,-87.74491933,"(41.95551563, -87.74491933)"
118140,1030 W DIVISION ST,60642,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,27,41.90475083,-87.65433247,"(41.90475083, -87.65433247)"
173770,2828 N Broadway St,60657,Commercial,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.93421143,-87.64475371,"(41.93421143, -87.64475371)"
125859,730 N Michigan Ave,60611,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.8960297,-87.62430773,"(41.8960297, -87.62430773)"
132870,112 W 87th St,60620,Commercial,"50,000 - 250,000 Sq Ft",2018,CHATHAM,44,21,41.73773153,-87.62818622,"(41.73773153, -87.62818622)"
164965,2653 W OGDEN AVE,60608,Commercial,"50,000 - 250,000 Sq Ft",2018,NORTH LAWNDALE,29,28,41.86174002,-87.69294361,"(41.86174002, -87.69294361)"
156500,1579 N. Milwaukee Avenue,60622,Commercial,"50,000 - 250,000 Sq Ft",2018,WEST TOWN,24,1,41.91026112,-87.67674802,"(41.91026112, -87.67674802)"
100019,411 - 415 S Wells St,60607,Commercial,"50,000 - 250,000 Sq Ft",2018,LOOP,32,25,41.87642552,-87.63335549,"(41.87642552, -87.63335549)"
119128,440 N Wells St,60654,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.8902394,-87.63405731,"(41.8902394, -87.63405731)"
119758,6107 S Archer Ave,60638,Commercial,"50,000 - 250,000 Sq Ft",2018,GARFIELD RIDGE,56,23,41.79384673,-87.77030944,"(41.79384673, -87.77030944)"
176022,7451 7521 N CLARK ST,60626,Commercial,"50,000 - 250,000 Sq Ft",2018,ROGERS PARK,1,49,42.01809002,-87.67364706,"(42.01809002, -87.67364706)"
132207,2600 N Western Ave,60647,Commercial,"50,000 - 250,000 Sq Ft",2018,LOGAN SQUARE,22,32,41.92925985,-87.68784724,"(41.92925985, -87.68784724)"
119450,2656 N Elston Ave,60647,Commercial,"> 250,000 Sq Ft",2018,LOGAN SQUARE,22,1,41.92859468,-87.68498919,"(41.92859468, -87.68498919)"
119552,1220 S Ashland Ave,60608,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,28,41.86590325,-87.66859961,"(41.86590325, -87.66859961)"
119269,1101 W LAKE ST,60607,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,27,41.8852929,-87.65477297,"(41.8852929, -87.65477297)"
119629,2746 N Clybourn Ave,60614,Commercial,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,32,41.93130757,-87.67737064,"(41.93130757, -87.67737064)"
119103,181 N CLARK ST,60601,Commercial,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.8854223,-87.6309139,"(41.8854223, -87.6309139)"
120304,6000 W TOUHY,60646,Commercial,"50,000 - 250,000 Sq Ft",2018,FOREST GLEN,12,41,42.01225499,-87.77763646,"(42.01225499, -87.77763646)"
164777,840 W Irving Park Rd,60613,Commercial,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.954554,-87.651379,"(41.954554, -87.651379)"
119215,919 S California Ave,60612,Commercial,"50,000 - 250,000 Sq Ft",2018,EAST GARFIELD PARK,27,28,41.869931,-87.695949,"(41.869931, -87.695949)"
119238,2520 N Narragansett Ave,60639,Commercial,"50,000 - 250,000 Sq Ft",2018,BELMONT CRAGIN,19,36,41.92591473,-87.78557198,"(41.92591473, -87.78557198)"
