"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",196,8,8,0.034,-0.002,4976.216,70.542,54.311,0.274,76.51,18.38,30.061
"C1","SourceEUI","Reg_AIC",1,"meanCent",196,3,3,0.014,0.004,5081.537,71.285,55.199,0.277,77.316,18.573,30.378
"C1","SourceEnergy","Reg",1,"meanCent",196,8,8,0.871,0.866,180157858500868,13422289.615,8782518.764,0.276,40.191,5.392,32.153
"C1","SourceEnergy","Reg_AIC",1,"meanCent",196,3,3,0.868,0.867,184488124117002,13582640.543,9053351.038,0.286,40.671,5.457,32.537
"C2","SourceEUI","Reg_Int",2,"meanCent",196,29,29,0.113,-0.036,4572.345,67.619,51.511,0.259,73.339,17.618,28.815
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",196,12,12,0.072,0.017,4781.027,69.145,53.385,0.268,74.995,18.016,29.466
"C2","SourceEnergy","Reg_Int",2,"meanCent",196,29,29,0.889,0.871,155091907908342,12453590.161,7987475.761,0.264,37.29,5.003,29.833
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",196,17,17,0.886,0.876,159627205599807,12634366.055,8253334.94,0.277,37.832,5.076,30.266
"C2","SourceEUI","Reg_Int",3,"meanCent",196,63,64,0.357,0.057,3313.059,57.559,42.151,0.205,62.428,14.997,24.528
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",196,44,44,0.308,0.113,3563.55,59.695,43.972,0.219,64.745,15.554,25.439
"C2","SourceEnergy","Reg_Int",3,"meanCent",196,63,64,0.924,0.888,106651132028100,10327203.495,6706913.355,0.224,30.923,4.149,24.739
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",196,50,50,0.922,0.896,108917551975023,10436357.218,6841474.119,0.226,31.25,4.193,25
"C2","SourceEUI","Reg_Int",4,"meanCent",196,74,99,0.5,0.201,2577.063,50.765,33.798,0.164,55.06,13.227,21.633
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",196,64,64,0.479,0.231,2682.969,51.797,36.511,0.177,56.179,13.496,22.073
"C2","SourceEnergy","Reg_Int",4,"meanCent",196,74,99,0.937,0.899,87964695862596.8,9378949.614,5648376.053,0.199,28.084,3.768,22.467
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",196,68,68,0.936,0.903,89181090976715.6,9443574.057,5824429.73,0.207,28.277,3.794,22.622
"C2","SourceEUI","Reg_Int",5,"meanCent",196,76,120,0.508,0.201,2533.952,50.338,33.619,0.163,54.597,13.116,21.451
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",196,71,71,0.503,0.224,2563.255,50.629,34.902,0.169,54.912,13.192,21.575
"C2","SourceEnergy","Reg_Int",5,"meanCent",196,76,120,0.938,0.899,86966850570067.5,9325601.888,5654715.553,0.199,27.924,3.746,22.34
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",196,70,70,0.937,0.902,88164516907193.5,9389596.206,5816654.945,0.207,28.116,3.772,22.493
"C3b","SourceEUI","xgboost_default",2,"meanCent",196,7,7,0.661,0.65,1234.614,35.137,26.077,0.131,38.11,9.155,14.973
"C3b","SourceEUI","xgboost_default",3,"meanCent",196,7,7,0.921,0.918,322.228,17.951,12.881,0.063,19.47,4.677,7.65
"C3b","SourceEUI","xgboost_random",1,"meanCent",196,7,7,0.87,0.865,513.513,22.661,16.652,0.082,24.578,5.904,9.657
"C3b","SourceEUI","xgboost_grid",2,"meanCent",196,6,6,0.078,0.054,4168.721,64.566,48.972,0.239,70.028,16.823,27.514
"C3b","SourceEUI","xgboost_grid",3,"meanCent",196,7,7,0.146,0.119,3922.66,62.631,48.701,0.234,67.93,16.319,26.69
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",196,7,7,1,1,1.151,1.073,0.853,0.004,1.164,0.28,0.457
"C3b","SourceEnergy","xgboost_default",2,"meanCent",196,7,7,0.979,0.979,27953569266442.7,5287113.51,3890140.421,0.169,15.831,2.124,12.665
"C3b","SourceEnergy","xgboost_default",3,"meanCent",196,7,7,0.996,0.996,5607575324183.37,2368031.952,1759069.244,0.08,7.091,0.951,5.673
"C3b","SourceEnergy","xgboost_random",1,"meanCent",196,7,7,0.906,0.903,122771471793497,11080228.869,7674906.058,0.273,33.178,4.451,26.543
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",196,7,7,0.939,0.937,79134860336457.2,8895777.669,6323703.241,0.241,26.637,3.574,21.31
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",196,7,7,0.923,0.921,102014271686379,10100211.467,6942237.607,0.253,30.244,4.058,24.195
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",196,7,7,0.849,0.844,193598437150530,13913965.544,8141479.765,0.277,41.663,5.59,33.331
