"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",27,8,8,0.079,-0.26,3730.241,61.076,48.844,0.561,84.769,23.682,52.245
"C1","SourceEUI","Reg_AIC",1,"meanCent",27,1,1,0,0,4049.768,63.638,49.626,0.665,88.325,24.675,54.436
"C1","SourceEnergy","Reg",1,"meanCent",27,8,8,0.239,-0.041,45071857957398.7,6713557.772,4858575.404,1.625,118.699,20.44,98.932
"C1","SourceEnergy","Reg_AIC",1,"meanCent",27,2,2,0.195,0.163,47661776803327.6,6903750.923,4973008.51,1.995,122.062,21.019,101.735
"C2","SourceEUI","Reg_Int",2,"meanCent",27,22,29,0.766,-0.214,945.812,30.754,16.859,0.238,42.684,11.925,26.307
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",27,17,17,0.73,0.297,1094.66,33.086,19.151,0.234,45.921,12.829,28.302
"C2","SourceEnergy","Reg_Int",2,"meanCent",27,22,29,0.753,-0.282,14606160652207.5,3821800.708,2101909.32,0.35,67.571,11.636,56.319
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",27,16,16,0.738,0.38,15539247236079.2,3941985.19,2548667.465,0.79,69.696,12.001,58.09
"C2","SourceEUI","Reg_Int",3,"meanCent",27,26,64,0.999,0.985,2.376,1.541,0.738,0.014,2.139,0.598,1.318
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",27,26,26,0.999,0.985,2.376,1.541,0.738,0.014,2.139,0.598,1.318
"C2","SourceEnergy","Reg_Int",3,"meanCent",27,26,64,0.996,0.886,260069170391.665,509969.774,244007.919,0.057,9.017,1.553,7.515
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",27,25,25,0.996,0.943,260249149636.695,510146.204,247913.987,0.058,9.02,1.553,7.518
"C3b","SourceEUI","xgboost_default",2,"meanCent",27,6,6,0.999,0.999,2.537,1.593,1.304,0.015,2.211,0.618,1.363
"C3b","SourceEUI","xgboost_default",3,"meanCent",27,7,7,1,1,0,0.018,0.014,0,0.025,0.007,0.015
"C3b","SourceEUI","xgboost_random",1,"meanCent",27,1,1,0.009,0.009,3973.627,63.037,48.309,0.629,87.491,24.442,53.922
"C3b","SourceEUI","xgboost_grid",2,"meanCent",27,5,5,0.525,0.439,2170.922,46.593,35.153,0.401,64.668,18.066,39.856
"C3b","SourceEUI","xgboost_grid",3,"meanCent",27,5,5,0.873,0.85,354.188,18.82,12.761,0.117,26.121,7.297,16.099
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",27,4,4,0.136,0.023,2618.505,51.171,40.539,0.54,71.022,19.841,43.772
"C3b","SourceEnergy","xgboost_default",2,"meanCent",27,7,7,1,1,2705251519.659,52012.032,38557.983,0.014,0.92,0.158,0.766
"C3b","SourceEnergy","xgboost_default",3,"meanCent",27,7,7,1,1,731184.409,855.093,682.902,0,0.015,0.003,0.013
"C3b","SourceEnergy","xgboost_random",1,"meanCent",27,3,3,0.605,0.572,23423965111635,4839831.104,3411033.631,1.569,85.57,14.735,71.32
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",27,7,7,0.714,0.628,11440742587097.6,3382416.679,2281692.328,0.632,59.803,10.298,49.844
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",27,7,7,0.769,0.7,9927211402004.21,3150747.753,2000669.977,0.603,55.707,9.593,46.43
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",27,6,6,1,1,111686695.136,10568.193,7758.166,0.004,0.187,0.032,0.156
