"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"C1","SourceEUI","Reg",1,"meanCent",7968,8,8,0.075,0.074,1229.962,35.071,26.698,0.247,80.995,16.796,28.311
"C1","SourceEUI","Reg_AIC",1,"meanCent",7968,8,8,0.075,0.074,1229.962,35.071,26.698,0.247,80.995,16.796,28.311
"C1","SourceEnergy","Reg",1,"meanCent",7968,8,8,0.885,0.885,40613888356968.3,6372902.663,3595890.935,0.258,67.479,1.681,39.157
"C1","SourceEnergy","Reg_AIC",1,"meanCent",7968,6,6,0.885,0.885,40614849940517.5,6372978.106,3595988.093,0.258,67.48,1.681,39.158
"C2","SourceEUI","Reg_Int",2,"meanCent",7968,29,29,0.116,0.113,1175.592,34.287,25.899,0.238,79.185,16.421,27.678
"C2","SourceEUI","Reg_AIC_Int",2,"meanCent",7968,20,20,0.115,0.113,1176.807,34.305,25.921,0.239,79.226,16.43,27.692
"C2","SourceEnergy","Reg_Int",2,"meanCent",7968,29,29,0.896,0.896,36598043427613.2,6049631.677,3343795.063,0.245,64.056,1.596,37.171
"C2","SourceEnergy","Reg_AIC_Int",2,"meanCent",7968,25,25,0.896,0.896,36607961012028,6050451.306,3346688.626,0.245,64.065,1.596,37.176
"C2","SourceEUI","Reg_Int",3,"meanCent",7968,64,64,0.134,0.128,1151.021,33.927,25.537,0.235,78.353,16.249,27.387
"C2","SourceEUI","Reg_AIC_Int",3,"meanCent",7968,48,48,0.134,0.129,1151.814,33.938,25.544,0.235,78.379,16.254,27.396
"C2","SourceEnergy","Reg_Int",3,"meanCent",7968,64,64,0.903,0.903,34080449500171.1,5837846.307,3259984.884,0.243,61.814,1.54,35.87
"C2","SourceEnergy","Reg_AIC_Int",3,"meanCent",7968,53,53,0.903,0.903,34113955425142.6,5840715.318,3264820.66,0.244,61.844,1.541,35.887
"C2","SourceEUI","Reg_Int",4,"meanCent",7968,99,99,0.147,0.137,1133.971,33.674,25.293,0.232,77.769,16.127,27.183
"C2","SourceEUI","Reg_AIC_Int",4,"meanCent",7968,80,80,0.146,0.138,1135.381,33.695,25.319,0.233,77.818,16.137,27.2
"C2","SourceEnergy","Reg_Int",4,"meanCent",7968,99,99,0.907,0.906,32737434879452.5,5721663.646,3247297.815,0.246,60.584,1.509,35.156
"C2","SourceEnergy","Reg_AIC_Int",4,"meanCent",7968,88,88,0.907,0.906,32758864113088.8,5723535.98,3248382.412,0.247,60.604,1.51,35.167
"C2","SourceEUI","Reg_Int",5,"meanCent",7968,120,120,0.151,0.138,1129.242,33.604,25.245,0.232,77.607,16.094,27.126
"C2","SourceEUI","Reg_AIC_Int",5,"meanCent",7968,101,101,0.15,0.139,1130.57,33.624,25.281,0.232,77.654,16.103,27.142
"C2","SourceEnergy","Reg_Int",5,"meanCent",7968,120,120,0.909,0.908,32109892407252.1,5666559.133,3232756.53,0.245,60,1.495,34.817
"C2","SourceEnergy","Reg_AIC_Int",5,"meanCent",7968,114,114,0.909,0.908,32115380240012.7,5667043.342,3233721.846,0.245,60.005,1.495,34.82
"C3b","SourceEUI","xgboost_default",2,"meanCent",7968,7,7,0.184,0.184,1011.839,31.809,23.788,0.219,73.462,15.234,25.677
"C3b","SourceEUI","xgboost_default",3,"meanCent",7968,7,7,0.246,0.246,906.043,30.101,22.468,0.207,69.517,14.416,24.299
"C3b","SourceEUI","xgboost_random",1,"meanCent",7968,7,7,0.271,0.271,883.856,29.73,22.228,0.204,68.661,14.239,23.999
"C3b","SourceEUI","xgboost_grid",2,"meanCent",7968,7,7,0.199,0.198,997.392,31.582,23.678,0.217,72.938,15.125,25.494
"C3b","SourceEUI","xgboost_grid",3,"meanCent",7968,7,7,0.23,0.229,927.576,30.456,22.719,0.209,70.337,14.586,24.585
"C3b","SourceEUI","xgboost_adaptive",1,"meanCent",7968,7,7,0.242,0.242,897.289,29.955,22.397,0.206,69.18,14.346,24.181
"C3b","SourceEnergy","xgboost_default",2,"meanCent",7968,7,7,0.929,0.929,24694581293441.5,4969364.275,3046809.804,0.235,52.618,1.311,30.533
"C3b","SourceEnergy","xgboost_default",3,"meanCent",7968,7,7,0.948,0.948,18013215116267.1,4244197.818,2735435.746,0.22,44.94,1.12,26.078
"C3b","SourceEnergy","xgboost_random",1,"meanCent",7968,7,7,0.879,0.879,42186116867768,6495084.054,3374960.816,0.259,68.773,1.713,39.908
"C3b","SourceEnergy","xgboost_grid",2,"meanCent",7968,7,7,0.921,0.921,27349148368315.4,5229641.323,3134015.272,0.242,55.374,1.379,32.133
"C3b","SourceEnergy","xgboost_grid",3,"meanCent",7968,7,7,0.925,0.925,26137219568251.3,5112457.293,3075310.928,0.238,54.133,1.349,31.413
"C3b","SourceEnergy","xgboost_adaptive",1,"meanCent",7968,7,7,0.99,0.99,3521873308472.09,1876665.476,1334088.349,0.133,19.871,0.495,11.531
