"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","WKHRS","NWKER","COOK","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","RFGSTO","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","RFGSTP","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","RFGRES","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","ZWKHRS","ZNWKER","ZRFGWIN","ZCOOLP","ZHEATP","HEATP.1","FURNP","PKGHP","BOILP","STHWP","HTPHP","SLFCNP","OTHTP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
7500,2,NA,NA,NA,12,40,5,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,0,4,0,1,1,NA,1444,1644,2,42,25,75.480251744,95621,76146,19475,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,0,0,9,1,1,100,NA,NA,99,NA,NA,1,NA,213208.8,20448.75,NA,NA,233657.55,31.15,12.75
7500,3,NA,NA,NA,12,77,10,2,100,66,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,0,4,0,4,3,1,4129,1139,2,42,25,1851.6697201,382639,287724,94915,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,805627.2,99660.75,NA,NA,905287.95,120.71,51.02
16000,1,NA,NA,NA,12,50,2,2,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,NA,1346,1444,NA,42,25,440.0460563,332196,332196,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,0,60,NA,100,NA,NA,NA,NA,NA,930148.8,NA,NA,NA,930148.8,58.13,20.76
700000,9,6,4,NA,12,84,1800,1,100,100,2,1,1,1,1,1,2,2,3,7,NA,5,2,NA,550,200,100,0,25,35,10,3915,164,1,42,25,23.717553485,43473570,40768210,2581360,NA,124000,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5,3,7,NA,5,0,0,1,0,0,100,NA,100,NA,NA,NA,NA,NA,114150988,2710428,NA,148800,117010216,167.16,62.11
350000,5,8,6,NA,12,168,400,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,20,2,6,200,8,5263,1280,NA,42,25,52.146233763,26844970,25879010,965960,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,0,100,NA,25,NA,NA,NA,75,NA,72461228,1014258,NA,NA,73475486,209.93,76.7
104000,1,NA,NA,NA,12,98,66,1,100,100,1,2,2,2,1,1,2,2,5,6,41,10,NA,NA,23,0,9,0,14,34,1,5530,502,2,42,25,158.29956057,7295553,5174213,2121340,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,5,6,41,10,0,0,0,0,0,100,NA,100,NA,NA,NA,NA,NA,14487796.4,2227407,NA,NA,16715203.4,160.72,70.15
10500,1,NA,NA,NA,12,120,4,2,75,10,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,34,0,1,1,1,5887,1150,1,42,25,964.60413185,510129,154659,355470,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,NA,NA,NA,NA,0,0,9,0,0,75,NA,NA,NA,NA,NA,100,NA,433045.2,373243.5,NA,NA,806288.7,76.79,48.58
27000,3,NA,NA,NA,12,35,2,2,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,NA,1047,3477,NA,42,25,1134.749884,541558,450333,91225,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,0,74,100,NA,NA,NA,NA,NA,NA,1260932.4,95786.25,NA,NA,1356718.65,50.25,20.06
72000,1,NA,NA,NA,12,60,30,1,60,60,2,2,2,1,2,2,2,2,2,NA,NA,5,1,NA,35,15,20,10,10,10,5,2885,1985,1,42,25,1117.7421223,836181,440121,396060,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,15,10,2,NA,NA,5,0,0,0,0,0,60,75,25,NA,NA,NA,NA,NA,1232338.8,415863,NA,NA,1648201.8,22.89,11.61
112000,1,NA,NA,NA,12,101,50,1,100,100,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,6,0,0,11,1,37,9,5289,1127,1,42,25,52.146233763,8239083,7105330,1133753,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,NA,0,0,9,0,0,100,NA,100,NA,NA,NA,1,NA,19894924,1190440.65,NA,NA,21085364.65,188.26,73.56
