"Unit.Density","Bedrooms.Unit","CDD","HDD","Building.Type..Property.Level.","Source.EUI...using.Total.gross.floor.area.","Total.gross.floor.area","Total.number.of.units","Total.SITE.kBtu","Total.SOURCE.kBtu","Site.EUI..using.Total.gross.floor.area.","Source.EUI...using.Total.gross.floor.area.","Survey.Weights.for.ENERGY.STAR.score.analysis"
0.98,1.7,1642,3932,"High-rise",148.4,220338,217,20384022,32706412,92.5,148.4,469.3
0.73,1,1535,4200,"High-rise",73.3,304954,224,11275786,22349516,37,73.3,469.3
1.93,1.7,1165,4570,"Mid-rise",159.4,117884,228,15248434,18793082,129.4,159.4,79.26
1.63,1,1338,4697,"High-rise",185.2,140000,228,22405569,25932412,160,185.2,79.26
0.72,1.4,3548,2226,"High-rise",177.6,316769,229,19327924,56269132,61,177.6,469.3
1.02,1.4,1535,4200,"Low-rise",132.3,225400,230,9497148,29821044,42.1,132.3,79.26
0.9,1.3,1272,4423,"High-rise",132.3,256969,230,19658999,34003945,76.5,132.3,79.26
0.73,2.3,1467,4329,"Mid-rise",142.9,322804,236,32818136,46120436,101.7,142.9,79.26
1.02,1.1,1272,4423,"High-rise",93.7,236350,240,16947465,22145382,71.7,93.7,79.26
1.05,1.6,1536,4312,"Mid-rise",28.8,230198,242,3007993,6633211,13.1,28.8,79.26
0.83,1.302,1272,4423,"High-rise",110.7,291205,242,18811387,32222959,64.6,110.7,79.26
0.5,1.9,1272,4423,"High-rise",122.6,495489,249,36024915,60762393,72.7,122.6,79.26
0.7,1.1,1272,4423,"High-rise",120.4,361767,254,26556762,43562655,73.4,120.4,79.26
1.8,1.1,2769,2022,"Low-rise",173.2,142483,256,9665196,24683111,67.8,173.2,469.3
0.91,1.7,1447,4331,"Low-rise",99.3,287520,262,9109590,28539982,31.7,99.3,469.3
1.02,1.1,511,5299,"Mid-rise",115.9,259600,266,17903057,30096370,69,115.9,79.26
0.82,1.6,1272,4423,"High-rise",177.4,333505,274,33114776,59173515,99.3,177.4,79.26
0.95,1.2,1272,4423,"High-rise",96.4,304071,288,11170446,29299741,36.7,96.4,79.26
0.75,1.3,3548,2226,"High-rise",125.1,390068,292,15973005,48798988,40.9,125.1,469.3
1.61,1.1,993,6186,"High-rise",168.5,184206,297,19532418,31047667,106,168.5,469.3
1.05,1.6,924,5221,"Mid-rise",55.5,292566,307,7039813,16229907,24.1,55.5,43.24
1.28,1.1,1272,4423,"High-rise",180.1,242471,311,26356314,43677626,108.7,180.1,43.24
0.91,1.2,1272,4423,"High-rise",145.3,345000,313,29471955,50134877,85.4,145.3,43.24
0.93,1.7,1971,2838,"Low-rise",115,352460,328,12903652,40517469,36.6,115,512.18
0.94,1.7,1940,2826,"Low-rise",73,354675,332,8248781,25901173,23.3,73,512.18
1.17,1.7,1272,4423,"High-rise",204.7,288849,338,27725496,59119355,96,204.7,43.24
0.97,1.7,1272,4423,"Mid-rise",124.7,369450,360,30460565,46082054,82.4,124.7,43.24
0.95,1.2,1272,4423,"High-rise",216.1,389528,371,46965692,84175003,120.6,216.1,43.24
0.41,1.1,1272,4423,"High-rise",58.1,918820,381,34991639,53385578,38.1,58.1,43.24
0.95,1.462,1165,4570,"High-rise",134.3,404149,383,47391105,54275490,117.3,134.3,43.24
0.8,1.2,1805,3789,"High-rise",135.2,496743,396,26613997,67173228,53.6,135.2,512.18
0.87,1.3,1272,4423,"High-rise",142.7,455849,396,38179062,65051008,83.8,142.7,43.24
0.87,1.4,1805,3789,"High-rise",140.4,461420,401,39420801,64765410,85.4,140.4,512.18
1.06,1.2,1272,4423,"High-rise",150.7,390628,415,43876824,58883381,112.3,150.7,43.24
0.92,1.6,1971,2838,"Low-rise",104.6,462107,425,15386870,48314771,33.3,104.6,512.18
0.92,1.4,1805,3789,"High-rise",139.6,461420,426,37846547,64396307,82,139.6,512.18
0.86,1.4,1272,4423,"High-rise",153.7,507825,435,40536453,78038000,79.8,153.7,43.24
0.88,1.2,1272,4423,"High-rise",145.5,499580,440,41497806,72677636,83.1,145.5,43.24
0.64,1.6,3596,2279,"Low-rise",104.7,689004,444,22983156,72167110,33.4,104.7,512.18
0.82,1.2,1272,4423,"High-rise",73.2,559456,461,25036441,40943572,44.8,73.2,43.24
1.16,1.3,1272,4423,"High-rise",161.9,411110,478,35979904,66561343,87.5,161.9,43.24
0.92,1.8,1940,2826,"Low-rise",94,540791,498,16190029,50836691,29.9,94,512.18
0.92,2.2,989,5006,"Mid-rise",111.3,540891,500,42349399,60223451,78.3,111.3,43.24
0.92,1.2,1272,4423,"High-rise",121.4,568117,522,37668614,68978438,66.3,121.4,43.24
1.04,1.3,1535,4200,"High-rise",222.1,505497,525,78732663,112271967,155.8,222.1,43.24
1.14,1.6,1165,4570,"High-rise",177,526987,602,59513299,93286013,112.9,177,43.24
0.81,1.1,1805,3789,"High-rise",139.6,769024,624,67674257,107384737,88,139.6,512.18
0.93,1.3,1165,4570,"High-rise",117.3,689000,640,64121588,80810850,93.1,117.3,43.24
0.95,1.2,1272,4423,"High-rise",107.9,857404,814,39040292,92503412,45.5,107.9,43.24
0.72,1.5,1805,3789,"High-rise",116.5,1258958,912,72692612,146685816,57.7,116.5,512.18
