"Unit.Density","Bedrooms.Unit","CDD","HDD","Building.Type..Property.Level.","Source.EUI...using.Total.gross.floor.area.","Total.gross.floor.area","Total.number.of.units","Total.SITE.kBtu","Total.SOURCE.kBtu","Site.EUI..using.Total.gross.floor.area.","Source.EUI...using.Total.gross.floor.area.","Survey.Weights.for.ENERGY.STAR.score.analysis"
1.09,1,520,5352,"Low-rise",98,46061,50,2331734,4511797,50.6,98,433
1.38,1,783,6008,"Low-rise",125.7,36300,50,2573214,4563169,70.9,125.7,925.04
0.83,1,393,6387,"Low-rise",95.9,60196,50,3036345,5771639,50.4,95.9,433
1.1,1,763,6294,"Low-rise",171.3,46389,51,4671797,7948437,100.7,171.3,925.04
1.55,1,2120,2960,"Low-rise",145.5,34265,53,1587252,4983972,46.3,145.5,925.04
0.28,1.7,1272,4423,"High-rise",167.3,188889,53,15814323,31607252,83.7,167.3,433
1.17,1.3,100,5094,"Mid-rise",106.4,45423,53,2082877,4832295,45.9,106.4,925.04
0.97,1,1055,5180,"Low-rise",112.2,54596,53,2975442,6123699,54.5,112.2,433
0.64,2.1,1272,4423,"Mid-rise",139.3,84102,54,8109095,11717790,96.4,139.3,433
1.29,1,1642,3932,"Mid-rise",147.9,42534,55,3061344,6290240,72,147.9,925.04
1.34,1,1467,4329,"Mid-rise",141.7,41075,55,3742175,5819031,91.1,141.7,433
1.08,1.3,1536,4312,"Mid-rise",118.1,51960,56,4171925,6137789,80.3,118.1,433
1.29,1.1,851,5371,"Low-rise",103.9,43252,56,2671065,4493808,61.8,103.9,433
1.12,1,884,5936,"Mid-rise",128.6,49901,56,3183428,6417851,63.8,128.6,925.04
0.82,1.4,1165,4570,"Mid-rise",155.3,69504,57,7425557,10791097,106.8,155.3,433
1.1,1.5,1165,4570,"Mid-rise",124,51800,57,4303511,6420729,83.1,124,433
1.87,1,34,3345,"Low-rise",272.7,31000,58,5819470,8453866,187.7,272.7,925.04
0.27,1,1272,4423,"High-rise",150.3,221485,59,15742872,33294474,71.1,150.3,433
1.25,1,745,7168,"High-rise",98.9,47375,59,2571153,4685323,54.3,98.9,925.04
1.5,1.1,2920,2281,"Low-rise",123.1,40080,60,2001247,4934284,49.9,123.1,925.04
0.48,2.2,1272,4423,"High-rise",100.6,125300,60,9051062,12601678,72.2,100.6,433
1.37,1,875,5152,"Mid-rise",127.1,43680,60,3371067,5550057,77.2,127.1,433
1.28,1,1155,5770,"Mid-rise",162,46816,60,4543034,7585158,97,162,925.04
1.18,1,905,5888,"Low-rise",174.3,50657,60,5141619,8827612,101.5,174.3,925.04
1.19,1,1162,5895,"Mid-rise",243.2,50440,60,6109533,12266601,121.1,243.2,925.04
1.37,1,946,5977,"High-rise",140.1,43670,60,3440846,6119314,78.8,140.1,925.04
1.29,1,946,5977,"High-rise",190.6,46543,60,5753614,8872080,123.6,190.6,925.04
1.42,1,697,5983,"High-rise",211.4,42180,60,6011571,8915902,142.5,211.4,925.04
0.89,1,523,6194,"High-rise",156.5,67084,60,6930463,10496669,103.3,156.5,433
1.31,1,846,6287,"Low-rise",81,45692,60,1884594,3699912,41.2,81,925.04
1.23,1,861,6331,"Low-rise",89.3,48855,60,2151671,4363041,44,89.3,925.04
1.64,1,924,5221,"Mid-rise",125.1,37879,62,2775017,4739230,73.3,125.1,433
1.27,1,216,4701,"High-rise",103.2,49786,63,1635747,5136246,32.9,103.2,925.04
1.11,1.2,1272,4423,"Mid-rise",157.1,57414,64,6357013,9020434,110.7,157.1,433
1.36,1,4602,1061,"High-rise",157.4,47756,65,2701299,7514619,56.6,157.4,925.04
1.28,1,1217,5412,"High-rise",115.2,50885,65,3334744,5863544,65.5,115.2,925.04
1.2,1,824,2838,"Low-rise",103.9,54954,66,2299962,5712340,41.9,103.9,925.04
1.26,1,1467,4329,"Mid-rise",150.7,52454,66,4861934,7904165,92.7,150.7,433
0.84,1.2,1165,4570,"Mid-rise",101.8,78660,66,6224666,8004818,79.1,101.8,433
0.92,1,946,5977,"Mid-rise",191.5,71948,66,6841233,13780460,95.1,191.5,925.04
1.37,1.1,1536,4312,"Mid-rise",122.5,50400,69,4276086,6173786,84.8,122.5,433
1.21,1.3,1272,4423,"Mid-rise",152.2,57086,69,6209884,8690547,108.8,152.2,433
0.86,1.229,1272,4423,"Mid-rise",140.5,81730,70,8918216,11481921,109.1,140.5,433
2.01,1,1272,4423,"Mid-rise",182.8,34910,70,4118975,6380386,118,182.8,433
1.3,1,1187,5405,"High-rise",175,53922,70,3566019,9437795,66.1,175,925.04
1.32,1,765,5436,"High-rise",167.4,53155,70,3390493,8898880,63.8,167.4,925.04
1.25,1,4602,1061,"High-rise",165,57553,72,3319701,9493394,57.7,165,925.04
0.81,1.3,1536,4312,"Mid-rise",119.7,89026,72,7719221,10656420,86.7,119.7,433
0.88,1.6,1272,4423,"Mid-rise",117.7,82272,72,7128315,9687345,86.6,117.7,433
2,1.1,851,5371,"Low-rise",178.5,36000,72,4376892,6425819,121.6,178.5,433
