"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGSTP","RWSEAT","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
10500,1,NA,NA,NA,12,1,12,5,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1,1,NA,NA,1,972,3779,21,12,1155.42801,1051689,504236,547453,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,450,1411860.8,574825.65,NA,NA,1986686.45,189.21,100.16
1200,1,NA,NA,NA,12,1,4,1,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,3691,1478,21,12,1791.3103533,43032,43032,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,100,120489.6,NA,NA,NA,120489.6,100.41,35.86
3000,1,NA,NA,NA,12,1,5,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,2654,1844,21,12,1522.9817889,16333,16333,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,150,45732.4,NA,NA,NA,45732.4,15.24,5.44
80000,2,1,NA,NA,12,1,86,70,1,2,99,99,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,100,15,10,2,35,NA,4,2683,1663,21,12,251.43274881,1533511,95846,1437665,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,900,268368.8,1509548.25,NA,NA,1777917.05,22.22,19.17
10000,2,NA,NA,NA,12,1,8,4,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,1,2670,1568,21,12,1522.9817889,281345,95065,NA,186280,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,25,266182,NA,188142.8,NA,454324.8,45.43,28.13
5800,3,NA,NA,NA,12,1,46,10,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,0,8,NA,3,1893,2143,21,12,941.81790866,939091,222411,716680,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,125,622750.8,752514,NA,NA,1375264.8,237.11,161.91
7500,2,NA,NA,NA,12,1,50,1,1,2,100,25,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,1,1,NA,1,3990,1436,21,12,1145.0798138,508925,113480,395445,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,175,317744,415217.25,NA,NA,732961.25,97.73,67.86
5600,2,NA,NA,NA,12,1,7,6,2,2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,1,NA,NA,1096,1324,21,12,1667.7551609,51484,4231,47253,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,200,11846.8,49615.65,NA,NA,61462.45,10.98,9.19
5000,1,NA,NA,NA,12,1,4,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,2334,846,21,12,503.86330813,567686,165066,402620,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,350,462184.8,422751,NA,NA,884935.8,176.99,113.54
28000,2,NA,NA,NA,12,1,12,3,2,2,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,0,1,0,NA,NA,1,1710,2863,21,12,1107.7533448,305282,305282,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,400,854789.6,NA,NA,NA,854789.6,30.53,10.9
16000,1,NA,NA,NA,12,1,20,20,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,2,NA,1,5354,1154,21,12,918.02992474,542777,203502,339275,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,600,569805.6,356238.75,NA,NA,926044.35,57.88,33.92
2000,2,NA,NA,NA,12,1,4,4,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,3321,1814,21,12,1729.17335,15907,15907,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,50,44539.6,NA,NA,NA,44539.6,22.27,7.95
