"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",1252,33,33,0.111,0.088,613.61,24.771,18.185,0.203
"R21","C1",1,"Reg","SourceEnergy",1252,33,33,0.906,0.904,7776892440079.03,2788708.023,1458026.108,0.236
"1","C2",2,"Reg","SourceEUI",1252,242,400,0.355,0.201,445.676,21.111,15.151,0.171
"2","C2",2,"Reg","SourceEnergy",1252,242,400,0.958,0.948,3446674557222.27,1856522.167,1127864.109,0.216
"3","C2",3,"Reg","SourceEUI",1252,527,2450,0.556,0.233,306.757,17.514,11.188,0.128
"4","C2",3,"Reg","SourceEnergy",1252,527,2450,0.982,0.97,1453462869864.83,1205596.479,665312.418,0.149
"5","C2",4,"Reg","SourceEUI",1252,666,8665,0.672,0.299,226.731,15.058,8.633,0.1
"6","C2",4,"Reg","SourceEnergy",1252,666,8665,0.99,0.979,830461124655.648,911296.398,451189.171,0.11
"7","C2",5,"Reg","SourceEUI",1252,692,19301,0.689,0.305,214.908,14.66,8.17,0.094
"8","C2",5,"Reg","SourceEnergy",1252,692,19301,0.991,0.98,751563656655.593,866927.711,415181.05,0.102
"R22","C3a",1,"rpart","SourceEUI",1252,5,5,0.051,0.048,655.516,25.603,18.66,0.208
"R211","C3a",1,"rpart","SourceEnergy",1252,8,8,0.847,0.846,12677472046832.1,3560543.785,1274172.098,0.173
"R23","C3b",1,"xgboost_default","SourceEUI",1252,16,16,0.096,0.085,591.75,24.326,17.734,0.198
"R212","E3b",1,"xgboost_default","SourceEnergy",1252,15,15,0.949,0.948,4142736580984.9,2035371.362,1230174.379,0.215
"R24","C3b",1,"xgboost_random","SourceEUI",1252,27,27,0.17,0.153,559.835,23.661,17.295,0.193
"R213","E3b",1,"xgboost_random","SourceEnergy",1252,35,35,0.972,0.971,2266315309308.27,1505428.613,987326.39,0.191
