"","btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"52","warehouse","2","C2",2,"Reg","SourceEnergy",186,88,296,0.943,0.893,3956734014997.6,1989154.095,1194264.958,0.576
"53","warehouse","3","C2",3,"Reg","SourceEUI",186,101,1614,0.597,0.124,2170.618,46.59,21.061,0.391
"54","warehouse","4","C2",3,"Reg","SourceEnergy",186,101,1614,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"55","warehouse","5","C2",4,"Reg","SourceEUI",186,101,5191,0.597,0.124,2170.618,46.59,21.061,0.391
"56","warehouse","6","C2",4,"Reg","SourceEnergy",186,101,5191,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"57","warehouse","7","C2",5,"Reg","SourceEUI",186,101,10790,0.597,0.124,2170.618,46.59,21.061,0.391
"58","warehouse","8","C2",5,"Reg","SourceEnergy",186,101,10790,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"59","warehouse","R22","C3a",1,"rpart","SourceEUI",186,0,0,0,0.005,5391.493,73.427,49.939,1.062
"60","warehouse","R211","C3a",1,"rpart","SourceEnergy",186,0,0,0,0.005,69703774838145.1,8348878.658,3344345.698,1.669
"61","warehouse","R23","C3b",1,"xgboost_default","SourceEUI",186,10,10,0.126,0.081,4089.842,63.952,42.01,0.893
"62","warehouse","R212","E3b",1,"xgboost_default","SourceEnergy",186,11,11,0.851,0.843,9740234619242.57,3120934.895,1987798.253,0.884
"63","warehouse","R24","C3b",1,"xgboost_random","SourceEUI",186,6,6,0.176,0.153,3973.917,63.039,42.215,0.894
"64","warehouse","R213","E3b",1,"xgboost_random","SourceEnergy",186,6,6,0.194,0.172,50890753145050.8,7133775.518,3075535.793,1.231
"65","multifamily","R2","C1",1,"Reg","SourceEUI",1252,33,33,0.111,0.088,613.61,24.771,18.185,0.203
"66","multifamily","R21","C1",1,"Reg","SourceEnergy",1252,33,33,0.906,0.904,7776892440079.03,2788708.023,1458026.108,0.236
"67","multifamily","1","C2",2,"Reg","SourceEUI",1252,242,400,0.355,0.201,445.676,21.111,15.151,0.171
"68","multifamily","2","C2",2,"Reg","SourceEnergy",1252,242,400,0.958,0.948,3446674557222.27,1856522.167,1127864.109,0.216
"69","multifamily","3","C2",3,"Reg","SourceEUI",1252,527,2450,0.556,0.233,306.757,17.514,11.188,0.128
"70","multifamily","4","C2",3,"Reg","SourceEnergy",1252,527,2450,0.982,0.97,1453462869864.83,1205596.479,665312.418,0.149
"71","multifamily","5","C2",4,"Reg","SourceEUI",1252,666,8665,0.672,0.299,226.731,15.058,8.633,0.1
"72","multifamily","6","C2",4,"Reg","SourceEnergy",1252,666,8665,0.99,0.979,830461124655.648,911296.398,451189.171,0.11
"73","multifamily","7","C2",5,"Reg","SourceEUI",1252,692,19301,0.689,0.305,214.908,14.66,8.17,0.094
