"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",67,22,23,0.406,0.129,274.905,16.58,11.567,0.256
"R21","C1",1,"Reg","SourceEnergy",67,22,23,0.854,0.785,376401789256.513,613515.924,429934.962,0.291
"1","C2",2,"Reg","SourceEUI",67,58,205,0.711,-1.121,133.869,11.57,6.902,0.135
"2","C2",2,"Reg","SourceEnergy",67,58,205,0.963,0.726,96213921569.678,310183.69,182085.436,0.138
"3","C2",3,"Reg","SourceEUI",67,67,955,1,NA,0,0,0,0
"4","C2",3,"Reg","SourceEnergy",67,67,955,1,NA,0,0,0,0
"5","C2",4,"Reg","SourceEUI",67,67,2675,1,NA,0,0,0,0
"6","C2",4,"Reg","SourceEnergy",67,67,2675,1,NA,0,0,0,0
"7","C2",5,"Reg","SourceEUI",67,67,4981,1,NA,0,0,0,0
"8","C2",5,"Reg","SourceEnergy",67,67,4981,1,NA,0,0,0,0
"R22","C3a",1,"rpart","SourceEUI",67,5,5,0.271,0.224,337.322,18.366,15.123,0.316
"R211","C3a",1,"rpart","SourceEnergy",67,5,5,0.595,0.569,1043049232187.81,1021297.818,619045.547,0.365
"R23","C3b",1,"xgboost_default","SourceEUI",67,11,11,0.473,0.379,192.028,13.857,10.819,0.217
"R212","E3b",1,"xgboost_default","SourceEnergy",67,12,12,0.901,0.881,235381825104.411,485161.648,368743.181,0.244
"R24","C3b",1,"xgboost_random","SourceEUI",67,4,4,0.014,-0.033,430.491,20.748,16.321,0.352
"R213","E3b",1,"xgboost_random","SourceEnergy",67,12,12,0.385,0.262,1092019157878.17,1044997.205,572873.921,0.326
