"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",113,25,26,0.369,0.196,31628.638,177.844,134.232,0.862
"R21","C1",1,"Reg","SourceEnergy",113,25,26,0.766,0.702,90065169461394.2,9490267.091,6928014.025,0.919
"1","C2",2,"Reg","SourceEUI",113,87,259,0.775,0.032,11254.49,106.087,48.729,0.449
"2","C2",2,"Reg","SourceEnergy",113,87,259,0.934,0.717,25321126462596.1,5032010.181,2244440.744,0.529
"3","C2",3,"Reg","SourceEUI",113,95,1360,0.811,-0.176,9469.674,97.312,41.655,0.294
"4","C2",3,"Reg","SourceEnergy",113,95,1360,0.942,0.639,22332499999998.8,4725727.457,1906708.066,0.304
"5","C2",4,"Reg","SourceEUI",113,95,4295,0.811,-0.176,9469.674,97.312,41.655,0.294
"6","C2",4,"Reg","SourceEnergy",113,95,4295,0.942,0.639,22332499999998.8,4725727.457,1906708.066,0.304
"7","C2",5,"Reg","SourceEUI",113,95,8866,0.811,-0.176,9469.674,97.312,41.655,0.294
"8","C2",5,"Reg","SourceEnergy",113,95,8866,0.942,0.639,22332499999998.8,4725727.457,1906708.066,0.304
"R22","C3a",1,"rpart","SourceEUI",113,5,5,0.167,0.136,41723.001,204.262,164.341,1.143
"R211","C3a",1,"rpart","SourceEnergy",113,5,5,0.585,0.569,159839820219512,12642777.393,8034372.257,0.96
"R23","C3b",1,"xgboost_default","SourceEUI",113,12,12,0.292,0.215,29466.254,171.657,134.422,0.887
"R212","E3b",1,"xgboost_default","SourceEnergy",113,14,14,0.783,0.755,78332634844735.1,8850572.572,7152918.554,1.061
"R24","C3b",1,"xgboost_random","SourceEUI",113,15,15,0.373,0.283,22810.486,151.031,119.014,0.75
"R213","E3b",1,"xgboost_random","SourceEnergy",113,24,24,0.879,0.847,43623581686243.3,6604815.038,5344596.282,0.81
