"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
714095,3,2,"LOW/AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",56,NA,145.8999939,44731160,104186456.14402
114297,1,4,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",113,"61",36,2100097.75,4114692
234144,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",80,"87",42,6744317,9834048
50292,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",91,NA,25.10000038,430473.6875,1262329.21911096
58640,1,2,"AVERAGE","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",52,NA,175.3999939,3928695.25,10285455.642296
75397,1,3,"AVERAGE/GOOD","MASONRY","HEAT PUMP","Rect or Slight Irreg",26,"91",21.70000076,549181.375,1636114.95730172
203504,1,4,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",9,"72",58.40000153,3785282.5,11884633.9113611
128800,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",40,"97",20.79999924,1809101.5,2679039.902112
52311,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",57,"96",19.79999924,930611.875,1035757.76024364
52500,1,1,"LOW/AVERAGE","PREFAB STEEL","SPACE HEATERS","Rect or Slight Irreg",44,"2",191.8000031,3989399,10069500.16275
57300,1,2,"LOW/AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",58,"55",151.1999969,4560492,8663759.82237
123061,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",16,"59",50.70000076,1987934.625,6239192.79352636
106000,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",54,"93",22.60000038,763364.5,2395600.04028
127800,1,5,"GOOD/EXCELLENT","MASONRY","HOT WATER","Rect or Slight Irreg",103,"56",64.40000153,2767491,8230320.195534
98475,1,4,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",20,"83",27.89999962,1090496.625,2747452.4625795
94400,1,3,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",18,"38",33.5,784364.5,3162400
90000,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",50,"87",46.20000076,1429146.375,4158000.0684
106041,1,4,"AVERAGE/GOOD","STRUCTURAL STEEL","SPACE HEATERS","Rect or Slight Irreg",20,"94",25.70000076,1123943,2725253.78059116
22780,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",51,"33",55.40000153,402051.3125,1262012.0348534
85400,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",51,"49",56.5,1536998.25,4825100
55700,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",51,"63",29.29999924,519806.0938,1632009.957668
64660,1,3,"GOOD","MASONRY","SPACE HEATERS","Rect or Slight Irreg",31,"89",13,325513,840580
323916,1,2,"AVERAGE/GOOD","MASONRY","SPACE HEATERS","Rect or Slight Irreg",26,"92",48.90000153,8024064.5,15839492.8955915
140520,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",49,"61",36.09999847,2225512,5072771.7850044
53472,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",69,NA,31.89999962,971155.625,1705756.77968064
50417,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",37,"14",73.90000153,1847401,3725816.37713801
104786,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",48,"93",23.60000038,1028376.875,2472949.63981868
50832,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",60,"63",77.90000153,2551022.25,3959812.87777296
76354,1,1,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",46,"70",116.4000015,2843033.5,8887605.714531
98480,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",61,"65",81.19999695,2831565.5,7996575.699636
93020,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",43,"60",42.29999924,1252323.875,3934745.9293048
82852,1,1,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",95,"83",54.70000076,2153603.5,4532004.46296752
78814,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",63,"69",28.29999924,861972.875,2230436.14010136
144050,1,7,"AVERAGE","REINFORCED CONCRETE","SPACE HEATERS","Rect or Slight Irreg",91,"26",63.29999924,3929371,9118364.890522
99084,1,1,"LOW COST","REINFORCED CONCRETE","PACKAGE UNIT","Rect or Slight Irreg",91,"83",33.90000153,1618110.375,3358947.75159852
154330,1,5,"GOOD","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",105,"81",41.59999847,1262235.25,6420127.7638751
145158,1,2,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",32,"51",146.8999939,8384523,21323709.3145362
149881,1,4,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",66,"97",26.79999924,2417401.25,4016810.68609044
