"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
37740,1,1,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",91,1,597.4000244,7442314.5,22545876.920856
38038,1,4,"GOOD","REINFORCED CONCRETE","HEAT PUMP","Long Rect or Irreg",18,84,165.3999939,2003807.75,6291484.9679682
64596,1,4,"EXCELLENT","STRUCTURAL STEEL","FORCED AIR UNIT","Very Irreg",10,92,125,2524228.25,8074500
41466,1,3,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",89,1,523.7000122,9190442,21715744.7058852
130710,1,6,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",4,92,166.3000031,7429423,21737073.405201
35780,1,4,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",91,77,196.6000061,1912760.75,7034348.218258
47686,1,4,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",98,72,140.1999969,2071670.25,6685577.0521734
40715,1,6,"AVERAGE","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",102,NA,190.1000061,2827772.75,7739921.7483615
36160,1,4,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",107,47,161.6999969,1862176.875,5847071.887904
66900,1,5,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",108,100,73.59999847,1634178.25,4923839.897643
50499,1,3,"GOOD","MASONRY","PACKAGE UNIT","Very Irreg",17,13,272.2000122,3205182.5,13745828.4160878
54465,1,5,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",53,68,182.3999939,3600571.25,9934415.6677635
21128,1,2,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",58,97,64.90000153,436604.0938,1371207.23232584
51552,1,3,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",4,NA,88.19999695,1539066.375,4546886.2427664
45864,1,3,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",87,94,81.19999695,2590622,3724156.6601148
33176,1,3,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",30,89,99.5,1426279.5,3301012
41262,1,2,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",35,84,146.6999969,1903455.875,6053135.2720878
43183,1,2,"AVERAGE/GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",64,NA,562.4000244,7408342,24286120.2536652
24000,1,2,"LOW COST","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",50,73,142.3999939,1088556.25,3417599.8536
39927,1,3,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",43,38,283.3999939,3568419.5,11315311.5564453
23910,1,3,"AVERAGE","MASONRY","REFRIGERATED COOLING","Rect or Slight Irreg",90,NA,97.59999847,873577.3125,2333615.9634177
25500,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",50,98,66.30000305,1213869.75,1690650.077775
26389,1,3,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",25,NA,143.6999969,1208035.375,3792099.2181941
25859,1,3,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",35,88,88.69999695,858780.625,2293693.22113005
41784,1,4,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",9,89,121.8000031,1294615.25,5089291.3295304
20022,1,2,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",56,80,99.30000305,657385.8125,1988184.6610671
30152,1,4,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",10,96,105.3000031,845044.125,3175005.6934712
