"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
23409,1,1,"GOOD/EXCELLENT","REINFORCED CONCRETE","WARMED AND COOLED AIR","Long Rect or Irreg",61,67,320.7999878,2545405,7509606.9144102
63153,1,1,"GOOD/EXCELLENT","REINFORCED CONCRETE","WARMED AND COOLED AIR","Long Rect or Irreg",20,NA,219.8999939,4644178,13887344.3147667
32960,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",117,71,77.5,813641,2554400
25762,1,2,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",71,100,232.3999939,1906384.875,5987088.6428518
20000,1,1,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",103,75,87.59999847,557863.6875,1751999.9694
25159,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",55,38,755.2000122,8905287,19000077.1069398
25920,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",101,5,58,478690.0938,1503360
25920,1,2,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",98,93,74,1011667.5,1918080
20516,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",106,98,89.59999847,1021796.625,1838233.56861052
27480,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",111,88,123.5,1215156.25,3393780
26115,1,1,"GOOD","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",19,43,159.8000031,1689372.625,4173177.0809565
26400,1,2,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",97,36,121.3000031,983595.875,3202320.08184
34680,1,4,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",117,92,82.09999847,1169948.875,2847227.9469396
36504,1,1,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",102,2,390.1000061,2100982.75,14240210.6226744
45271,1,2,"AVERAGE","REINFORCED CONCRETE","SPACE HEATERS","Rect or Slight Irreg",53,57,112.1999969,2553763.5,5079406.0596599
25194,1,3,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",24,NA,184.6999969,1878742.875,4653331.7218986
33005,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",42,21,759.2000122,10642754,25057396.402661
38845,1,2,"GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",25,82,364,6917280,14139580
26092,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",64,40,711.5,7619445,18564458
56193,1,2,"AVERAGE/GOOD","MASONRY","SPACE HEATERS","Rect or Slight Irreg",59,NA,115.8000031,2497942.75,6507149.5741983
29214,1,1,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",51,8,781.0999756,9336239,22819054.6871784
89103,1,1,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",17,34,660.2000122,14029480,58825801.6870566
23500,1,1,"GOOD","MASONRY","SPACE HEATERS","Rect or Slight Irreg",21,53,141.6999969,1137967.5,3329949.92715
22420,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",50,82,148,1404253.75,3318160
25842,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",56,35,718.7000122,8518313,18572645.7152724
32810,1,1,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",28,66,148.3999939,2017967.75,4869003.799859
24982,1,1,"AVERAGE/GOOD","REINFORCED CONCRETE","ELECTRIC","Rect or Slight Irreg",52,99,42.09999847,335245,1051742.16177754
41615,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",51,69,143.3999939,1900006.25,5967590.7461485
21603,1,1,"AVERAGE/GOOD","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",52,16,660.9000244,5833800,14277423.2271132
