"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
56228,1,2,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",56,95,60.70000076,1539478.5,3413039.64273328
160645,1,2,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",68,75,68.09999847,6779173,10939924.2542132
54986,1,2,"AVERAGE/GOOD","MASONRY","HEAT PUMP","Rect or Slight Irreg",27,97,77.80000305,1650279.25,4277910.9677073
175565,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",67,88,55,6399127.5,9656075
175015,1,3,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",63,95,74,6994740.5,12951110
56072,1,3,"GOOD","MASONRY","HOT WATER","Very Irreg",106,76,81.09999847,3234787.75,4547439.11420984
67743,1,3,"AVERAGE/GOOD","STRUCTURAL STEEL","HOT WATER","Rect or Slight Irreg",94,34,82.30000305,2646879,5575249.10661615
194104,1,6,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",109,100,54,6219841.5,10481616
130862,1,1,"AVERAGE/GOOD","MASONRY","HOT WATER","Very Irreg",60,61,85.59999847,6456026,11201786.9997811
59955,1,3,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",28,93,78.69999695,1633399.375,4718458.31713725
93218,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",53,86,65.90000153,2887392,6143066.34262354
131013,1,2,"GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",54,88,59.09999847,3894584.5,7742868.09955011
245587,1,1,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",58,92,83.69999695,11765682,20555631.1509596
55513,1,2,"GOOD","MASONRY","HOT & CHILLED WATER","Rect or Slight Irreg",26,93,80.40000153,1513570.75,4463245.28493489
289588,1,4,"GOOD","MASONRY","STEAM","Rect or Slight Irreg",27,90,78.5,8819852,22732658
254523,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",9,60,120.3000031,13567774,30619117.6890213
78804,1,3,"EXCELLENT","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",16,92,76.90000153,2499140,6060027.72057012
66994,1,3,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",15,79,94.09999847,2371304.5,6304135.29749918
98357,1,3,"GOOD","MASONRY","FORCED AIR UNIT","Very Irreg",17,88,77.80000305,3456131.5,7652174.89998885
236758,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",6,96,78.69999695,8355988.5,18632853.8778881
62526,1,3,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",15,96,70.59999847,1986094.875,4414335.50433522
242795,1,2,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",18,80,107.3000031,9157150,26051904.2526645
173185,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",65,79,58.90000153,6127771.5,10200596.764973
145341,1,1,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",54,75,69.5,5499097,10101199.5
184125,1,2,"GOOD/EXCELLENT","WOOD FRAME","STEAM","Rect or Slight Irreg",57,86,84.19999695,8800292,15503324.4384187
367884,1,2,"AVERAGE/GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",7,97,81.59999847,12265516,30019333.8371375
46797,1,1,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",59,86,82.19999695,2075891,3846713.25726915
67371,1,2,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Very Irreg",13,92,78,2128459,5254938
127776,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",7,75,100,4748137,12777600
