"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
91916,1,6,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",16,"82",102.4000015,1913034.125,9412198.537874
33480,1,5,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",17,NA,94,979442.3125,3147120
24722,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",14,NA,100.0999985,579061.125,2474672.162917
43422,1,4,"GOOD","WOOD FRAME","(unknown)","Long Rect or Irreg",20,"38",94.80000305,1702639,4116405.7324371
36546,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",109,"79",88,885958.125,3216048
101530,1,7,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Very Irreg",9,"81",81,3879728,8223930
26172,1,4,"AVERAGE","WOOD FRAME","HOT WATER-RADIANT","Rect or Slight Irreg",55,"50",92.59999847,772214.625,2423527.15995684
25920,1,3,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",108,"76",69.80000305,759508.6875,1809216.079056
69272,1,7,"GOOD","WOOD FRAME","(unknown)","Rect or Slight Irreg",19,NA,96,2484007.75,6650112
20366,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",91,NA,124.0999985,1581425.75,2527420.569451
23888,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",43,"51",91.80000305,698326.625,2192918.4728584
45579,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",17,NA,71.19999695,747994.8125,3245224.66098405
23175,1,4,"AVERAGE","WOOD FRAME","(unknown)","Rect or Slight Irreg",20,NA,74.80000305,715252.625,1733490.07068375
72716,1,7,"AVERAGE","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",48,"76",103.5,2828098.5,7526106
73495,1,5,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",15,"96",92.40000153,2918553.25,6790938.11244735
37824,2,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Very Irreg",48,"79",90.40000153,1593610.125,3419289.65787072
29216,1,6,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Long Rect or Irreg",9,"44",99.19999695,944638.1875,2898227.1108912
23448,1,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",28,"98",72.5,408807,1699980
26498,1,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",53,"78",82.80000305,683307.375,2194034.4808189
22984,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",54,"41",92.30000305,675611.375,2121423.2701012
26342,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Very Irreg",49,"97",76.90000153,568381.6875,2025699.84030326
29588,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",11,NA,95.5,1242586.25,2825654
