BBL,StreetNumber,StreetName,Boroguth,ZipCode_ll84,SourceEUI,WeatherNormalizedSourceEUI,ENERGYSTARScore,Reported_Property_FloorArea_Building,DOF_Property_FloorArea_Buildngs_and_Parking,Primary_Property_Type_Self_Selected,DOF_Number_of_Buildings,TotalEnergy,Borough,Block,Lot,ZipCode_pluto,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,YearAlter1,YearAlter2,BldgFront,BldgDepth,AreaUnitPrice
1010070029,120,WEST   55 STREET,MANHATTAN,10019,342.9,341.6,32,1866766,1900241,Office,2,651592638.9,MN,1007,29,10105,1345 AVENUE OF THE AMER,5,1931978,O9,516892950,130950000,90375,2,49,51,0,1931978,0,1968,2016,0,175,232,267.5459813724587
1009200012,605,3 AVENUE,MANHATTAN,10016,200.3,196.8,78,1056389,898734,Office,1,180016420.2,MN,920,12,10158,605 3 AVENUE,5,898734,O4,136642500,26550000,48285,1,43,40,0,898734,0,1963,0,0,197,244,152.03886800766412
1010220043,1631,BROADWAY,MANHATTAN,10019,220.9,218.6,71,2837932,2438059,Office,1,538567233.1,MN,1022,43,10019,1631 BROADWAY,5,2438059,O4,449491500,61200000,90400,1,48,47,0,2438059,0,1972,1989,0,170,335,184.36448830811725
1013090032,900,3 AVENUE,MANHATTAN,10022,177,170.2,82,591315,516720,Office,1,91459440,MN,1309,32,10022,900 3 AVENUE,5,516710,O4,118742400,25920000,16905,1,36,35,0,516710,0,1983,0,0,151,120,229.80472605523408
1010050001,801,7 AVENUE,MANHATTAN,10019,263.8,262,23,1165e3,1172021,Hotel,1,309179139.8,MN,1005,1,10019,811 7 AVENUE,5,1172021,H1,188945100,77400000,60775,1,49,13,0,44775,0,1960,2002,2010,198,296,161.21306700135918
1012710038,712,5 AVENUE,MANHATTAN,10019,178.8,177.4,80,574857,520796,Office,1,93118324.8,MN,1271,38,10019,712 5 AVENUE,5,520796,O4,163003500,40500000,17555,1,50,73,0,520796,0,1988,0,0,25,115.5,312.9891550626349
1013060033,850,3 AVENUE,MANHATTAN,10022,193.1,191.2,82,590518,574675,Office,1,110969742.5,MN,1306,33,10022,850 3 AVENUE,5,574675,O4,78853950,23985000,31632,1,20,21,0,574675,0,1960,1997,0,201,195,137.21486057336756
1012930069,745,5 AVENUE,MANHATTAN,10022,221.6,218.6,74,530303,459340,Office,1,101789744,MN,1293,69,10151,745 5 AVENUE,5,459340,O4,156213900,31140000,21975,1,35,2,0,459340,0,1930,0,0,119,200,340.08338050246005
1009980029,1177,AVENUE OF THE AMER,MANHATTAN,10036,246.4,,60,997901,912955,Office,1,224952112,MN,998,29,10036,1177 AVENUE OF THE AMER,5,912955,O4,200633850,42300000,32134,1,47,0,0,912955,0,1988,2016,0,172,197,219.76313180824903
1012910028,65,EAST   55 STREET,MANHATTAN,10022,217.4,215.3,76,619631,528562,Office,1,114909378.8,MN,1291,28,10022,65 EAST 55 STREET,5,528552,O4,143802900,30870000,30966,1,37,25,0,528552,0,1986,0,0,122,150,272.0695409344776
