PropertyId,PropertyName,BBL10digits,PostalCode,StreetNumber,StreetName,Borough_ll84,DOFGrossFloorArea,PrimaryPropertyTypeSelfSelected,ListofAllPropertyUseTypesatProperty,LargestPropertyUseType,LargestPropertyUseTypeGrossFloorArea,X2ndLargestPropertyUseType,X2ndLargestPropertyUseGrossFloorArea,X3rdLargestPropertyUseType,X3rdLargestPropertyUseTypeGrossFloorArea,YearBuilt_ll84,NumberofBuildingsSelfreported,Occupancy,MeteredAreas.Energy.,ENERGYSTARScore,WeatherNormalizedSiteElectricity_kWh,SourceEUI,SiteEUI,BBL,Borough_pluto,Block,Lot,ZipCode,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt_pluto,YearAlter1,YearAlter2,BldgFront,BldgDepth
2977417,ADP MANAGEMENT,2057540072,10463,222,WEST 233 STREET,Bronx,66270,Multifamily Housing,Multifamily Housing,Multifamily Housing,74000,,,,,1923,1,100,Whole Building,96,34058.4,80.2,73.2,2057540072,BX,5754,72,10463,222 WEST 233 STREET,3,66270,D1,1613250,360450,20018,1,6,72,72,0,66270,1928,0,0,150,95
5857884,225 West 232 Street,2057540090,10463,225,WEST 232 STREET,Bronx,87510,Multifamily Housing,Multifamily Housing,Multifamily Housing,87510,,,,,1929,1,100,Whole Building,33,477369.9,150.1,108.1,2057540090,BX,5754,90,10463,225 WEST 232 STREET,3,87510,D1,1738350,256950,23928,1,6,96,96,0,87510,1929,0,0,211,91
3538197,233 West 233rd,2057550019,10463,233,WEST 233 STREET,Bronx,56250,Multifamily Housing,Multifamily Housing,Multifamily Housing,62287,,,,,1930,1,100,Whole Building,68,230944.1,113.3,82.8,2057550019,BX,5755,19,10463,233 WEST 233 STREET,4,56250,C7,1515150,140850,12500,1,5,56,55,700,55550,1927,0,0,125,90
2977991,217 LLC,2057550056,10463,217,WEST 233 STREET,Bronx,71720,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,,,,,1927,1,100,Whole Building,98,15504.1,73.5,68.5,2057550056,BX,5755,56,10463,217 WEST 233 STREET,2,71720,C1,1167300,175050,16300,1,5,62,62,0,71720,1927,0,0,163,88
2683999,315 West 232nd Street,2057580442,10463,315,WEST 232 STREET,Bronx,75747,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,70447,Parking,5300,,,1974,1,100,Whole Building,100,364518.9,72.8,33.5,2057580442,BX,5758,442,10463,315 WEST 232 STREET,3,75747,D4,1749150,321750,32500,1,6,72,72,5300,70447,1974,0,0,194,70
2669053,3240 Riverdale Ave,2057590364,10463,3240,RIVERDALE AVENUE,Bronx,67987,Multifamily Housing,Multifamily Housing,Multifamily Housing,67987,,,,,1970,1,100,Whole Building,51,275293.7,118.3,84,2057590364,BX,5759,364,10463,3240 RIVERDALE AVENUE,3,67987,D4,1800900,270000,27325,1,6,66,66,0,67987,1970,2009,0,164.17,61
5966023,3411 Irwin Ave,2057590573,10463,3411,IRWIN AVENUE,Bronx,345000,Multifamily Housing,Multifamily Housing,Multifamily Housing,345000,,,,,1962,1,100,Whole Building,41,1539053.9,139.9,104,2057590573,BX,5759,573,10463,3411 IRWIN AVENUE,3,345000,D3,5153850,1260000,175000,1,20,401,401,0,345000,1962,0,0,387.5,55.58
2661551,Pinnacle - 3410 Kingsbridge Ave,2057600100,10463,3410,KINGSBRIDGE AVENUE,Bronx,142500,Multifamily Housing,Multifamily Housing,Multifamily Housing,153900,,,,,1927,1,100,Whole Building,64,661511.7,111.5,76.2,2057600100,BX,5760,100,10463,3410 KINGSBRIDGE AVENUE,2,142500,C1,2740050,261900,14550,1,5,117,117,0,142500,1927,0,0,220,139
2661575,Pinnacle - 3424 Kingsbridge Ave,2057600112,10463,3424,KINGSBRIDGE AVENUE,Bronx,128500,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,136195,Medical Office,1300,,,1962,1,100,Whole Building,,726114.5,165.2,120.8,2057600112,BX,5760,112,10463,3424 KINGSBRIDGE AVENUE,3,128500,D3,3086550,662850,58925,1,13,138,138,0,128500,1962,0,0,185.67,66.33
2661595,Pinnacle - 3425 Kingsbridge Ave,2057610444,10463,3425,KINGSBRIDGE AVENUE,Bronx,69595,Multifamily Housing,Multifamily Housing,Multifamily Housing,73771,,,,,1964,1,100,Whole Building,49,411255.2,136.8,95.4,2057610444,BX,5761,444,10463,3425 KINGSBRIDGE AVENUE,3,69595,D3,1220850,345600,25605,1,10,56,56,0,69595,1964,0,0,200,41.17
2790840,Garthchester- 3475 Greystone Avenue,2057640642,10463,3475,GREYSTONE AVENUE,Bronx,61187,Multifamily Housing,"Multifamily Housing, Office, Parking",Multifamily Housing,61187,Parking,1875,Office,1000,1957,1,100,Whole Building,,214700.2,142.8,111.7,2057640642,BX,5764,642,10463,3475 GREYSTONE AVENUE,3,61187,D4,1557900,166500,16800,1,6,57,56,1000,60187,1957,0,0,125,85
2978811,Omonia Realty Corp,2057660775,10463,3605,KINGSBRIDGE AVENUE,Bronx,65250,Multifamily Housing,Multifamily Housing,Multifamily Housing,72085,,,,,1929,1,100,Whole Building,40,352968.7,131,93.2,2057660775,BX,5766,775,10463,3605 KINGSBRIDGE AVENUE,4,65250,D7,1162350,168750,12500,1,6,68,66,5500,59750,1929,1990,0,125,87
3114841,288 West 238th Street,2057670798,10463,288,WEST 238 STREET,Bronx,69848,Multifamily Housing,Multifamily Housing,Multifamily Housing,77531,,,,,1960,1,100,Whole Building,76,260079.9,104.6,76,2057670798,BX,5767,798,10463,288 WEST 238 STREET,3,69848,D4,1764450,225000,20000,1,6,74,74,0,69848,1962,0,0,154.92,62.33
