SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
188,0,4,1000167509,17.6133959750115,237270,RM,27600309,6346807,194762,45203,1,9,184,182,32279,162483,1988,,,141.71300869779526
135.7,0,4,1000167510,17.6731390884694,348953,RM,37542605,5982742,251350,24167,1,28,294,293,6885,244465,1988,,,149.36385518201712
198.4,0,4,1000167511,17.4412308911306,189273,RM,22369945,3560392,157584,29850,2,9,165,163,33013,124571,1990,,,141.9556871255965
263,0,5,1000167512,18.9440006066265,641681,RC,85399200,8063550,215884,79338,1,14,2,0,215884,0,1988,,,395.5791072983639
68.1,0,4,1000167513,17.4608391413097,562340,RM,94399835,7768796,523677,46266,6,38,117,115,294617,229060,2003,,,180.26347347697148
148.4,0,4,1000167514,17.9822767379101,434680,RM,44238605,4495502,344863,20763,1,35,234,233,2856,342007,2006,202,102,128.27878026926635
131.8,0,4,1000167515,17.4513727113928,287819,RM,41315442,6255034,251430,34776,1,23,289,286,29421,222009,1985,188.6,210.73,164.32184703496003
130.6,0,4,1000167517,18.0112771120316,508458,RM,51646068,54e5,407665,35352,1,33,250,247,70281,337384,2006,200,198,126.68752039051672
176.8,0,4,1000167520,18.1358207869175,425407,RM,57521250,3624751,377325,32218,1,32,281,280,79700,297625,2008,,,152.4448419797257
147.7,2003,3,1000170029,17.6883470120556,325515,D5,31497300,603e4,325514,23902,1,27,399,397,1e3,324514,1969,108,130,96.76173682237938
188.6,2002,4,1000187501,18.0527264234847,366993,RM,44469451,5355451,366124,24470,1,38,453,452,50183,315941,1956,175,146,121.4600818301996
174.9,0,5,1000200001,17.8281864455113,316150,O3,20026800,3483e3,316150,14490,1,30,43,0,316150,0,1931,70,182,63.34588012019611
186,0,5,1000200004,18.2370712220874,447452,O3,33380100,1035e4,447452,17440,1,36,0,0,447452,0,1928,88.75,109.25,74.6004040656875
250.1,0,5,1000200009,18.338554667155,368315,O4,30872250,1134e4,368315,15529,1,33,36,0,368315,0,1983,80,186,83.82023539633194
208.5,0,5,1000200016,17.9822678472953,309381,O3,33025050,6165e3,309381,15722,1,31,41,0,309381,0,1983,79,201,106.74556614659595
183.3,1986,5,1000210001,18.5969896107,650740,O3,53235450,15795e3,650740,22197,1,33,99,0,650740,0,1913,105,202,81.8075575498663
285.5,1978,5,1000210004,18.37667694285,335184,O3,26165700,7515e3,335184,16716,1,21,16,0,335184,0,1917,80,214,78.06369039094945
128,1955,3,1000210006,17.4738021365223,303086,D5,30685500,5805e3,303086,13967,1,23,245,237,16658,286428,1900,78,223.83,101.24354143708386
197.8,1925,5,1000220013,18.952977274427,860889,O4,48144150,12465e3,860889,46055,1,32,117,0,860889,0,1923,277.58,207,55.923760206019594
226.9,1966,5,1000220017,17.2951093010278,143e3,O3,8677800,3375e3,143e3,9372,1,18,0,0,143e3,0,1900,53.25,207,60.68391608391608
236.1,1970,5,1000220020,18.3379702651898,389927,O3,25634700,837e4,389927,21490,1,21,0,0,389927,0,1904,116.25,197.58,65.74230561105027
155.1,1980,5,1000220024,17.6578586222059,300676,O4,25309800,5985e3,300676,13323,1,38,1,0,300676,0,1927,81.75,175,84.17632268621374
192.5,2003,5,1000220028,18.0129598434566,345540,O4,41994000,837e4,345540,18640,1,19,5,0,345540,0,1897,125,159,121.53151588817504
360.3,2006,5,1000230019,18.2764930448983,240279,O3,23604300,14625e3,240279,31350,2,23,1,0,240279,0,1904,195.92,156.5,98.23704943003759
242.5,0,5,1000230050,18.5447007337557,466820,O3,60889500,1278e4,466820,19975,1,27,1,0,466820,0,1956,121.5,150.67,130.43464290304615
227.9,0,5,1000240001,19.2190566083807,974958,O3,101501550,2016e4,974958,44757,1,38,0,0,974958,0,1961,214.08,245.83,104.10863852596728
193.7,0,5,1000240029,18.0875688550334,37e4,O4,28584000,9945e3,37e4,13220,1,46,0,0,37e4,0,1932,88.08,149.83,77.25405405405405
90.5,0,5,1000240036,16.7406899939166,205940,O3,15797250,36e5,205940,13971,1,20,0,0,205940,0,1913,80,185.75,76.70802175390891
278.6,0,4,1000247501,18.3055720465634,319910,RM,31694171,9270044,238157,16100,1,31,166,157,83720,154437,1982,81.83,150.75,133.08099698938096
246.8,0,5,1000250001,18.422748305074,406025,O3,23650650,1053e4,406025,23132,1,31,6,0,406025,0,1968,131,216,58.249245736099994
257.6,2004,8,1000250010,16.9760813127747,91553,W8,11463750,2949750,91553,11110,1,9,1,0,91553,0,1929,106.67,128.08,125.21435671141306
233.4,1996,3,1000250019,18.6105498760057,518034,D9,38990250,5510700,518034,24572,1,21,311,308,2e4,498034,1900,107,236,75.26581266866654
201.7,1985,5,1000250027,17.6825968650774,237e3,O3,11047050,2902500,237e3,14970,1,20,0,0,237e3,0,1902,107,70.5,46.61202531645569
240.4,0,4,1000257501,18.6632534190935,530168,RM,55541258,2753961,377483,23649,1,44,321,320,52421,325062,2005,132,115,147.1357862473277
153.4,1974,3,1000260014,17.8736168335744,377214,D5,35102700,1233e4,377214,18016,2,26,374,372,6e3,371214,1904,61.08,220,93.05778682657589
125.7,1996,3,1000260021,17.9425418070459,493187,D9,48606300,4725e3,493187,20249,1,27,440,435,36487,456700,1958,107,185,98.55551748119882
133.8,2005,4,1000267501,18.6544945063497,944252,RM,92754017,26999251,810798,39846,1,42,400,382,252916,557882,1914,261,185,114.39842846183636
179.6,2004,3,1000270009,18.0912786016091,400531,D5,46007100,1188e4,400531,17623,1,37,482,476,22e3,378531,1929,112.5,213.17,114.86526635890854
197.8,0,4,1000277501,17.8100212452177,274516,RM,33355350,7514995,188278,31469,1,9,108,107,81145,107133,1836,204,171,177.1601036764784
104.6,2009,4,1000277502,18.2260533787288,786942,RM,73912816,144e5,724299,24524,1,57,352,350,289022,435277,1929,223.08,53.33,102.04738098492473
162.2,1978,3,1000280001,17.4735551206311,239121,D0,18492300,3672e3,239121,11934,1,23,211,202,11e3,228121,1926,116,89.25,77.33448756069103
222.6,0,5,1000280012,16.8704238235672,95325,O3,4311450,1566e3,95325,3945,1,27,18,0,95325,0,1931,38,96,45.22895357985838
160.8,2006,4,1000287501,16.6734956162168,108373,RM,13997251,1930501,93544,7120,1,15,128,126,11471,82073,1987,110,84,149.63280381424784
133.2,0,5,1000290001,18.700910548103,993569,O4,81948600,405e5,993569,42762,1,31,1,0,993569,0,1983,115,246,82.47902259430397
222.3,1983,5,1000290036,16.9657434501098,105e3,O3,6487200,3312e3,105e3,8409,1,14,4,0,105e3,0,1907,92,88,61.78285714285714
548.8,1929,5,1000290070,19.7096712428031,661283,O3,70442100,11745e3,661283,26068,1,35,1,0,661283,0,1928,230.33,112.17,106.5233795515687
714.6,2010,10,1000290086,17.9542549466259,87775,G1,7411950,1538550,87775,11398,1,8,3,0,87775,0,1962,134,99,84.44260894332099
162.6,1997,4,1000297501,16.179509570609,65396,RM,4540950,2051100,61238,9150,3,8,42,39,16522,44716,1920,,,74.15248701786473
198.5,0,5,1000300019,18.8615276386478,782883,O4,70752150,234e5,782883,35496,1,26,14,0,782883,0,1983,128,253,90.37384896593744
143.1,2005,4,1000310001,18.0603923135136,487404,D6,55281600,1107e4,487404,24400,1,21,497,493,2e4,467404,1972,136,161.58,113.42048895782554
209.3,2007,4,1000317501,18.7726103180121,679316,RM,78356920,17056082,346253,30794,1,36,349,346,29478,316775,1987,115,298,226.29961328854912
286.3,0,5,1000327501,20.7749198962505,3678e3,RB,273504602,65250002,3583167,160692,1,53,52,0,3583167,0,1973,382,318,76.33040882548873
182.9,2008,5,1000330001,18.4111634700365,541568,O4,73104300,1422e4,541568,25779,1,26,12,0,541568,0,1969,171,126,134.98637290238713
125.4,1987,3,1000330011,17.899331338942,473460,D5,58374450,21015e3,473460,22957,1,22,510,507,29960,443500,1969,54,231,123.29330883284754
211.9,2008,5,1000350001,19.1448569333344,973587,O4,116209800,29565e3,973587,42176,1,36,6,0,973587,0,1987,190,184,119.36252230155087
176.5,2008,5,1000350010,18.9790335918575,990250,O4,71858250,37575e3,990250,48741,1,24,2,0,990250,0,1968,215,232,72.56576622065135
50.2,0,5,1000370008,16.512019426708,295376,O3,19246050,6615e3,295376,17017,1,27,24,0,295376,0,1965,119,157,65.15779887330046
137.1,0,5,1000370023,18.8125903438982,1079361,O4,130321800,2772e4,1079361,46799,1,41,12,0,1079361,0,1982,180,189,120.73977103119346
252,2007,5,1000380001,18.5763445184743,463664,O4,37625400,1377e4,463664,22399,1,29,64,0,463664,0,1969,108,174,81.14798647296318
261,2007,5,1000380017,18.8123845177499,566858,O3,56767500,162e5,566858,27600,1,32,23,0,566858,0,1973,211,93,100.14412780625835
51.7,0,5,1000390001,14.8282672015273,53253,O3,4523400,976500,53253,4957,1,12,14,0,53253,0,1902,92,52,84.94169342572249
