FACILID,FACSIZE,CHAIN,own2,occu_cat,perroom1,perroom2,perapt1,perapt2,unitmicro,unitcook,unitoven,unitfrig,unitsink,unitlock,unitfull,unithalf,KITCHEN,resspou2,rcfyear2,RCFBUILT,smokeres2,smokercf2,wateres2,watercf2,GRABRCF,wheelrcf2,callres2,wheelres2,WHEELBAT,grabath2,RESPITE,ADULTDAY,anyddmi,RISKAGRE,RISKOTH,LGFURN,smfurn2,PETRCF,PETRES,carpark2,MEDICAID,resmed2,WAITLIST,waitnum2,waitdays2,movein2,DIED2,moveout2,movehosp2,movenh2,movercf2,movepriv2,moveothp2,movecost2,rnhour2,lpnhour2,aidehour2,acthour2,dirhour2,rnhppd2,lpnhppd2,aidehppd2,CONTRACT,VOLWORK,volnum2,VOLOFFIC,VOLHOME,VOLPERS,VOLTRAN,VOLVISIT,VOLFAM,VOLRELIG,VOLMEAL,VOLSHOP,VOLREC,VOLEXER,VOLOTHER,resvol2,nightstf2,dirnum2,rnnum2,lpnnum2,aidenum2,dirleft2,rnleft2,lpnleft2,aideleft2,FLUSTAFF,FLUST_IMP,VACRECOM,VACSITE,VACFREE,VACCOST,VACINCEN,VACPROF,VACFURLO,VACMAIN,PNEUMAIN,PANDEMIC,TRAINAID,trainhrs2,HOUSEKP,JANITOR,FOODPREP,HELPREC,HELPLAUN,HELPTRAN,anytask,HIFAM,HIAIDE,LIFEAIDE,PENSAIDE,PAYPREM,FORMFUNC,physcog2,INDSERV,EHRS,COMPUTER,ITDEM,ITMDINFO,ITFUNC,ITSERPLN,ITNOTE,ITPROB,ITRXADM,ITRXLIST,ITALLERG,ITPRESC,ITCONTRA,ITORDER,ITVIEW,ITREMIND,ITDISCH,ITPUBLIC,anyitcap,ITMD,ITNH,ITHOSP,ITPHARM,ITLAB,ITLTC,ITPERS,ITPHR,ITCORP,itanyexch,PDA,HISPN_IMP,reshisp2,GENDER_IMP,resmale2,resfemale2,AGE_IMP,reslt55,reslt65,reslt75,reslt85,resge85,RACE_IMP,reswhite2,resblack2,resother2,resmem2,urincont2,bedchair2,wheelchr2,bedhelp2,eathelp2,medhelp2,walkhelp2,bathhelp2,demwing2,perdembed2,perdemres2,DEMLOCK,DEMWATCH,DEMYARD,DEMRATIO,DEMTRAIN,ADEMER,DCEMER,ADCOG,DCCOG,ADBEH,DCBEH,ADSNC,DCSNC,ADMON,DCMON,ADURINE,DCURINE,ADFECES,DCFECES,ADLIFT,DCLIFT,ADDRUG,DCDRUG,ADEOLC,DCEOLC,ADOTH,DCOTH,SERVDIET,STAFDIET,SERVNURS,STAFNURS,SERVBHM,STAFBHM,SERVOUT,STAFOUT,SERVCONT,STAFCONT,SERVAPPT,STAFAPPT,SERVSTOR,STAFSTOR,SERVCOUN,STAFCOUN,SERVCASE,STAFCASE,SERVOCC,STAFOCC,SERVPT,STAFPT,SERVWORK,STAFWORK,SERVEDU,STAFEDU,CABLETV,PHONE,INTERNET,PUBNET,AMPHONE,TDD,LISTEN,SIGNAL,BOARD,OTHEAR,MEDSTORE,MEDMIND,MEDDELIV,MEDHAND,MEDTAKE,MEDCUE,MEDDROP,MEDIV,MEDINJ,MEDOTH,RNHAND,LPNHAND,CERTHAND,AIDEHAND,DIRHAND,RNADM,LPNADM,CERTADM,AIDEADM,DIRADM,PERSLIC,DRMEDS,RESTRAIN,DRUGBEH,RATETYPE,FFSTYPE,DEPOSIT,PRIORFEE,costapt1,costapt1a,costapt2,costapt2a,costrm1,costrm1a,costrm2,costrm2a,SNSBAS,SNSEX,CONTBAS,CONTEX,APPTBAS,APPTEX,OCCBAS,OCCEX,PTBAS,PTEX,PRIVNURS,mealsbas2,MEALTIME,MEALROOM,RESNOENG,SPEAKLAN,FAMHELP,HANDSIGN,OTHCOMM,FACRESP,totalfac2,certif_comb,thisfac2,DIRGEND,dirage2,DIRHISP,DIRWHITE,DIRBLACK,DIRASIAN,dirother,dired2,msa2,PUFSTRATA,PUFPOPFAC,FACFNWT
349,3,2,1,1,0,0,82.9,17.1,75,25,25,75,75,75,75,25,1,7.7,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,-1,1,1,2,1,1,2,-1,2,-1,-1,5,5,4,5,11.8,41.2,17.6,29.4,5,48,0,336,24,24,4,1,5,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,95,2,3,3,0,9,2,1,0,9,5,2,1,1,2,1,2,2,1,3,2,1,1,2,2,2,2,1,1,2,1,1,-1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,0,2,38.5,61.5,2,25,25,25,30.8,61.5,2,100,0,0,0,2,5,5,5,5,1,4,4,2,-1,-1,-1,-1,-1,-1,-1,3,3,1,2,2,1,2,1,1,2,3,2,3,3,2,1,3,1,3,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,-1,1,2,1,1,1,1,2,4400,-1,3500,-1,-1,-1,-1,-1,2,1,1,2,1,2,-1,-1,-1,-1,1,2,2,1,2,-1,-1,-1,-1,1,95,2,85,2,3,2,1,2,2,2,2,2,10,3778,9
350,2,2,1,2,21.4,78.6,0,0,25,25,25,25,25,25,25,25,2,0,2,2,1,1,1,1,3,2,3,2,3,1,2,2,1,2,1,2,1,2,2,1,1,75,2,-1,-1,9,1,3,22.2,22.2,33.3,5,22.2,5,0,0,376,20,40,1,1,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,10,0,0,0,5,7,2,1,1,1,2,2,2,2,4,4,1,1,4,1,2,1,1,1,1,1,2,2,2,2,-1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,45,55,2,25,25,30,30,25,2,100,0,0,80,1,5,5,5,5,1,5,3,2,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,3,3,2,2,1,3,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,-1,-1,-1,-1,2550,-1,2550,-1,-1,-1,1,2,1,2,-1,-1,-1,-1,1,2,2,1,2,-1,-1,-1,-1,1,300,1,120,1,3,2,1,2,2,2,2,2,11,2516,6
351,2,2,1,3,71.4,28.6,0,0,25,25,25,25,25,25,25,25,2,0,2,2,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,1,1,2,2,1,1,50,2,-1,-1,6,2,2,5,50,50,5,5,50,0,0,266,0,80,1,1,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,0,15,0,0,0,3,5,2,2,1,2,1,2,2,2,4,4,1,1,2,1,1,1,1,1,2,1,2,2,2,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,28.6,71.4,2,25,25,25,42.9,50,2,100,0,0,21.4,2,5,5,1,1,1,3,2,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,-1,1,2,1,1,1,2,1,2,2,-1,2,-1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,-1,-1,-1,-1,3400,-1,3200,-1,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,-1,-1,-1,-1,2,-1,1,120,2,1,2,1,2,2,2,1,1,7,1539,8
352,3,2,2,2,0,0,100,0,25,25,25,25,25,75,25,75,1,4.9,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,-1,1,2,60.8,28,1,4,5,90.9,5,6.1,5,5,0,62,160,5,5,1,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,4,15,1,0,1,5,3,2,2,1,1,2,2,2,2,4,4,3,1,4,2,2,2,1,1,2,1,1,-1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,34.1,65.9,2,25,25,25,25,75,2,100,0,0,34.1,1,5,5,5,5,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,-1,-1,-1,-1,-1,2,1,1,2,1,1,1,2,1,1,2,1,1,3975,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,1,122,1,36,2,1,2,1,2,2,2,3,1,2,872,8
353,2,2,1,3,100,0,0,0,25,25,25,25,25,25,25,75,1,0,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,1,63.2,2,-1,-1,6,4,1,5,95,5,5,5,5,4,32,371,40,30,2,3,4,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,95,2,1,1,1,15,0,0,0,7,3,2,2,1,1,2,2,2,2,4,4,3,1,2,1,1,1,1,1,1,1,1,-1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,21.1,78.9,2,25,25,25,36.8,63.2,2,100,0,0,95,1,5,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,-1,-1,-1,-1,4000,4000,-1,-1,1,2,1,2,1,2,-1,-1,-1,-1,2,2,2,1,2,-1,-1,-1,-1,1,180,1,36,2,1,2,1,2,2,2,4,2,11,2516,8
354,3,1,2,1,0,0,100,0,33.3,25,25,75,75,75,75,25,2,0,2,1,1,1,1,1,3,1,1,1,2,1,2,2,1,1,-1,1,1,2,1,1,1,75,1,3,91.3,10,3,4,9.1,54.5,18.2,18.2,5,5,42,0,168,0,4,3,1,2,2,1,4,2,2,2,2,1,1,1,2,2,1,2,2,50,2,2,1,0,10,0,1,0,1,7,2,2,1,1,2,2,1,2,2,5,3,1,2,1,1,2,1,1,1,1,1,-1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0.1,2,33.3,66.7,2,25,25,25,46.7,43.3,2,73.3,25,0,6.7,5,5,5,5,5,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,3,3,2,1,2,1,1,2,1,2,1,2,2,1,3,1,2,2,2,2,2,-1,2,-1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,-1,1,3,1,2,2,-1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,1,2,2,1,1,2,2,1950,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,-1,-1,2,1,2,2,2,2,2,-1,-1,-1,-1,1,78,1,78,2,2,2,2,1,2,2,2,1,5,2908,12
355,3,1,1,2,0,52.4,47.6,0,75,25,25,75,75,75,75,25,1,13.3,2,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,-1,1,10,180,13,1,4,33.3,50,5,16.7,5,8.3,40,40,376,56,72,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,11,0,0,0,8,7,2,2,1,1,2,2,2,2,5,5,3,1,2,1,1,2,2,1,1,1,1,-1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,18.2,81.8,2,25,25,25,31.8,63.6,2,97.7,2.3,0,55.6,3,5,5,3,3,1,4,3,2,-1,-1,-1,-1,-1,-1,-1,3,3,1,2,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,-1,2,-1,1,2,1,1,1,1,1,1,1,1,2,-1,1,1,1,2,1,2,2,-1,2,-1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2405,-1,-1,-1,-1,-1,3015,-1,-1,-1,1,2,1,2,2,1,2,1,2,2,1,2,2,-1,-1,-1,-1,2,-1,1,120,2,2,2,1,2,2,2,3,2,5,2908,11
356,3,2,1,2,0,31.1,59.5,9.5,25,25,25,75,68.9,75,75,25,2,24.6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,23.1,2,-1,-1,27,4,4,5,58.3,8.3,33.3,5,5,0,120,448,40,16,1,4,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,4,15,0,0,2,7,7,2,1,1,1,2,2,2,1,1,1,2,1,4,2,2,2,1,1,2,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,29.2,70.8,2,25,25,25,30.8,58.5,2,98.5,1.5,0,23.1,4,5,4,5,5,2,5,4,2,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,-1,2,-1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,-1,1,2,2,2,1,1,2,2730,-1,3330,-1,-1,-1,3090,-1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,-1,-1,-1,-1,1,300,1,42,1,2,2,1,2,2,2,3,2,10,3778,10
357,1,2,1,4,100,0,0,0,25,25,25,25,25,75,66.7,25,1,0,2,1,1,1,2,2,3,1,3,1,2,1,2,2,2,1,-1,1,1,2,1,1,2,-1,2,-1,-1,1,1,1,5,95,5,5,5,5,0,0,90,0,30,1,1,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,3,0,0,0,2,8,2,1,2,2,2,2,2,2,4,4,1,2,2,1,1,1,1,1,1,1,2,2,2,2,-1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,83.3,16.7,2,25,25,25,66.7,25,2,83.3,0,5,16.7,1,5,4,4,4,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,3,3,3,3,2,1,1,2,1,2,1,2,3,3,3,1,1,2,2,2,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,-1,-1,-1,-1,2600,-1,-1,-1,-1,-1,2,1,1,2,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,2,-1,1,120,2,1,2,1,2,2,2,3,1,4,9825,35
358,3,1,1,2,66.7,22.2,11.1,0,75,25,25,75,25,75,75,25,2,8.7,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-1,1,1,2,1,1,2,-1,1,4,91.3,23,4,4,26.3,42.1,5.3,15.8,10.5,5,40,120,413,55,80,2,4,3,2,1,4,2,2,1,2,1,1,1,1,1,1,1,2,95,3,3,3,4,14,1,0,2,6,7,2,1,1,1,2,1,2,1,4,4,3,1,4,1,2,2,2,2,2,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,0,2,19.6,80.4,2,25,25,25,25,75,2,100,0,0,8.7,3,5,2,3,4,1,2,3,2,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,-1,1,1,1,3,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,4454,-1,-1,-1,3677,-1,2679,-1,-1,-1,2,1,1,2,2,1,2,1,1,2,2,2,2,-1,-1,-1,-1,1,24,2,24,2,1,2,1,2,2,2,3,1,5,2908,12
359,3,2,2,3,0,0,26,23.4,49.4,32.5,32.5,49.4,49.4,49.4,49.4,25,1,12.1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,-1,1,1,1,1,1,2,-1,2,-1,-1,10,4,2,5,75,25,5,5,25,40,0,280,32,28,3,1,3,1,1,4,2,2,2,2,1,2,1,2,1,1,1,2,72.7,1,3,1,0,10,1,1,0,5,7,2,1,1,1,2,2,2,1,4,4,3,1,4,1,2,2,1,1,1,1,1,-1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,24.2,75.8,2,25,25,25,36.4,51.5,2,100,0,0,18.2,5,5,4,5,5,2,5,5,2,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,1,2,2,1,1,2,3,3,2,1,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2540,-1,2865,-1,-1,-1,-1,-1,2,1,2,1,1,2,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,1,20,1,20,2,2,2,1,2,2,2,4,1,10,3778,11
360,2,2,1,3,30,70,0,0,25,25,25,25,25,30,25,25,2,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,75,1,2,30.4,3,1,2,95,5,5,5,5,5,0,0,160,0,80,1,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,0,0,4,0,0,0,1,8,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,0.1,2,76.9,23.1,2,25,75,25,25,25,2,84.6,15.4,0,0,5,5,5,5,5,5,5,5,2,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,2,-1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,-1,2,-1,2,-1,2,-1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,2,-1,-1,-1,-1,1500,-1,1200,-1,-1,-1,1,2,1,2,-1,-1,-1,-1,2,2,1,1,2,-1,-1,-1,-1,1,132,1,120,2,1,2,2,2,1,2,3,1,3,899,6
361,1,1,2,4,80,20,0,0,25,25,25,25,25,25,75,25,1,0,1,2,1,1,2,2,2,1,3,2,2,1,2,2,1,2,1,1,1,2,1,1,2,-1,2,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,222,0,70,1,1,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,0,7,0,0,0,0,4,2,2,1,2,2,2,2,2,4,4,3,1,4,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,33.3,66.7,2,75,25,25,25,25,2,100,0,0,0,2,5,4,3,3,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,3,2,3,3,1,2,3,3,1,2,1,2,1,2,3,2,3,3,1,2,2,2,1,3,1,2,1,3,1,3,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,-1,-1,-1,-1,1500,-1,1200,-1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,300,2,62,1,2,2,1,2,2,2,3,1,8,2395,24
362,1,1,1,4,100,0,0,0,33.3,25,25,50,25,75,25,25,2,0,2,1,1,1,1,1,3,1,1,1,2,1,2,2,1,1,-1,1,1,1,1,1,1,75,1,3,180,3,1,2,50,25,25,5,5,5,0,0,50,0,12,1,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,3,0,0,0,2,8,2,1,1,1,2,1,1,1,4,4,3,1,2,1,1,1,1,1,2,1,2,2,2,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,100,0,2,50,33.3,25,25,25,2,83.3,16.7,0,16.7,3,5,5,5,5,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,3,3,3,3,2,1,1,2,2,2,2,1,2,2,3,1,2,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,-1,-1,-1,-1,1784,-1,-1,-1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,-1,-1,-1,-1,1,96,1,48,2,1,2,1,2,2,1,2,1,6,3318,25
363,3,2,2,1,0,0,76.9,23.1,25,25,75,75,75,75,75,25,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,-1,1,1,2,2,1,1,20,1,7,60.8,6,2,3,5,71.4,14.3,14.3,5,5,40,10,112,10,0,4,3,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,1,4,0,0,0,2,7,2,1,1,1,2,2,1,2,1,1,2,1,4,1,1,2,2,1,2,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,0,2,28.6,71.4,2,25,25,25,25,71.4,2,100,0,0,0,4,5,4,4,5,4,5,5,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,1,2,3,1,2,3,3,3,3,2,1,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,-1,2,-1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,-1,1,2,2,1,1,2,2,1850,-1,2575,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,-1,-1,-1,-1,1,180,1,84,1,2,2,1,2,2,2,4,2,10,3778,11
364,3,1,2,1,91.7,8.3,0,0,75,25,25,75,75,75,75,25,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,-1,2,-1,-1,29,2,2,5,5,5,5,95,95,8,120,202,40,6,2,4,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,4,7,0,0,2,5,6,2,1,1,1,2,2,2,2,4,4,1,1,2,1,2,2,1,1,1,1,1,-1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,34.6,65.4,2,25,25,25,26.9,73.1,2,100,0,0,0,3,5,3,5,5,2,4,5,2,-1,-1,-1,-1,-1,-1,-1,2,3,2,3,2,3,2,3,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,-1,-1,-1,-1,4500,-1,3500,-1,-1,-1,2,1,1,2,-1,-1,-1,-1,2,2,2,1,2,-1,-1,-1,-1,1,300,1,12,2,3,2,1,2,2,2,4,1,10,3778,11
365,2,2,1,1,100,0,0,0,25,25,25,25,25,75,25,75,2,0,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,1,66.7,2,-1,-1,12,6,2,20,20,5,60,5,5,0,10,333,0,40,1,2,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,1,12,0,0,0,4,3,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,-1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,100,2,25,25,25,25,75,2,100,0,0,16.7,1,5,5,2,5,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,3,3,2,3,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,2,1,2,2,-1,2,-1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,-1,-1,-1,-1,3100,-1,-1,-1,1,2,1,2,-1,-1,2,1,2,1,1,2,1,1,2,-1,-1,-1,-1,1,300,1,114,2,2,2,1,2,2,2,1,1,11,2516,9
