"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
60196,50,0.83,1,51,393,6387,"Low-rise",5771639,3036345,95.9,50.4,433
46389,51,1.1,1,52,763,6294,"Low-rise",7948437,4671797,171.3,100.7,925.04
34265,53,1.55,1,54,2120,2960,"Low-rise",4983972,1587252,145.5,46.3,925.04
188889,53,0.28,1.7,90,1272,4423,"High-rise",31607252,15814323,167.3,83.7,433
45423,53,1.17,1.3,68,100,5094,"Mid-rise",4832295,2082877,106.4,45.9,925.04
54596,53,0.97,1,54,1055,5180,"Low-rise",6123699,2975442,112.2,54.5,433
84102,54,0.64,2.1,114,1272,4423,"Mid-rise",11717790,8109095,139.3,96.4,433
42534,55,1.29,1,56,1642,3932,"Mid-rise",6290240,3061344,147.9,72,925.04
41075,55,1.34,1,56,1467,4329,"Mid-rise",5819031,3742175,141.7,91.1,433
51960,56,1.08,1.3,73,1536,4312,"Mid-rise",6137789,4171925,118.1,80.3,433
43252,56,1.29,1.1,60,851,5371,"Low-rise",4493808,2671065,103.9,61.8,433
49901,56,1.12,1,57,884,5936,"Mid-rise",6417851,3183428,128.6,63.8,925.04
69504,57,0.82,1.4,79,1165,4570,"Mid-rise",10791097,7425557,155.3,106.8,433
51800,57,1.1,1.5,83,1165,4570,"Mid-rise",6420729,4303511,124,83.1,433
31000,58,1.87,1,58,34,3345,"Low-rise",8453866,5819470,272.7,187.7,925.04
221485,59,0.27,1,59,1272,4423,"High-rise",33294474,15742872,150.3,71.1,433
47375,59,1.25,1,60,745,7168,"High-rise",4685323,2571153,98.9,54.3,925.04
40080,60,1.5,1.1,64,2920,2281,"Low-rise",4934284,2001247,123.1,49.9,925.04
125300,60,0.48,2.2,132,1272,4423,"High-rise",12601678,9051062,100.6,72.2,433
43680,60,1.37,1,60,875,5152,"Mid-rise",5550057,3371067,127.1,77.2,433
46816,60,1.28,1,60,1155,5770,"Mid-rise",7585158,4543034,162,97,925.04
