"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
390068,292,0.75,1.3,394,3548,2226,"High-rise",48798988,15973005,125.1,40.9,469.3
184206,297,1.61,1.1,339,993,6186,"High-rise",31047667,19532418,168.5,106,469.3
292566,307,1.05,1.6,487,924,5221,"Mid-rise",16229907,7039813,55.5,24.1,43.24
242471,311,1.28,1.1,346,1272,4423,"High-rise",43677626,26356314,180.1,108.7,43.24
345000,313,0.91,1.2,374,1272,4423,"High-rise",50134877,29471955,145.3,85.4,43.24
352460,328,0.93,1.7,552,1971,2838,"Low-rise",40517469,12903652,115,36.6,512.18
354675,332,0.94,1.7,566,1940,2826,"Low-rise",25901173,8248781,73,23.3,512.18
288849,338,1.17,1.7,560,1272,4423,"High-rise",59119355,27725496,204.7,96,43.24
369450,360,0.97,1.7,612,1272,4423,"Mid-rise",46082054,30460565,124.7,82.4,43.24
389528,371,0.95,1.2,430,1272,4423,"High-rise",84175003,46965692,216.1,120.6,43.24
918820,381,0.41,1.1,406,1272,4423,"High-rise",53385578,34991639,58.1,38.1,43.24
404149,383,0.95,1.462,560,1165,4570,"High-rise",54275490,47391105,134.3,117.3,43.24
496743,396,0.8,1.2,470,1805,3789,"High-rise",67173228,26613997,135.2,53.6,512.18
455849,396,0.87,1.3,499,1272,4423,"High-rise",65051008,38179062,142.7,83.8,43.24
461420,401,0.87,1.4,553,1805,3789,"High-rise",64765410,39420801,140.4,85.4,512.18
390628,415,1.06,1.2,493,1272,4423,"High-rise",58883381,43876824,150.7,112.3,43.24
462107,425,0.92,1.6,677,1971,2838,"Low-rise",48314771,15386870,104.6,33.3,512.18
461420,426,0.92,1.4,602,1805,3789,"High-rise",64396307,37846547,139.6,82,512.18
507825,435,0.86,1.4,621,1272,4423,"High-rise",78038000,40536453,153.7,79.8,43.24
499580,440,0.88,1.2,523,1272,4423,"High-rise",72677636,41497806,145.5,83.1,43.24
689004,444,0.64,1.6,716,3596,2279,"Low-rise",72167110,22983156,104.7,33.4,512.18
559456,461,0.82,1.2,576,1272,4423,"High-rise",40943572,25036441,73.2,44.8,43.24
411110,478,1.16,1.3,626,1272,4423,"High-rise",66561343,35979904,161.9,87.5,43.24
540791,498,0.92,1.8,879,1940,2826,"Low-rise",50836691,16190029,94,29.9,512.18
540891,500,0.92,2.2,1117,989,5006,"Mid-rise",60223451,42349399,111.3,78.3,43.24
568117,522,0.92,1.2,616,1272,4423,"High-rise",68978438,37668614,121.4,66.3,43.24
505497,525,1.04,1.3,681,1535,4200,"High-rise",112271967,78732663,222.1,155.8,43.24
526987,602,1.14,1.6,954,1165,4570,"High-rise",93286013,59513299,177,112.9,43.24
769024,624,0.81,1.1,708,1805,3789,"High-rise",107384737,67674257,139.6,88,512.18
689000,640,0.93,1.3,820,1165,4570,"High-rise",80810850,64121588,117.3,93.1,43.24
857404,814,0.95,1.2,993,1272,4423,"High-rise",92503412,39040292,107.9,45.5,43.24
1258958,912,0.72,1.5,1368,1805,3789,"High-rise",146685816,72692612,116.5,57.7,512.18
