"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","RFGSTP","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","LODGRM","OCCUPYP","LODOCCP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
62000,4,2,NA,NA,12,1,168,15,1,2,90,100,2,1,2,2,2,1,2,NA,NA,1,1,NA,NA,2,3,4,9,1,9,1,106,2,1,2551,1692,38,18,84.055763395,6199581,3298626,2900955,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,1,100,NA,NA,2,3,100,NA,83,9236152.8,3046002.75,NA,NA,12282155.55,198.1,99.99,23.62,6199581
280000,994,8,NA,NA,12,1,168,71,1,2,100,100,2,2,1,1,2,1,2,NA,NA,2,NA,12,NA,15,1,15,40,10,6,4,995,8,6,4033,1527,38,18,15.945623796,27152471,17145928,1838543,NA,8168000,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,12,NA,15,1,300,NA,80,48008598.4,1930470.15,NA,9801600,59740668.55,213.36,96.97,3.08,27152471
57000,5,2,NA,NA,12,1,168,8,1,2,100,100,2,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,5,4,7,0,3,0,108,1,1,5044,1301,38,18,316.08389453,4236322,2572849,1663473,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,6,NA,NA,NA,5,100,NA,46,7203977.2,1746646.65,NA,NA,8950623.85,157.03,74.32,18.58,4236322
400000,6,2,NA,NA,12,1,168,800,1,2,100,100,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,5,5,5,0,3,1,180,NA,1,3863,1489,38,18,36.189304782,21726071,16946701,4779370,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,5,175,NA,NA,NA,5,175,NA,60,47450762.8,5018338.5,NA,NA,52469101.3,131.17,54.32,9.11,21726071
430000,994,9,NA,NA,12,1,168,350,1,2,100,100,2,1,1,1,1,2,2,NA,NA,2,NA,9,NA,6,NA,16,30,10,30,2,995,8,10,4647,1131,38,18,25.322576596,52210416,18209656,2064760,NA,31936000,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,9,NA,6,NA,700,NA,85,50987036.8,2167998,NA,38323200,91478234.8,212.74,121.42,2.26,52210416
130000,5,3,NA,NA,12,1,168,40,1,2,100,100,2,1,2,2,1,2,2,NA,NA,2,NA,1,NA,3,3,7,11,1,9,3,995,NA,1,1564,3298,38,18,90.622000825,8471005,5207507,3263498,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,175,1,NA,3,3,175,NA,65,14581019.6,3426672.9,NA,NA,18007692.5,138.52,65.16,18.12,8471005
270000,8,3,NA,NA,12,1,168,95,1,2,100,100,1,1,1,1,2,1,2,NA,NA,2,NA,6,NA,NA,9,9,25,2,6,10,995,3,4,76,4608,38,18,17.191258213,22170054,16858927,5266860,44267,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,100,6,NA,NA,9,400,NA,85,47204995.6,5530203,44709.67,NA,52779908.27,195.48,82.11,9.98,22170054
290000,7,7,NA,NA,12,1,168,175,1,2,100,100,1,2,1,1,2,1,2,NA,NA,2,NA,2,NA,2,8,10,75,12,20,0,995,10,5,2139,2272,38,18,30.431064391,26738673,19106190,2057483,NA,5575000,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,200,2,NA,2,8,200,NA,80,53497332,2160357.15,NA,6690000,62347689.15,214.99,92.2,3.3,26738673
7900,2,NA,NA,NA,12,1,168,3,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,2,0,20,NA,NA,2447,1359,39,18,751.72654486,913673,341620,572053,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,20,NA,45,956536,600655.65,NA,NA,1557191.65,197.11,115.65,36.74,913673
39500,6,1,NA,NA,12,1,168,12,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,7,0,4,0,70,NA,NA,116,4234,38,18,385.90781293,1562320,803410,758910,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,3,70,NA,NA,NA,1,70,NA,75,2249548,796855.5,NA,NA,3046403.5,77.12,39.55,24.91,1562320
