"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",8311,8,8,0.062,0.061,2575.832,50.753,32.134,Inf
"R21","C1",1,"Reg","SiteEnergy",8311,8,8,0.558,0.558,231319333732148,15209185.834,3546022.023,Inf
"R27","C2",2,"RegInt","SourceEUI",8311,29,29,0.095,0.092,2484.886,49.849,31.75,Inf
"R216","C2",2,"RegInt","SiteEnergy",8311,29,29,0.776,0.776,117029094566792,10817998.64,3887323.533,Inf
"R22","C2",3,"RegInt","SourceEUI",8311,64,64,0.121,0.114,2415.235,49.145,31.321,Inf
"R211","C2",3,"RegInt","SiteEnergy",8311,64,64,0.897,0.897,53657422728009.8,7325122.711,3232717.795,Inf
"R23","C2",4,"RegInt","SourceEUI",8311,98,99,0.138,0.128,2366.046,48.642,30.992,Inf
"R212","C2",4,"RegInt","SiteEnergy",8311,98,99,0.927,0.926,38345800197388.5,6192398.582,2921403.257,Inf
"R24","C2",5,"RegInt","SourceEUI",8311,114,120,0.141,0.13,2357.778,48.557,30.927,Inf
"R213","C2",5,"RegInt","SiteEnergy",8311,114,120,0.931,0.93,35898307223520.2,5991519.609,2878505.088,Inf
"R25","C2",6,"RegInt","SourceEUI",8311,116,127,0.142,0.13,2356.195,48.541,30.916,Inf
"R214","C2",6,"RegInt","SiteEnergy",8311,116,127,0.932,0.931,35507455861329.9,5958813.293,2872800.237,Inf
"R26","C2",7,"RegInt","SourceEUI",8311,116,128,0.142,0.13,2356.195,48.541,30.916,Inf
"R215","C2",7,"RegInt","SiteEnergy",8311,116,128,0.932,0.931,35507455861329.9,5958813.293,2872800.237,Inf
"R28","C3a",1,"rpart","SourceEUI",8311,6,6,0.081,0.08,2524.425,50.244,32.262,Inf
"R217","C3a",1,"rpart","SiteEnergy",8311,7,7,0.702,0.702,155756106644328,12480228.629,2723708.805,Inf
"R29","C3b",1,"xgboost","SourceEUI",8311,7,7,0.325,0.325,1446.218,38.029,24.959,Inf
"R218","E3b",1,"xgboost","SiteEnergy",8311,7,7,0.646,0.645,126197069703760,11233746.913,3193542.121,Inf
