"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
50000,100,31,1,1,6,0,NA,58.2,29.9,1495000,2910000
93000,100,57,1,1,1,0,27,173.2,79.1,7356300,16107600
81966,100,20,1,1.5,1,0,4,83.3,26.5,2172099,6827767.8
49634,100,52,1,1,1,0,1,242.5,163.1,8095305.4,12036245
1e+05,100,58,1,2,1,0,35,112.8,55.4,5540000,11280000
104025,100,62,1,2,8,0,58,82,54.3,5648557.5,8530050
291454,100,42,2,1,2,0,93,35.9,20.4,5945661.6,10463198.6
85000,100,56,1,2,1,0,80,47.6,24.6,2091000,4046000
53000,100,52,1,2,2,0,60,56.7,27.4,1452200,3005100
126533,100,78,4,2,1,0,93,29.7,19.6,2480046.8,3758030.1
50000,100,65,1,2,1,0,67,35.5,22.4,1120000,1775000
65000,100,60,1,1,1,0,91,46.6,44.4,2886000,3029000
45150,100,58,1,1,1,0,41,117.4,62.2,2808330,5300610
54495,100,50,1,1,1,0,77,61.4,35.6,1940022,3345993
388359,100,51,2,1,1,0,36,186.7,89,34563951,72506625.3
56332,100,52,2,2,1,0,3,217.2,69.2,3898174.4,12235310.4
88500,100,87,1,1,1,0,68,119.3,97.1,8593350,10558050
143840,100,86,1,4,3,0,100,19.3,14.3,2056912,2776112
130000,100,62,1,1,1,0,18,160.9,115.9,15067000,20917000
472000,100,8,2,2,1,0,73,71.7,37,17464000,33842400
53000,100,65,1,1,1,0,7,143.7,45.8,2427400,7616100
53143,100,50,1,1.5,1,0,2,194.1,155.1,8242479.3,10315056.3
55045,100,52,1,2,1,0,98,17.5,10.8,594486,963287.5
60000,100,30,1,1,1,0,45,79.7,25.4,1524000,4782000
57165,100,60,1,2,2,0,93,88.8,51.2,2926848,5076252
44200,100,51,1,1,1,0,13,152.8,127.6,5639920,6753760
54600,100,54,1,1,1,0,91,29.3,10.7,584220,1599780
114500,100,54,1,1,1,0,54,50,46.5,5324250,5725000
84000,100,52,1,1,1,0,85,117.2,37.3,3133200,9844800
62810,100,54,1,2,1,0,37,136.8,56.2,3529922,8592408
