"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
95844,100,103,1,11,50,50,19,132.7,60.9,5836899.6,12718498.8
179370,100,6,1,22,169,168,77,108.3,59.4,10654578,19425771
110570,100,54,1,17,178,178,83,139.3,98.8,10924316,15402401
119194,95,89,1,16,134,134,67,115.8,81.4,9702391.6,13802665.2
97857,100,88,1,16,129,127,60,142.4,92,9002844,13934836.8
142971,100,87,1,20,212,210,62,135.7,89.6,12810201.6,19401164.7
131463,100,95,1,13,390,0,100,65.5,24.1,3168258.3,8610826.5
66000,100,28,1,17,86,86,41,146.6,87.9,5801400,9675600
221989,100,14,1,13,261,259,60,130.1,71.3,15827815.7,28880768.9
87892,100,32,1,13,73,52,NA,126,79.3,6969835.6,11074392
415856,100,8,1,23,399,394,37,148.1,82.6,34349705.6,61588273.6
86609,100,5,2,12,99,98,62,214.8,102.9,8912066.1,18603613.2
153392,100,9,1,12,112,108,14,153.8,61,9356912,23591689.6
125914,100,75,1,6,117,117,82,94,54,6799356,11835916
70038,100,4,1,11,39,37,100,51.3,23.8,1666904.4,3592949.4
52706,100,79,1,6,66,64,62,117.4,80,4216480,6187684.4
55332,100,67,1,6,60,60,83,99.7,68.3,3779175.6,5516600.4
77712,100,99,1,6,103,100,49,138.3,89.5,6955224,10747569.6
64517,100,89,1,16,76,74,57,136,89.8,5793626.6,8774312
217914,100,57,1,16,219,217,73,115.5,58.4,12726177.6,25169067
59331,100,32,1,9,44,44,29,125.9,69.7,4135370.7,7469772.9
164000,100,86,1,21,222,221,NA,138.2,79.1,12972400,22664800
197396,100,57,3,21,197,186,92,85.9,82.7,16324649.2,16956316.4
110000,100,111,1,13,77,75,98,84.7,29.1,3201000,9317000
409200,100,57,3,21,763,756,93,86.2,83,33963600,35273040
197396,100,57,1,22,186,186,63,115.3,110.7,21851737.2,22759758.8
206470,100,57,2,22,189,186,90,85.7,82.5,17033775,17694479
409200,100,57,5,22,1521,1510,93,86.4,83.2,34045440,35354880
197396,100,57,2,22,567,560,92,86.8,83.5,16482566,17133972.8
70677,100,53,1,7,68,67,85,95,60.2,4254755.4,6714315
53400,100,92,1,11,60,60,85,116.7,73.4,3919560,6231780
391603,100,17,1,33,345,333,38,169.1,78.4,30701675.2,66220067.3
160386,95,87,1,14,253,252,73,139.1,75.2,12061027.2,22309692.6
80565,100,89,1,12,27,26,92,106.7,78.1,6292126.5,8596285.5
