"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
40000,100,89,1,6,4,0,89,85.2,62.4,2496000,3408000
17500,100,17,1,17,1,0,NA,144.1,79.5,1391250,2521750
8073,100,42,1,36,325,321,NA,127.2,70.9,572375.7,1026885.6
77830,60,92,1,5,0,0,NA,209.9,120,9339600,16336517
29908,100,90,1,12,2,0,84,120.2,62.9,1881213.2,3594941.6
150000,100,63,1,6,3,0,NA,136.7,64.8,9720000,20505000
58000,100,88,2,6,2,0,1,276.1,163.9,9506200,16013800
4357,100,10,1,7,76,76,NA,125.8,76.8,334617.6,548110.6
11298,100,26,1,10,69,56,50,126.5,82,926436,1429197
110000,100,59,1,3,0,0,NA,166.2,87.3,9603000,18282000
2100,100,77,1,6,58,58,86,107.7,78.3,164430,226170
24000,100,92,3,3,5,0,NA,98.1,73.9,1773600,2354400
2900,100,90,1,5,79,77,58,129.7,88.9,257810,376130
130000,100,90,1,5,1,0,2,254.4,98,12740000,33072000
353342,100,86,1,3,1,0,NA,18.2,8.1,2862070.2,6430824.4
7946,100,49,1,4,1,0,80,145,75.2,597539.2,1152170
28086,100,92,1,9,0,0,NA,81.3,56.3,1581241.8,2283391.8
54100,90,64,1,3,1,0,39,90.2,58.2,3148620,4879820
65820,100,99,1,4,1,0,NA,45.1,42.4,2790768,2968482
64064,70,65,1,4,0,0,84,65.1,40.4,2588185.6,4170566.4
98300,100,98,1,4,1,0,78,58.5,25.3,2486990,5750550
23287,100,13,1,2,2,0,89,78.4,31.3,728883.1,1825700.8
126980,100,85,1,2,1,0,NA,70.8,40.5,5142690,8990184
92403,30,31,2,3,1,0,NA,46.8,24.4,2254633.2,4324460.4
68516,100,69,1,4,0,0,82,65.9,46.8,3206548.8,4515204.4
56420,100,64,1,4,0,0,4,227.9,151.5,8547630,12858118
60986,100,88,1,4,0,0,63,55.4,36.1,2201594.6,3378624.4
