"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
148478,100,85,1,22,22,0,71,193.4,91.7,13615432.6,28715645.2
624835,90,57,1,27,57,0,86,170.1,68,42488780,106284433.5
197097,70,89,1,24,1,0,87,132.2,61.5,12121465.5,26056223.4
139824,100,55,1,11,4,0,87,144.2,61,8529264,20162620.8
458698,90,61,1,19,21,0,84,166.8,77.1,35365615.8,76510826.4
201052,100,88,1,16,1,0,81,188.1,75.1,15099005.2,37817881.2
146620,100,89,1,16,5,0,82,190.1,77.9,11421698,27872462
185997,100,88,1,16,1,0,45,283.8,99.1,18432302.7,52785948.6
390878,100,56,1,23,20,0,79,205.3,96.4,37680639.2,80247253.4
408153,100,45,1,39,42,0,52,249.8,79.6,32488978.8,101956619.4
2300,100,32,1,32,49,47,NA,154.2,67.1,154330,354660
23978,100,38,1,34,264,261,40,150,96.1,2304285.8,3596700
743668,95,43,1,48,27,0,91,184.8,78.5,58377938,137429846.4
252324,100,36,1,40,40,0,56,247.1,93.1,23491364.4,62349260.4
563420,100,54,1,39,61,0,59,226.8,121.8,68624556,127783656
627431,100,37,2,29,52,0,71,200.6,83,52076773,125862658.6
314371,100,54,1,21,34,0,73,209.1,100.8,31688596.8,65734976.1
5000,100,9,1,32,136,135,34,140.3,58.2,291000,701500
790632,100,49,1,32,10,0,87,197.1,84.7,66966530.4,155833567.2
4000,100,54,1,20,164,161,NA,162.3,97.9,391600,649200
26482,100,56,1,20,116,115,16,209.5,114.9,3042781.8,5547979
608768,100,54,1,17,224,0,73,195.9,93.6,56980684.8,119257651.2
191000,100,54,1,17,33,0,78,210.3,98.1,18737100,40167300
224375,100,60,1,18,30,0,76,187.1,73.6,16514000,41980562.5
210000,100,96,1,19,30,0,91,128.2,66,13860000,26922000
3510,100,88,2,16,318,312,NA,141.8,102.5,359775,497718
325852,100,67,1,17,9,0,77,195.7,68.9,22451202.8,63769236.4
387000,100,42,1,39,40,0,65,229.1,96.9,37500300,88661700
15000,100,40,1,24,348,338,38,141.6,87.3,1309500,2124000
2800,100,56,1,13,206,205,NA,180.9,124.4,348320,506520
1e+05,100,52,1,11,8,0,57,255.5,95.9,9590000,25550000
187060,100,91,1,16,1,0,76,214.5,84.9,15881394,40124370
71322,100,47,1,15,19,0,20,318.1,143.4,10227574.8,22687528.2
150525,100,89,1,14,20,0,80,147.8,62.6,9422865,22247595
4955,100,52,2,12,204,204,NA,145.7,94,465770,721943.5
6200,100,35,1,22,88,85,25,142.5,93.4,579080,883500
4175,100,35,1,18,228,224,NA,224.5,135,563625,937287.5
4500,100,35,1,24,46,45,NA,163.8,81.9,368550,737100
