"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
11000,100,107,1,9,40,39,NA,81.5,40.9,449900,896500
9600,100,105,1,6,42,0,78,159.3,67.4,647040,1529280
7906,100,12,1,7,17,14,NA,121.6,66,521796,961369.6
18500,100,32,2,5,8,0,67,181.3,61.7,1141450,3354050
11088,100,113,1,12,25,6,NA,201.9,105.6,1170892.8,2238667.2
37401,95,100,1,12,14,0,97,90.1,28.7,1073408.7,3369830.1
20954,100,31,1,12,99,96,64,186.9,93.8,1965485.2,3916302.6
21000,100,13,1,6,1,0,65,270.9,89.6,1881600,5688900
34300,100,107,2,6,4,0,NA,302,105.8,3628940,10358600
22000,100,107,1,6,14,0,64,174.1,68,1496000,3830200
8992,100,47,1,9,145,144,50,155.5,93.5,840752,1398256
12107,100,76,1,7,125,115,NA,167.1,83.1,1006091.7,2023079.7
79264,100,105,1,12,90,56,NA,148.3,71.9,5699081.6,11754851.2
26240,100,97,3,12,28,26,9,201.6,99.1,2600384,5289984
28946,100,107,3,12,43,0,60,231.1,89.7,2596456.2,6689420.6
9400,100,36,1,12,180,176,1,398.8,256.7,2412980,3748720
6000,100,67,1,35,486,480,85,95,36.8,220800,570000
22300,100,87,1,5,29,28,50,195.1,88.2,1966860,4350730
151039.5,100,111,1,15,1,0,82,192.9,77.9,11765977.05,29135519.55
9560,100,57,1,21,372,360,NA,120.2,74.1,708396,1149112
18000,100,52,1,20,269,260,27,164.9,112.8,2030400,2968200
16115,100,75,1,7,164,159,NA,186.8,104.6,1685629,3010282
5000,100,98,1,13,177,172,NA,158.7,92.3,461500,793500
12522,100,18,1,16,3,0,45,209.3,89.4,1119466.8,2620854.6
7825,100,62,1,6,145,144,NA,187.6,96.8,757460,1467970
23600,100,62,1,14,234,229,65,114.7,67.3,1588280,2706920
11130,100,89,1,15,104,96,64,125.8,70.1,780213,1400154
17250,100,111,1,11,13,0,71,187.5,94.1,1623225,3234375
7575,100,113,1,10,15,1,95,77.7,53.3,403747.5,588577.5
20000,100,104,1,6,6,0,67,155.5,71.8,1436000,3110000
9116,100,54,1,20,182,175,95,108.8,63.6,579777.6,991820.8
206442,100,46,1,7,12,0,11,470.7,187.3,38666586.6,97172249.4
9090,100,62,1,20,273,267,27,145.1,125.7,1142613,1318959
24345,100,52,1,25,330,323,NA,110.8,81.7,1988986.5,2697426
8370,100,58,1,7,95,92,38,210.4,126.5,1058805,1761048
36854,100,89,2,5,40,39,NA,167.2,91.4,3368455.6,6161988.8
15680,100,91,1,21,426,420,NA,143.9,90.5,1419040,2256352
13400,100,58,1,12,120,119,78,168.7,88.4,1184560,2260580
5200,100,57,1,16,113,107,NA,136,81.1,421720,707200
5200,100,55,1,6,86,83,80,95.3,52.2,271440,495560
14500,100,110,1,12,78,77,32,203.2,74,1073000,2946400
15000,100,92,1,6,8,0,95,85.4,61,915000,1281000
11150,100,59,1,17,162,160,39,174,96.7,1078205,1940100
24010,100,109,1,10,14,0,86,151.3,67.4,1618274,3632713
17618,100,86,1,17,24,0,78,223.2,82.2,1448199.6,3932337.6
12816,100,58,1,6,85,82,63,227.5,139.1,1782705.6,2915640
12980,100,57,1,21,425,416,NA,146.5,99.9,1296702,1901570
5340,100,105,1,12,20,19,NA,75,43.4,231756,400500
10006,100,56,1,15,155,150,84,120.6,67,670402,1206723.6
5084,100,86,1,20,162,159,71,121,80.3,408245.2,615164
9495,100,19,1,7,25,22,NA,85.4,50.2,476649,810873
5331,100,107,1,17,131,128,57,124.8,81.5,434476.5,665308.8
10000,100,103,1,4,3,0,NA,138.8,58,580000,1388000
7189,100,7,1,10,37,35,16,141.2,50.3,361606.7,1015086.8
10000,100,6,1,13,112,111,75,133.3,62.6,626000,1333000
12389,90,12,1,14,337,336,25,178.8,99.6,1233944.4,2215153.2
9342,100,106,2,6,2,0,81,157,67.4,629650.8,1466694
15364,100,8,1,13,96,90,89,83.8,33.7,517766.8,1287503.2
7252,100,3,1,33,391,390,NA,168.8,81.5,591038,1224137.6
14649,95,81,1,8,30,0,75,202.1,110.3,1615784.7,2960562.9
26107,100,94,1,4,10,0,22,361.2,124.3,3245100.1,9429848.4
157112,100,83,1,8,62,0,NA,387.5,153.8,24163825.6,60880900
10663,100,8,1,23,399,394,37,148.1,82.6,880763.8,1579190.3
13788,100,5,2,12,99,98,62,214.8,102.9,1418785.2,2961662.4
5500,100,79,1,6,66,64,62,117.4,80,440000,645700
9897,100,57,1,16,219,217,73,115.5,58.4,577984.8,1143103.5
15000,100,86,1,21,222,221,NA,138.2,79.1,1186500,2073000
9020,100,111,1,13,77,75,98,84.7,29.1,262482,763994
116917,100,17,1,33,345,333,38,169.1,78.4,9166292.8,19770664.7
9500,100,101,1,24,7,0,82,210.8,81.2,771400,2002600
45637,95,87,1,14,253,252,73,139.1,75.2,3431902.4,6348106.7
23700,100,90,1,25,35,0,NA,157.5,61.6,1459920,3732750
5118,100,90,1,23,58,0,NA,163.9,84.1,430423.8,838840.2
9606,100,90,1,16,21,0,91,113.9,62.4,599414.4,1094123.4
10600,100,10,1,24,572,569,NA,172.1,89.3,946580,1824260
20000,100,88,1,23,28,0,84,170.2,71.7,1434000,3404000
11932,100,112,8,5,120,102,19,214.6,124.8,1489113.6,2560607.2
6152,100,80,1,6,121,113,24,151.5,93.1,572751.2,932028
5070,100,87,1,19,180,175,85,106,66,334620,537420
13168,100,110,1,10,32,31,78,119.1,67.5,888840,1568308.8
6400,100,104,1,12,20,19,NA,87.6,50.1,320640,560640
6552,100,54,1,14,133,130,33,188.6,99.5,651924,1235707.2
14760,100,77,1,6,85,77,86,96,66.7,984492,1416960
10000,100,90,1,18,266,262,NA,144.6,82.4,824000,1446000
39071,100,107,1,19,357,352,29,186.1,89,3477319,7271113.1
7500,100,92,1,12,43,25,74,113.9,74.8,561000,854250
34200,100,105,1,12,14,0,NA,138.9,67.4,2305080,4750380
10000,100,92,1,6,43,0,91,78.5,40.1,401000,785000
15183,100,97,1,16,74,0,94,107.5,58.7,891242.1,1632172.5
5160,90,89,1,17,50,1,90,141.1,66.5,343140,728076
15000,100,107,1,17,0,0,93,126.8,50,750000,1902000
148978,100,47,3,57,451,0,73,236.1,139.2,20737737.6,35173705.8
5600,100,93,1,16,0,0,NA,113.2,55.5,310800,633920
13996,100,7,1,39,349,348,100,66.3,28.2,394687.2,927934.8
7500,100,93,1,16,44,0,NA,127.1,66.1,495750,953250
11957,100,91,1,16,28,0,91,139.4,69.8,834598.6,1666805.8
18250,100,93,1,17,17,0,88,137.9,61.1,1115075,2516675
15000,100,93,1,16,13,0,NA,157.3,70,1050000,2359500
10415,100,93,1,12,10,0,55,225.6,104.7,1090450.5,2349624
8000,100,95,1,13,0,0,NA,111.6,44.9,359200,892800
6550,100,110,1,10,12,0,93,114,54,353700,746700
54900,100,96,1,12,15,0,NA,218.8,91.1,5001390,12012120
