"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
113969,90,94,1,17,2,0,26,270.6,131.5,14986923.5,30840011.4
429900,100,27,1,43,468,0,42,207.3,102,43849800,89118270
71615,100,107,1,13,3,0,49,225.4,146.7,10505920.5,16142021
625844,90,30,1,57,3,0,6,202.9,94.4,59079673.6,126983747.6
70478,100,88,1,16,119,0,21,211.4,94.2,6639027.6,14899049.2
258230,100,106,3,26,6,0,30,259.5,162.7,42014021,67010685
63100,100,96,1,16,93,90,26,203.2,131.7,8310270,12821920
537719,100,78,1,41,1,0,21,273.7,184.3,99101611.7,147173690.3
225000,100,87,1,16,2,0,35,136.9,77.6,17460000,30802500
131671,100,93,1,18,7,0,34,173.5,99.9,13153932.9,22844918.5
259966,100,4,1,77,172,170,2,291.5,129.1,33561610.6,75780089
723209,100,5,1,42,185,182,1,186.6,102.2,73911959.8,134950799.4
176668,100,4,1,30,1,0,53,147.8,69.2,12225425.6,26111530.4
542940,100,89,1,30,1332,0,33,198.2,106.3,57714522,107610708
480000,100,86,1,22,2,0,81,148.5,90.8,43584000,71280000
324701,100,14,1,54,4,0,26,288.2,132.6,43055352.6,93578828.2
122957,100,90,1,16,3,0,46,240.2,128.3,15775383.1,29534271.4
590696,100,28,1,46,10,0,54,209.4,95.9,56647746.4,123691742.4
102400,100,90,1,15,4,0,46,237,122.5,12544000,24268800
192761,100,55,1,14,1,0,53,233.7,122.9,23690326.9,45048245.7
81650,100,5,1,23,1,0,49,287.1,126.7,10345055,23441715
63879,100,7,1,14,2,0,9,218.7,102.3,6534821.7,13970337.3
262051,100,17,1,26,1,0,33,268.8,133.1,34878988.1,70439308.8
461591,90,55,1,22,14,0,12,229.7,138.6,63976512.6,106027452.7
96921,100,87,1,13,7,0,NA,225.2,125.1,12124817.1,21826609.2
364000,70,4,1,67,6,0,14,228.5,101.9,37091600,83174000
425150,100,7,1,36,10,9,32,252.4,112.3,47744345,107307860
187000,100,91,1,16,3,0,57,203.7,107.2,20046400,38091900
164932,100,55,1,11,300,0,67,205,107.5,17730190,33811060
600695,90,90,1,24,6,0,38,226,124.3,74666388.5,135757070
236708,100,6,1,59,820,814,NA,281.8,125.6,29730524.8,66704314.4
121054,100,58,1,8,230,0,32,293.5,176,21305504,35529349
153363,100,9,1,16,222,0,36,240.3,97.6,14968228.8,36853128.9
519832,100,57,1,44,325,156,12,262,128.2,66642462.4,136195984
239011,100,94,1,14,403,0,NA,155.7,53.9,12882692.9,37214012.7
75583,100,87,1,13,0,0,NA,326.2,174.2,13166558.6,24655174.6
1e+05,100,22,1,32,295,205,NA,159.8,68.4,6840000,15980000
120780,100,18,1,10,76,0,NA,254.1,121.1,14626458,30690198
245904,100,88,1,27,67,62,52,157.9,69.1,16991966.4,38828241.6
111480,100,107,1,10,6,0,70,167.8,124.9,13923852,18706344
123075,100,94,1,15,216,0,33,240,151,18584325,29538000
111270,100,114,1,12,1,0,31,183.4,100,11127000,20406918
191868,100,101,1,12,2,0,23,204.3,102.1,19589722.8,39198632.4
80636,100,111,1,11,1,0,60,130.1,85.7,6910505.2,10490743.6
63360,100,107,1,7,1,0,93,114.4,84.8,5372928,7248384
103429,90,10,1,28,4,0,54,209.8,88.4,9143123.6,21699404.2
265002,100,91,1,35,3,0,15,280.4,170.5,45182841,74306560.8
272104,100,115,1,23,9,0,7,353.4,162.8,44298531.2,96161553.6
57707,100,18,1,14,1,0,3,380.1,176.9,10208368.3,21934430.7
115819,80,93,1,18,2,0,18,314.3,127.8,14801668.2,36401911.7
254829,100,27,2,11,327,316,5,181.1,64.7,16487436.3,46149531.9
442000,100,46,1,43,4,0,30,242.5,141.3,62454600,107185000
328679,95,89,1,33,14,12,80,138.3,69,22678851,45456305.7
200708,100,10,1,19,319,164,1,417.5,179.6,36047156.8,83795590
74485,100,27,1,31,1,0,44,247.5,145.9,10867361.5,18435037.5
67140,100,107,1,14,1,0,5,252.3,123.2,8271648,16939422
65000,100,28,1,14,2,0,13,317.5,110.7,7195500,20637500
678297,100,93,1,19,1,0,64,179.7,108.6,73663054.2,121889970.9
893750,100,37,1,51,1,0,15,283.2,181.7,162394375,253110000
230654,100,91,2,19,1,0,67,239.1,81.1,18706039.4,55149371.4
428000,100,113,1,20,48,0,11,332.4,169.5,72546000,142267200
393500,85,24,1,52,3,0,12,316.7,162.2,63825700,124621450
72307,100,65,1,10,4,0,59,208.3,83.7,6052095.9,15061548.1
112951,90,4,2,27,3,0,76,177,74,8358374,19992327
96000,100,88,1,17,211,0,37,252.4,109,10464000,24230400
275000,90,4,1,25,1,0,16,234.1,124.8,34320000,64377500
457390,100,91,1,14,8,0,9,230.1,81.1,37094329,105245439
410257,100,93,1,34,1,0,43,245,127.4,52266741.8,100512965
350000,100,27,1,15,14,0,58,227.4,76.8,26880000,79590000
157462,100,90,1,28,4,0,56,242.6,125.3,19729988.6,38200281.2
147970,100,32,1,29,1,0,32,254.7,131.7,19487649,37687959
424661,100,57,1,19,1,0,74,166,73.3,31127651.3,70493726
214000,100,19,1,30,4,0,48,194.5,83.6,17890400,41623000
247600,70,90,1,22,1,0,65,147.7,56.3,13939880,36570520
68308,100,90,1,16,1,0,54,192.1,81.9,5594425.2,13121966.8
111084,90,97,1,17,9,0,30,263.2,122.9,13652223.6,29237308.8
468907,100,36,1,40,5,0,39,250,159.4,74743775.8,117226750
64320,100,86,1,10,2,0,NA,309.6,156.7,10078944,19913472
71925,100,86,1,13,3,0,73,248.8,130.7,9400597.5,17894940
2e+05,100,42,1,39,40,0,65,229.1,96.9,19380000,45820000
335897,100,90,1,38,175,169,5,252.2,133.2,44741480.4,84713223.4
57000,100,112,1,8,1,0,51,303.9,150.6,8584200,17322300
412604,100,87,1,41,4,0,4,345.7,185.3,76455521.2,142637202.8
320000,100,57,1,20,6,0,47,236,122.3,39136000,75520000
69725,90,92,1,17,2,0,35,266.5,95.8,6679655,18581712.5
170000,100,90,1,16,4,0,70,178.6,63,10710000,30362000
130000,100,91,2,15,114,112,16,349.5,176.9,22997000,45435000
101029,100,90,1,15,11,0,NA,407.9,240,24246960,41209729.1
93000,100,85,2,5,212,210,3,370.2,192.8,17930400,34428600
98495,100,54,1,12,1,0,46,153.2,86.5,8519817.5,15089434
76776,100,26,1,11,77,77,55,226.8,199.7,15332167.2,17412796.8
146262,100,43,1,20,3,0,40,217.7,106.9,15635407.8,31841237.4
53542,100,107,1,10,93,91,38,381.7,216.5,11591843,20436981.4
188526,100,10,1,15,6,0,49,127.9,63.3,11933695.8,24112475.4
157000,100,109,1,13,5,0,NA,174.5,113,17741000,27396500
51517,100,3,1,13,108,107,46,246.8,112.6,5800814.2,12714395.6
544543,100,19,1,24,2,0,27,254.1,150.3,81844812.9,138368376.3
94420,100,7,1,24,1,0,3,228.7,100.6,9498652,21593854
167532,95,7,1,25,1,0,19,238.7,99.2,16619174.4,39989888.4
104172,100,7,1,19,1,0,79,138.8,55.8,5812797.6,14459073.6
55543,90,116,2,8,71,0,21,442.7,229.9,12769335.7,24588886.1
69159,100,10,1,13,1,0,34,254.6,111.5,7711228.5,17607881.4
134645,85,8,1,11,1,0,71,165.2,76.5,10300342.5,22243354
404861,85,28,2,7,358,0,80,135.9,62.3,25222840.3,55020609.9
50367,100,9,1,6,1,0,32,180.2,82.1,4135130.7,9076133.4
63063,100,27,1,4,1,0,57,142.5,58.4,3682879.2,8986477.5
44000,100,11,1,8,1,0,6,261.2,125.9,5539600,11492800
112272,100,3,1,14,88,43,NA,338.7,174.3,19569009.6,38026526.4
233230,100,28,1,15,1,0,19,216.7,99.1,23113093,50540941
84280,100,12,1,6,0,0,85,161.4,78.1,6582268,13602792
244870,100,58,1,9,336,335,23,180.9,91,22283170,44296983
56000,100,16,1,13,0,0,17,339.6,153.3,8584800,19017600
210000,85,29,1,12,1,0,28,271.3,136.7,28707000,56973000
114618,100,37,1,13,0,0,24,194,82,9398676,22235892
85900,70,52,1,4,1,0,25,226.7,108.7,9337330,19473530
59963,90,8,1,6,0,0,40,171.4,73.4,4401284.2,10277658.2
74107,100,11,2,6,107,0,62,144.2,55.9,4142581.3,10686229.4
184995,100,16,7,8,1,0,20,286.5,147.9,27360760.5,53001067.5
