"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
62000,100,31,1,3,1,0,24,185.8,95.9,5945800,11519600
72000,100,14,3,4,1,0,9,223.7,145.1,10447200,16106400
65792,100,31,1,5,5,0,20,148.4,71.6,4710707.2,9763532.8
54000,100,89,1,5,0,0,46,154.3,64.4,3477600,8332200
134650,100,22,1,5,2,0,83,92.8,46.7,6288155,12495520
241100,100,56,2,3,1,0,100,44.8,17.5,4219250,10801280
7902,100,42,1,24,339,338,NA,174.3,105.8,836031.6,1377318.6
51096,100,9,3,4,1,0,1,320.3,128.3,6555616.8,16366048.8
9796,100,67,1,2,1,0,NA,145.4,81.9,802292.4,1424338.4
66128,100,55,1,3,2,0,78,111,63.8,4218966.4,7340208
273124,95,55,1,3,1,0,95,77.3,58.7,16032378.8,21112485.2
3e+05,100,49,4,3,1,0,98,96.4,58.6,17580000,28920000
3071,100,56,2,6,138,138,NA,129.7,77,236467,398308.7
227500,100,55,1,4,1,0,98,70.4,45,10237500,16016000
171000,100,62,2,4,0,0,68,67.7,44.2,7558200,11576700
1100,100,91,1,6,84,84,NA,120.3,90.5,99550,132330
2500,100,79,1,6,57,56,NA,118.9,81.6,204000,297250
66971,100,45,1,3,1,0,94,89.4,33.2,2223437.2,5987207.4
8280,100,18,1,6,1,0,NA,162.6,72.3,598644,1346328
335192,100,55,3,3,1,0,74,119.5,68.7,23027690.4,40055444
76000,100,12,1,2,2,0,96,74.4,31.5,2394000,5654400
179024,100,86,3,4,0,0,90,64.5,51.4,9201833.6,11547048
90000,100,44,1,3,0,0,35,131.9,46.5,4185000,11871000
180000,100,47,4,1,1,0,5,170.1,85.3,15354000,30618000
63470,100,30,1,2,1,0,87,95.1,59.1,3751077,6035997
70232,100,54,10,2,1,0,95,85.3,51.7,3630994.4,5990789.6
136925,100,56,6,3,1,0,94,79.8,48.3,6613477.5,10926615
2498,100,23,1,2,1,0,NA,303.4,140.5,350969,757893.2
184428,100,54,3,3,1,0,88,87.5,54.8,10106654.4,16137450
