PBAPLUS,MFBTU,FINALWT,ONEACT,ACT1,ACT2,ACT3,ACT1PCT,ACT2PCT,ACT3PCT,PRAMTC,PRUNIT,CWUSED,WOUSED,COUSED,SOUSED,SQFT,NFLOOR,NELVTR,NESLTR,EDSEAT,COURT,MONUSE,OPNWE,WKHRS,NWKER,COOK,HEATP,COOLP,SNACK,FASTFD,CAF,FDPREP,KITCHN,BREAKRM,OTFDRM,LABEQP,POOL,HTPOOL,RFGRES,RFGCOMPN,RFGWIN,RFGOPN,RFGCLN,RFGVNN,RFGICN,PCTERMN,LAPTPN,PRNTRN,SERVERN,TRNGRM,STDNRM,WBOARDS,TVVIDEON,RGSTRN,COPIERN,HDD65,CDD65,EUI
28,2693760,316.26326145,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,73000,1,NA,NA,500,NA,9,2,50,83,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,24,1,2,2,4,2,346,0,60,0,1,1,1,10,NA,2,1644,3043,36.9
28,29809070,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,235000,2,2,NA,1250,NA,12,1,60,169,1,100,100,1,2,1,1,1,1,2,2,2,NA,1,8,2,NA,4,3,1,335,694,50,1,2,1,1,8,5,10,2786,1723,126.8
29,3766944,138.56608864,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,64000,2,NA,NA,400,NA,12,2,50,30,1,75,75,1,2,2,2,1,1,2,2,2,NA,1,NA,NA,NA,1,1,1,90,2,5,2,1,2,2,NA,NA,2,6692,169,58.9
28,2907900,138.56608864,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,88000,1,NA,NA,60,NA,11,2,50,75,1,100,100,2,2,2,1,2,2,2,2,2,NA,2,NA,2,NA,2,NA,1,200,60,6,2,1,1,1,1,1,1,3634,1692,33
28,2943452,385.90781293,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,54000,3,1,NA,400,NA,12,1,85,45,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,NA,NA,NA,NA,1,NA,60,40,45,0,1,2,1,25,2,3,1454,3954,54.5
28,1257373,583.35116997,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,26500,1,NA,NA,200,NA,12,2,60,30,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,0,60,4,1,2,1,1,15,NA,1,6194,1052,47.4
29,10778895,179.59592524,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,205000,1,NA,NA,1000,NA,12,1,85,130,1,100,90,1,2,1,1,2,1,2,2,2,NA,1,6,3,1,3,NA,1,325,400,24,8,1,1,1,NA,NA,6,7296,592,52.6
29,13553175,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,230000,3,3,NA,800,NA,12,1,85,60,1,100,100,2,2,1,2,2,2,2,1,2,NA,1,20,2,NA,3,3,1,50,50,50,75,1,2,1,10,2,3,6164,649,58.9
28,1089114,499.1203535,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,26500,1,NA,NA,150,NA,9,2,42,33,2,100,80,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,3,NA,NA,40,44,8,2,2,1,1,11,1,2,6091,451,41.1
28,9297386,125.65044,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,142000,2,1,NA,900,NA,12,1,60,87,1,100,15,2,2,1,1,2,1,2,1,1,1,1,3,3,NA,NA,2,1,150,20,100,80,1,1,1,20,6,3,7628,565,65.5
