EUI,NWKER_SQFT,HDD_HEATP,CDD_COOLP,COOK,OPNWE,ISHC,FINALWT
43.5,0.54,4183,1224,1,1,0,84.055763395
40.1,0.62,6699,137.7,1,0,0,308.205725
49.7,0.85,2269,1265,0,0,0,503.86330813
108.4,0.66,5585,999.6,1,0,0,139.16995492
36,0.91,3183,1597,0,0,1,138.56608864
54.5,0.47,308.5,3586,1,1,0,171.86695171
62.1,0.4,6158,1031,1,0,1,139.16995492
42.5,1.17,3001,1709,1,0,0,360.21806967
27.2,1.67,4676,1098,1,0,0,139.16995492
48.5,0.44,2533,1586,1,0,0,366.15594072
44.2,0.44,6665,680.4,1,1,0,21.560340296
79.7,0.85,4720,1023.4,1,1,1,84.055763395
53.2,1.08,4978,173.75,1,0,0,84.58932707
48.1,0.92,5427,843.2,1,1,0,141.92588364
39.1,0.58,5646.8,83.28,1,0,0,239.38538189
72.4,0.88,3943,16.69,0,0,0,139.16995492
48.4,0.7,4358,266,1,0,0,139.16995492
36.2,0.97,1918,2694,1,0,0,209.09996186
31.7,0.83,675,3886,0,1,1,259.35186162
65,1.43,4055,524,1,0,1,84.055763395
41,0.59,4396.8,1056,1,0,0,403.26234933
35.9,0.51,1329,1476,0,0,0,503.86330813
40.2,0.59,384,3272.25,0,1,1,311.1344891
49.8,0.49,2310,1743,1,0,0,356.19828827
54.8,0.69,2885,1715,1,1,1,84.055763395
33.3,0.82,1765,2765,1,0,0,311.1344891
64.6,0.58,7855,778,1,1,1,84.055763395
71.1,0.83,6165,396,1,0,0,209.09996186
68.2,0.76,6292,373,1,1,0,15.945623796
97.4,1.34,6817,764,1,1,0,239.38538189
54.7,1.6,4680,1246,0,0,0,271.01509096
39.5,0.53,2565,1602,1,0,1,84.055763395
100.8,0.67,4985,877.5,0,1,1,2140.9064605
46.6,0.91,4621,585.6,1,0,0,632.51710677
62.2,0.39,7712,80.25,1,1,0,179.59592524
51.8,0.19,5444,734.4,1,0,0,179.59592524
82.6,1.22,1154,4126,0,0,1,311.1344891
66.7,0.53,5602,54.75,1,1,0,84.055763395
35.9,0.69,2462,2008,1,0,0,138.56608864
75.3,0.96,6400,154.05,1,0,0,207.13166685
56.7,1.13,4196,171,1,0,0,313.28621931
43.5,0.52,3975,1470,1,0,0,271.01509096
62.8,0.35,5157,893,1,1,0,84.055763395
54.3,0.52,5145,1132,1,1,0,25.322576596
34.6,0.68,115,4363,0,0,0,90.622000825
87.6,0.63,4352,1421,1,0,1,90.51747421
111.7,0.75,3935,1430,1,0,1,360.21806967
32.2,0.51,2237,2550,1,0,0,73.063122805
68.1,0.94,2617.6,155.8,1,1,0,84.055763395
62.6,0.55,1829,3314,1,0,0,171.86695171
43.9,0.75,6104,118.95,1,0,0,271.01509096
55.3,0.5,4919,592,1,1,1,499.1203535
32.6,0.25,2746.94,2400.02,1,1,0,171.86695171
56.2,0.68,5307,14.42,1,1,0,647.9871845
38.7,0.62,3072,2263,1,0,0,160.42583102
70.5,1.01,2740,2220,1,1,0,366.15594072
69.4,1.26,685.8,3441.6,1,0,0,259.35186162
38.9,0.12,407,1961.5,0,0,0,311.1344891
60.3,0.71,4463,89.1,1,1,1,84.055763395
32.9,1.12,5252,1307,0,1,0,125.65044
65.8,0.74,5066,1077.3,1,1,0,84.055763395
34.8,0.6,2960,1389.96,1,0,1,366.15594072
35.8,0.59,3079,1324,1,0,0,242.08690218
66.2,0.54,1397,808,0,0,0,503.86330813
45.3,0.77,644,4883,0,0,0,624.95414063
70.5,0.83,1739,2514,0,0,0,484.85166373
68.7,1.02,4514,216.3,1,1,0,84.58932707
61.3,0.49,1246,2974,1,0,0,503.86330813
45.1,1.24,3655,291.45,1,0,0,242.08690218
48.3,0.75,162,4619,0,0,0,2293.5899096
36.9,1.18,1022,1436,0,0,0,212.42624205
74.9,0.7,2882,2256,1,1,0,84.055763395
45.2,0.67,7063,388,1,0,1,125.65044
54.4,0.68,4796.55,176.4,1,0,0,239.38538189
12.6,0.91,1181,1091,0,1,1,751.72654486
94.3,0.6,5436,944,1,1,0,207.13166685
65.9,0.35,3106.8,1911.6,1,0,0,356.19828827
35.1,0.5,3195,2310,1,0,0,171.86695171
67.7,0.52,5457,733,1,0,1,207.13166685
49.5,0.62,7120,136.5,1,0,0,160.42583102
54.2,0.25,2202,2151,1,0,1,239.38538189
63.7,0.67,3654,1278,1,1,0,179.59592524
75.7,0.8,4216,113.5,1,0,0,139.16995492
51.5,0.61,4440,1596.6,1,1,0,360.21806967
50.8,0.88,3502,1572,1,0,0,242.08690218
52,1.69,5884.55,839,0,1,0,239.38538189
62.7,0.96,535.8,4030,1,1,0,171.86695171
79.7,0.51,3584,2106,1,1,1,84.055763395
51.7,0.73,3273,1691.2,0,0,0,207.13166685
11.2,0.47,4204.1,984,1,0,0,239.38538189
75.2,0.46,5163,255.75,1,0,0,139.16995492
73.2,0.37,5828,1046.7,1,1,1,160.42583102
65.1,0.67,5555,1145,1,0,0,207.13166685
85.3,0.38,5224,112.9,1,0,1,16.829059837
33.5,0.85,3420,2094,0,0,0,751.72654486
58.5,0.44,5095.5,12.94,1,0,0,139.16995492
33.5,0.49,3055,1467,0,0,0,209.09996186
126.1,0.66,4071,1803,1,0,0,207.13166685
53.7,0.18,2454,1890.7,0,0,1,484.85166373
66.9,0.55,2835,2101,1,0,0,133.33774762
24.7,0.38,5907,436.4,1,0,0,653.05875273
81.7,0.99,2870,358.35,1,0,0,360.21806967
138.3,1.01,5579,303.93,1,0,0,239.38538189
51.4,0.61,7538,604.8,1,0,0,239.38538189
51.3,1.03,4546,1130,1,1,0,242.08690218
64.3,0.27,7283,458.25,1,0,0,84.055763395
64.3,0.7,5610,1279,1,0,0,84.055763395
53.9,1.62,6834,27.2,1,0,0,360.21806967
31.2,1.23,2925.9,144.9,1,1,0,138.56608864
58.5,0.7,5013,970.9,1,1,1,84.055763395
23,0.6,5955,814,0,0,1,356.19828827
40.7,0.75,1364,1347,0,0,0,316.26326145
102,0.68,6835,904.4,1,1,1,139.16995492
35.4,1,3945,1136.25,1,0,0,84.055763395
57.7,0.62,5626,526.4,1,1,0,139.16995492
46.8,1.44,983,3516,0,0,0,503.86330813
52.4,0.35,2755,1768,1,0,1,362.06989684
47.5,1.06,4015,1545,1,1,0,242.08690218
59,1.47,5056,1017,1,0,0,139.16995492
190.4,0.77,4112,978,0,0,1,403.26234933
141,0.44,3621,348,1,0,1,84.055763395
79.1,0.63,6227,966,1,1,1,179.59592524
32.5,0.41,5731,69.9,1,0,0,94.697333741
14.6,0.76,1166,1167,1,1,1,139.16995492
25.2,0.73,2942,1901.62,1,0,0,209.09996186
27.4,0.7,3885.35,1221.5,0,0,0,360.21806967
64.6,0.58,5206,918.4,1,1,1,207.13166685
77.3,1.12,4192,171.75,1,1,0,139.16995492
70.5,0.37,4855,1595,0,1,0,133.33774762
97.3,0.48,3200,1389,1,0,0,532.96366558
44.6,0.88,4356,1400.85,1,0,0,84.055763395
64.6,0.83,6379,17.74,0,0,0,356.19828827
66.5,0.63,2956,2038,1,0,0,356.19828827
61.9,1.25,6018,14.14,0,0,0,239.38538189
73.7,0.62,4019.4,405.2,1,1,0,139.16995492
41,0.39,3438,1468.8,1,0,1,84.055763395
93.8,0.27,4573.8,278.1,1,1,1,15.945623796
