"NWKER_SQFT","HDD65_HEATP","CDD65_COOLP","IsCooking","IsOpenWeekends","IsHighSchool","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
0.804,4485,814.38,"Yes","Yes","No",115.9,32451730.15,15.946
0.91,2523,1913,"Yes","Yes","Yes",103.74,20748736.4,139.17
0.439,5479,710.6,"Yes","Yes","No",119.51,13624122.4,84.056
0.766,1404,2657,"No","No","No",46.68,1097079.2,503.863
0.29,3309,1418,"Yes","No","No",59.63,8228608.15,207.132
0.756,1684,2416,"No","No","No",104.38,2348635.45,484.852
0.694,217.2,1729.8,"Yes","No","No",84.49,6083615.3,209.1
0.13,2747,1416,"Yes","Yes","Yes",141.71,54559551.2,239.385
1.239,2872,1500,"Yes","No","No",170,11390063.31,242.087
0.815,1165,3973,"Yes","Yes","No",94.37,8681929.2,84.589
0.515,5216,72.8,"Yes","No","Yes",82.91,8042454.35,207.132
0.417,2244,1986.75,"Yes","No","No",78.1,13121369.8,259.352
0.98,2168.8,2320.8,"No","Yes","No",122.17,3115448,751.727
0.769,6704,982.3,"Yes","Yes","Yes",115.11,20949807.51,84.056
0.463,1054,1297,"Yes","No","No",71.98,3887104.55,196.227
0.823,4250,794.95,"Yes","No","No",80.97,6396455.88,84.056
1.083,2907,1464.65,"Yes","No","No",142.55,5131749,311.134
0.51,6041,438,"Yes","Yes","Yes",147.43,37595085.85,84.056
1.067,5342.4,167.8,"Yes","No","No",55.5,8324603,84.056
0.631,6619,649.8,"Yes","No","No",48.63,5933244.1,179.596
0.424,4081.2,1328.1,"Yes","No","Yes",122.42,36114008.12,15.946
0.616,4484,1276.2,"Yes","No","No",99.34,13708864.75,139.17
1.176,2867,2173,"No","No","No",69.8,2966700.1,299.395
0.969,3161,1599,"Yes","No","Yes",174.1,11142169.15,242.087
0.58,3507,1489.6,"Yes","No","No",79.81,8938184.15,209.1
0.879,2527,2294,"Yes","No","No",70.45,3205360.9,209.1
0.578,1034.4,2171.2,"No","No","No",217.88,4902306.15,311.134
0.909,1349,1287,"No","No","No",104.32,2295081.95,316.263
0.818,6173,511,"Yes","Yes","No",134.77,14824907.65,139.17
0.913,1037,4009,"Yes","Yes","No",164.14,15100839.6,90.622
0.28,4817,984,"Yes","No","Yes",209.36,5234304.25,918.03
1.051,4701,585.75,"Yes","Yes","No",148.67,14718450.6,362.07
0.25,5050,955.5,"Yes","Yes","Yes",141.08,19751090.8,139.17
1,3064,1705,"Yes","No","No",89.43,6260301.6,360.218
0.537,5528,1102,"Yes","Yes","Yes",92.47,37914691.85,84.056
0.458,889,3269,"Yes","No","No",137.54,19531242.5,209.1
0.632,4935,771.75,"No","Yes","No",63.85,1213147.95,751.727
0.938,7932,558.9,"Yes","No","No",208.52,10009064.13,904.018
0.685,4190,1610,"Yes","No","Yes",92.94,5019007,242.087
1.2,5300,739.1,"Yes","No","No",125.01,5937755.28,139.17
0.521,5305,931,"Yes","Yes","Yes",123.87,59458336.35,21.599
0.413,3970.05,1492.2,"Yes","No","Yes",138.76,31914990.11,356.198
1.053,2639.1,2018.7,"Yes","No","No",107.45,4083124.85,299.395
0.685,6168,1358.28,"Yes","Yes","Yes",186.9,27287350.3,84.056
1.725,4814,155.85,"Yes","No","No",150.95,3849220.9,583.351
0.566,3901,1036,"Yes","Yes","Yes",116.42,23866517.15,84.589
0.658,2968,2002,"Yes","Yes","Yes",127.86,37717810.82,139.17
0.565,3576,1851,"Yes","Yes","No",173.62,7986594,207.132
1.154,1100,3772,"Yes","No","No",84.19,4378028.2,311.134
0.806,4152,154,"Yes","No","Yes",80.58,4996120.11,499.12
0.737,5354,1140,"No","Yes","No",124.27,7083601.35,271.015
0.545,2489,1793,"Yes","No","No",85.43,4698386,356.198
0.645,6816,880,"Yes","Yes","No",137.77,17083913.63,125.65
0.571,2706,2008,"Yes","No","No",70.94,6951964.95,73.063
0.375,5263,97,"Yes","Yes","No",91.29,5842771.2,825.402
0.707,1596,3297,"Yes","Yes","No",77.71,5828128.25,311.134
0.608,3556,1053,"Yes","No","No",103.29,7643538.35,179.596
0.308,4748,1796,"No","Yes","Yes",138.96,9032276.75,201.21
0.662,2682.4,1419,"Yes","No","Yes",86.63,11781712.25,139.17
0.279,2711,2408,"Yes","No","No",56.25,12093168.5,138.566
1.488,3538,869.66,"Yes","No","Yes",155.22,13038785.68,212.426
0.682,6889,788,"Yes","No","No",87.93,7738135.65,239.385
0.779,4130,1389,"Yes","No","No",158.2,16452828,366.156
0.677,4721,164.3,"Yes","Yes","Yes",217.19,95563493.55,84.056
1.151,2547,1510,"Yes","No","No",102.63,7492250.5,160.426
0.597,1634,3223,"Yes","No","No",110.43,14797325.55,90.622
0.656,2321,1731,"Yes","No","No",72.58,4427338.3,583.351
