"SQFT","WKHRS","RWSEAT_SQFT","HDD65_HEATP","CDD65_COOLP","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
19000,20,42.105,6838,631,100.07,1901315.15,647.987
5000,18,60,294,3432,27.09,135461.2,1879.456
29500,20,42.373,3696.75,978,153.03,4514318.2,63.074
13000,12,15.385,1405,2811,22.07,286972,1107.753
16000,20,78.125,4931,1131,66.24,1059919.35,657.711
10001,72,44.996,4862,59.05,99.46,994701.75,1162.263
10000,42,15,1613,1214.1,19.69,196850.5,2249.135
25000,20,60,4930,1231,38.67,966697.9,519.502
5400,6,37.037,2188,1981,38.61,208516,1729.173
14000,37,25,851,4526,137.01,1918142.8,1031.346
13000,35,11.538,4216,1621,44.28,575659,1791.31
14500,4,34.483,1074.75,1632,40.22,583208.85,632.517
16500,40,13.636,4902,31.89,149,2458478.4,787.079
16000,20,56.25,4762,877,45.24,723907.1,918.03
5000,10,50,3740,1348,55.7,278497.45,1484.515
7000,12,28.571,2244,2240,20.5,143466.4,1387.077
5600,20,53.571,916.2,3625,47.02,263301.15,1868.403
14750,20,67.797,2739,304.5,35.93,529919.6,941.818
4800,4,52.083,3693,1542,58.44,280499.8,1387.077
35000,12,14.286,3920,1137,72.93,2552531.45,2249.135
2000,3,125,3073,1711,19.38,38757.6,1807.463
13000,84,15.385,5701,1040,93.22,1211917,1162.263
34000,55,3.676,6265,79.76,36.81,1251448.8,499.12
40000,70,22.5,709,3466,62.94,2517429.6,281.109
66000,50,13.636,2250.27,1944,61.77,4076684.85,26.29
13250,14,15.094,5937,455.05,52.89,700797.65,1031.346
5000,2,80,3031,1599,35.85,179264.4,1807.463
9100,20,32.967,1463,2498,65.58,596771.7,626.865
66000,98,18.939,3915,1320.9,102.11,6738932.2,175.756
8800,9,51.136,853,2037,125.68,1106026.25,503.863
17250,30,17.391,4636,376.86,43.76,754834.81,177.345
29000,20,34.483,3587,1807,89.08,2583453.95,190.59
5000,4,16,3712,1801,16.9,84520.45,961.783
26000,20,11.538,4519,985,92.08,2393967.45,657.711
