"SQFT","WKHRS","RWSEAT_SQFT","HDD65_HEATP","CDD65_COOLP","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
18000,33,27.778,4661,1471,105.85,1905340.5,1879.456
3500,4,28.571,2980,1727,10.32,36111.6,1522.982
2400,9,41.667,5006,1032,28.82,69176.8,1828.052
50000,40,25,6206,1190,93.98,4698966.65,657.711
5000,50,20,327.5,2068,28.61,143070.2,1031.346
80000,80,10,456.4,3108,135.91,10872901.54,311.602
13000,12,7.692,2649,1856,23.76,308941.85,48.841
5000,20,70,1114,772,78.62,393083.6,1667.755
38000,55,10.526,211.5,363,46.19,1755085.15,941.818
5000,20,35,3623,1782,36.58,182884.1,1868.403
11000,20,22.727,2094,1895,22.42,246647.8,23.718
4200,12,59.524,1592,2797,202.7,851320.4,1879.456
7900,6,44.304,2530,2711,41.77,329963.2,1868.403
8700,9,34.483,2403,1887,19.45,169179.85,1807.463
85000,49,10.588,3695,1717,174.59,14840095.55,267.925
25000,35,10,4004,1800,38,950108.25,445.923
1500,8,13.333,922.4,3154.4,29.5,44242.8,1461.857
9000,50,38.889,3845.7,1045,63.74,573625.5,1868.403
1200,5,41.667,3982,1583,87.12,104548.15,1807.463
5900,48,21.186,2339,1995,217.55,1283571.8,1807.463
4100,4,12.195,6294,792,12.13,49736.4,1484.515
29500,16,50.847,5555,256.08,42.26,1246728,276.953
8100,50,30.864,5990,138,52.22,422948.4,1655.242
5500,8,45.455,5285,402,27.63,151957.5,1851.67
7000,4,14.286,1200,957.5,22.06,154425.6,1451.617
12500,25,24,5508,866,68.84,860507.2,1729.173
28000,25,12.5,4349,1091,67.98,1903562.15,1155.428
12250,15,10.204,4051,489.72,69.77,854725.2,1107.753
17000,20,73.529,1010,3673,52.28,888812.4,642.142
6600,52,30.303,3844,1792,47.91,316229.9,1484.515
9600,60,20.833,1766.25,339.75,47.85,459314.45,941.818
29000,20,34.483,3614,1029.6,55.53,1610253.05,276.953
4000,8,50,2458,1848,52.51,210047.6,1117.742
8700,8,51.724,2220,1828,44.68,388735.2,1807.463
15000,50,33.333,942,2701,56.01,840162.4,1461.857
56000,76,8.929,5090,97.7,70.57,3952192.3,178.394
5200,18,48.077,1330,2868,36.5,189820.4,1107.753
4000,8,25,5993,677,63.24,252946.48,1868.403
13250,60,15.094,4163,1127,67.73,897456.7,1145.08
110000,60,11.364,1741.2,810.6,57.57,6332662,19.69
6000,10,41.667,3714,1807,73.23,439376.35,788.005
16000,2,12.5,1027.8,1581,22.97,367584.35,787.079
30500,80,29.508,4730,1199,153.34,4676880.6,657.711
25000,60,60,4828,1198,144.41,3610176.85,1117.742
5000,20,40,795,2794,29.03,145149.2,1162.263
17500,20,25.714,4468,1572,34.94,611440.55,787.079
2000,15,125,3676,1724,120.86,241725.05,1807.463
14000,30,21.429,5141,867,62.99,881851.6,1155.428
32000,64,14.062,2136,496.8,81.95,2622472.67,276.953
19500,48,15.385,5144.25,804.65,79.21,1544639.6,1145.08
29500,70,15.254,4962,594,123.29,3637139.8,276.953
3500,8,28.571,545,5221,178.84,625931.6,1879.456
1e+05,80,15,4788,1075,76.86,7685587.25,175.756
8900,80,33.708,4438,1648,28.87,256957.4,1484.515
3600,10,48.611,471,474.5,65.91,237293,1667.755
16000,96,21.875,6063,436,28.39,454263.6,904.018
28000,35,21.429,4792,954,103.33,2893123.8,657.711
34000,42,26.471,5053,1060,110.95,3772392.4,1130.475
23250,25,30.108,1767,1287,17.89,415850.05,632.517
18000,35,19.444,2637,1774.4,62.77,1129920.75,653.843
15000,50,16.667,620.5,364.5,28.99,434902.65,787.079
16000,20,25,2161,533,82.58,1321285.7,941.818
27000,60,16.667,2059,2286,81.85,2210040.35,507.99
5800,60,38.793,6231,563,95.75,555349.9,1667.755
17250,20,26.087,5481,876,53.59,924434,1162.263
25000,50,10,6716,284.4,54.81,1370325.6,583.627
35000,10,22.857,1560.5,1070.5,89.76,3141430.6,226.828
2750,48,54.545,2030.4,540.55,57.26,157468.85,1522.982
12000,70,20.833,379,3290,47.06,564712.4,1162.263
4500,10,17.778,1340,2440,20.87,93903.6,1879.456
3000,4,26.667,1277,2364,11.34,34031.2,1107.753
17500,20,17.143,4941,1052,33.32,583068.5,904.018
1200,30,125,1827,2408,207.37,248848.95,1791.31
4650,10,37.634,7329,796,29.48,137092.2,1667.755
14500,40,17.241,5147,52.15,49.82,722439.55,1851.67
7500,40,66.667,1897,2311,145.76,1093229.2,1791.31
7000,30,25,3723,1587,106.33,744340.8,1069.328
27000,7,9.259,2389,2206,36.53,986317.15,857.774
2000,5,100,2634,1609,61.38,122763.2,1807.463
96000,84,15.625,5619,915,113.62,10907185.1,1145.08
7400,3,13.514,3409.56,807.18,33.18,245562.45,1729.173
11500,16,26.087,4184,1582,45.77,526394.05,1274.256
23000,61,34.783,6458,779,47.86,1100690.29,1868.403
1550,8,64.516,5161,694.5,122.06,189200.2,1879.456
6000,20,20.833,963,3449,85,510028.4,1162.263
8000,20,75,6928,848,91.33,730640.4,519.502
34000,49,26.471,3326,2000,77.28,2627557.1,217.118
14000,60,32.143,2981,2020,32.42,453816.65,788.005
9100,32,32.967,5051,1210,46.31,421437.45,1484.515
4000,35,31.25,3509,1839,32.48,129908.8,1484.515
5600,4,22.321,3475,1858,41.43,232003.8,1729.173
6500,70,30.769,1480.5,1057.6,141.83,921886.52,1117.742
11500,12,52.174,847.6,250,78.82,906463.6,279.456
14000,20,57.143,4577,880,64.73,906270.05,647.987
4600,24,54.348,4704,1167,21.74,100007.6,751.727
23000,20,34.783,4664,900,125.05,2876211.8,647.987
5400,10,37.037,838,2866.5,43.45,234628.8,1879.456
19000,50,13.158,1758,52,72.34,1374409.75,1031.346
5000,10,80,3818,1427,43.88,219422.73,1807.463
12000,16,8.333,352,2198.5,10.66,127904,1461.857
4000,12,31.25,5990,721,61.37,245462,1729.173
11000,64,31.818,6675,109.8,92.86,1021448.05,1023.608
3400,5,44.118,3858,1233,88.15,299714.8,1807.463
1400,25,50,1927.1,884.1,59.17,82834.5,1522.982
10500,12,42.857,972,3779,189.21,1986686.45,1155.428
1200,4,83.333,3691,1478,100.41,120489.6,1791.31
3000,5,50,2654,1844,15.24,45732.4,1522.982
80000,86,11.25,2656.17,1646.37,22.22,1777917.05,251.433
10000,8,2.5,2670,1568,45.43,454324.8,1522.982
5800,46,21.552,1893,2143,237.11,1375264.8,941.818
7500,50,23.333,3990,359,97.73,732961.25,1145.08
5000,4,70,2334,846,176.99,884935.8,503.863
28000,12,14.286,1197,2004.1,30.53,854789.6,1107.753
16000,20,37.5,5354,1154,57.88,926044.35,918.03
2000,4,25,3321,1814,22.27,44539.6,1729.173
3100,6,22.581,3863,1479,19.84,61504.8,1791.31
7000,77,11.429,2721,2368,134.94,944598.9,1807.463
54000,80,18.519,4019,655,50.86,2746233.7,54.139
7400,30,67.568,2735,969.3,102.97,761979.75,941.818
17500,20,45.714,3237,1910,96.82,1694301,632.517
12250,5,10.204,2684,1362,139.67,1710962.4,1117.742
16750,45,11.94,2369,1543,33.68,564202.45,1117.742
1800,6,97.222,1935,1914,72.65,130770.5,1522.982
96000,60,13.021,201.6,2350.8,148.78,14282794.05,54.139
6000,24,25,6962,753,68.91,413473.9,1274.256
22000,40,11.364,2395,2409,61.5,1352915.2,3782.18
4700,4,63.83,1285,2296,54.3,255214.4,1107.753
3500,6,35.714,948,3627,11.66,40812.8,1879.456
23000,10,21.739,913.5,495.9,13.61,312941.3,897.686
7600,22,46.053,3999,1442,88.27,670835.2,1807.463
2700,4,64.815,3036,2052,61.08,164914.4,1807.463
34000,24,20.588,1599,695.5,34.11,1159680.55,1867.057
7300,60,30.822,6560,657,71.44,521511.9,1559.829
31000,80,32.258,338.4,3584,94.09,2916684.4,657.711
8000,15,18.75,5249,617.1,38.48,307855.1,1879.456
96000,48,7.292,2314.4,985.2,44.27,4249646.45,2003.526
1800,8,55.556,4047,1374,21.68,39026.4,1807.463
42000,54,14.286,2406,3060,109.04,4579633.45,226.828
34000,15,17.647,1989.5,583.2,23.48,798323.05,647.987
11500,23,52.174,5727,728,150.39,1729499.1,1145.08
5000,75,140,2059,1731,166.75,833738.5,1667.755
6000,8,20.833,3458,1436,36.27,217616.7,1807.463
7000,10,14.286,3709,1406,44.42,310948.75,1791.31
3000,5,26.667,4397,1031,44.82,134455.65,1791.31
28000,25,16.071,1667.5,739.5,31.01,868218.4,23.718
24500,48,20.408,4262,438.4,88.35,2164542.45,579.248
10001,24,12.499,3225,2181,77.45,774607.75,1069.328
4850,4,41.237,471.75,2888.3,70.45,341664.4,1162.263
17000,65,73.529,4965,575,179.02,3043329.68,65.053
120000,91,8.333,2603.7,1904.75,136.36,16363405.1,579.248
43500,12,13.793,684.24,965,55.58,2417812.25,281.109
3000,1,33.333,301,3822,42.31,126918.4,1879.456
49000,64,20.408,949.5,776.3,23.82,1167302.5,583.627
59000,51,15.254,191,436.75,30.47,1797577.6,487.78
3750,10,26.667,3215,1929,59.76,224110.95,1807.463
39000,105,25.641,4895,1056,133.71,5214597.15,177.345
25000,55,12,4560,1031,78.22,1955556.75,1145.08
18000,20,83.333,4041,1006,47.21,849820.3,918.03
2800,6,53.571,7170,89,95.28,266784,1023.608
35000,20,14.286,1669,2441,125.39,4388753.95,1117.742
5400,10,37.037,3820,2040,94.97,512839.25,1807.463
2200,13,36.364,2625,1866,12.18,26800.2,1807.463
33500,35,8.955,3049,2023,26.54,889219.8,507.99
16500,5,30.303,896,2995,45.07,743716.05,653.843
5400,80,27.778,459,3440,67.91,366724.4,1879.456
19000,98,23.684,314,3337,154,2925980.4,657.711
2700,4,33.333,3728,1647,18.4,49688.8,1791.31
16000,20,93.75,5118,919,42.13,674134.65,918.03
24500,100,6.122,3162,270.25,61.13,1497678.7,276.953
1200,6,20,1847,1977,57.62,69140.4,1807.463
13500,20,92.593,4620,733,51.94,701170.4,918.03
8100,16,37.037,4472,1135,74.4,602648.2,751.727
18250,20,43.836,2397,1545,36.89,673168.65,639.722
1200,2,125,3239,1607,33.83,40594.4,1807.463
13500,20,74.074,336,3159,51.6,696656.8,1162.263
5000,6,30,4765,737,186.64,933197.65,1879.456
110000,26,11.364,1194.2,1682.1,53.68,5905004.7,178.394
3400,70,73.529,1826.5,978.9,159.66,542855.6,941.818
8000,45,18.75,1971,2530,45.15,361238.5,1879.456
4250,3,23.529,2385,1817.4,18.63,79174.55,1807.463
18500,40,16.216,2720,1639,165.78,3066923.65,48.841
39500,50,3.797,5721.24,337.5,121.4,4795372.4,403.262
3300,3,30.303,4715,1075,17.94,59187.1,1879.456
4000,25,62.5,1949,1946,190.84,763344.05,1807.463
51000,65,13.725,5776,225.5,72.43,3694182.81,276.953
31000,55,12.903,7355,879,22.72,704407.2,1461.857
3200,23,9.375,2191.86,1504.14,46.76,149635.15,1274.256
2000,3,50,6872,600.4,82.27,164537.1,1868.403
19250,84,18.182,5814,871,98.34,1892971.5,605.12
8100,24,37.037,720.5,1715.2,62.47,505996.4,1828.052
13750,31,21.818,2740,2389,85.25,1172223.15,918.03
13000,70,17.308,770.25,1284,32.24,419080.9,751.727
28000,40,14.286,4427,454.5,30.74,860779.85,1145.08
8000,20,12.5,1490,3318,42.65,341168.8,1834.966
80000,50,3.75,4386,854.25,237.81,19024905.9,177.345
14000,30,21.429,5583,1051,113.25,1585538.5,148.055
13250,35,15.094,6621,804,45.25,599502.4,178.394
15000,20,33.333,1270,635,45.77,686484.4,1031.346
4800,18,41.667,813.38,910.53,12.02,57712.55,1667.755
2550,5,23.529,3096.5,110,82.81,211175.65,1667.755
5000,15,25,2481.75,1099.5,17.45,87225.6,1522.982
8700,40,34.483,2221,2506,57.86,503365.8,1807.463
8500,50,14.706,4712,1120,73.56,625272.2,1155.428
3200,12,62.5,3717,1741,102.9,329266.35,1484.515
16000,20,50,6097,664,66.66,1066630.25,583.627
5300,30,18.868,2234,84.6,78.09,413861,1522.982
6000,3,20.833,2994,1661,10.51,63075.6,1387.077
24000,20,62.5,4470,1405,87.32,2095779,519.502
3000,4,50,3342,1394,14.42,43255.8,1387.077
6500,7,30.769,1167,3327,207.17,1346596.3,1451.617
5000,27,40,376.5,1017.3,58.88,294386.4,1868.403
5000,34,45,6351,756,137.84,689214.05,1559.829
96000,56,13.021,3260,2212,93.76,9001085.8,251.433
29000,50,51.724,1215,1925,131.86,3823993.95,632.517
19250,20,25.974,4264,587,102.24,1968075.2,82.018
