"SQFT","LODGRM_SQFT","NWKER_SQFT","RFG_SQFT","HDD65_HEATP","CDD65_COOLP","Kitchen","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
42000,1.905,0.357,2.143,7451,605,"No",250.43,10518265.1,239.385
75000,2,0.4,0.053,6592,788,"No",238.44,17882713.1,139.17
7e+05,1.143,0.429,0.123,3232,1836,"Yes",154.92,108446217.39,23.718
330000,0.909,0.303,0.03,200.7,3264.3,"Yes",150.56,49684703.02,90.622
4e+05,1.25,0.275,1.31,1416.8,376,"Yes",134.62,53848187.05,23.718
144000,1.215,0.174,0.826,5674,862,"Yes",185.79,26754207.75,207.132
1e+05,2,0.45,2.21,3182,2077,"Yes",317.97,31796563.4,84.056
240000,1.458,0.417,0.117,2146.4,2975,"Yes",294.53,70686694.64,90.622
56000,1.25,0.179,0.036,2456,1770,"No",84.27,4718846.3,511.879
50000,1.8,0.12,1.72,7617,616,"No",93.04,4652005.05,239.385
100001,1.75,0.52,0.04,5515,1362,"Yes",203,20300634.2,84.056
110000,1.364,0.273,0.018,5087,1172,"Yes",154.4,16983484.7,52.146
134000,0.522,0.112,0.627,2563.68,2122.68,"No",80.41,10775388.75,139.17
4e+05,0.438,1.375,0.065,6921,772,"Yes",254.2,101678641.4,84.056
470000,0.745,0.426,0.07,991,3447,"Yes",241.82,113654709.31,17.191
270000,0.648,0.648,0.089,1019.25,894.4,"Yes",163.98,44275892.5,84.056
198000,1.515,0.303,0.162,443,3454,"Yes",358.31,70945884.58,19.69
12000,2,0.5,2.083,127,3971,"No",78.82,945854,624.954
130000,1.538,0.231,0.062,3036.8,1724.4,"No",94.51,12286639.05,84.056
144000,0.694,0.153,0.028,4082,1626.4,"No",81.91,11794434.75,207.132
