"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
2000,40,2,1.5,3.81,"No",81.93,163859.5,1069.328
120000,40,1.417,3.208,6.902,"No",137.81,16536908.85,53.724
1500,40,1.333,1.333,5.902,"No",64.91,97370,1807.463
10000,61,2.2,1.5,7.8,"No",164.39,1643878.6,1879.456
47000,60,4.255,4.787,6.686,"No",85.67,4026394.4,249.445
27500,50,1.818,2.327,8.031,"Yes",196.34,5399284.8,653.843
140000,60,2.143,2.371,5.888,"No",160.14,22419743.85,64.022
102000,50,2.941,3.48,6.841,"No",172.3,17575102.68,148.303
16000,168,1.5,2.438,7.116,"No",89.69,1434967.1,1155.428
6e+05,67,1.333,2.25,6.219,"No",141.98,85189623.45,23.718
4500,70,2.889,5.111,7.69,"No",138.5,623228.9,1868.403
102000,53,2.99,4.608,7.159,"No",589.41,60119390.1,673.631
4500,98,1.333,1.333,7.612,"No",219.91,989609.6,23.718
5600,56,2.857,4.286,6.252,"No",24.92,139577.2,1851.67
6000,40,3.667,4,7.25,"No",149.73,898402.4,1831.778
44500,60,0.787,2.27,6.227,"No",234.23,10423377.6,445.923
65000,60,1.538,4.923,6.17,"No",252.06,16384195.52,52.146
5000,45,1.8,2.8,6.658,"No",88.51,442531.6,1807.463
5200,45,0.962,0.769,1.966,"No",39.02,202895.35,1879.456
6300,50,0.952,0.794,2.781,"No",41.56,261847.25,789.937
4800,45,2.708,3.125,5.095,"Yes",101.81,488684.35,1484.515
5000,56,2.4,2,6.209,"Yes",297.71,1488532.15,1667.755
3000,56,4.333,2.333,7.983,"No",204.32,612962,23.718
10250,40,0.683,0.39,4.847,"No",87.79,899844.4,904.018
10001,60,2,2.9,5.318,"No",188.3,1883174.65,52.146
365000,46,0.959,1.164,8.349,"No",245.14,89475420.67,63.074
5900,50,1.186,2.542,7.083,"No",238.51,1407208.6,281.109
188000,168,3.457,3.936,7.148,"No",231.1,43446399.6,53.724
160000,45,1.094,1.788,5.335,"No",96.35,15416195.9,125.65
22000,60,3,3.636,5.932,"No",119.45,2628010,751.727
320000,55,2.344,2.663,7.198,"No",180.48,57755012.14,23.718
17000,65,2.353,3.588,7.377,"No",173.11,2942902.9,657.711
7000,40,1,0.143,3.265,"No",92.77,649376,1162.263
9000,40,1.556,2.111,3.076,"No",69.82,628348.88,1461.857
80000,168,1.188,1.25,7.272,"No",177.07,14165546.97,61.086
43000,50,4.651,4.814,3.497,"No",254.12,10927151.9,281.109
152000,55,2.901,4.559,8.066,"No",105.57,16046364.88,50.319
3600,40,4.167,5.278,1.975,"No",79.34,285625.2,1667.755
89000,56,2.247,2.045,7.185,"No",205.38,18278897.7,48.841
108000,56,3.704,3.25,7.182,"No",200.4,21642744.9,181.075
17000,50,0.471,0.588,3.608,"No",38.73,658447.65,1807.463
6000,40,3.167,3.167,6.175,"No",106.03,636177.15,1868.403
1800,45,1.667,2.778,5.173,"No",140.62,253119.3,1484.515
1850,40,0.541,0.541,7.274,"No",91.62,169489.6,1667.755
1550,50,3.871,4.516,7.307,"No",244.92,379622.95,941.818
260000,40,1.231,1.823,4.505,"No",192.79,50125504.1,52.146
104000,50,2.163,2.788,7.541,"No",181.98,18926187.97,50.319
12000,40,1.583,1.083,4.489,"No",63.5,761974.15,1130.475
20000,40,1.1,4.9,8.362,"No",124.05,2480954,657.711
10000,40,0.5,2.2,3.991,"No",268.89,2688885.85,281.109
1600,45,1.875,0.625,4.55,"No",105.21,168328.65,1879.456
2800,40,4.286,1.429,6.693,"No",110.04,308115.5,1851.67
420000,54,2.143,2.429,7.404,"No",195.27,82012432.22,23.718
6000,45,1.333,2,3.691,"No",135.01,810042.8,1130.475
1e+05,50,3.5,3.75,8.423,"No",191.16,19116381.2,48.841
61000,65,3.279,4.918,7.407,"No",182.37,11124736,281.109
43000,55,3.442,3.651,1.85,"No",132.24,5686425.15,249.445
34000,72,2.941,0.618,6.778,"No",339.22,11533589.9,52.146
10750,90,4.651,6.791,7.573,"No",321.04,3451182,1130.475
1400,50,2.143,2.857,7.194,"Yes",209.91,293878.9,1791.31
1100,76,2.727,5.455,7.942,"No",282.58,310836.4,1791.31
32500,40,1.631,1.785,6.405,"No",119.43,3881468.15,499.12
1200,45,4.167,3.333,7.26,"No",177.94,213522.4,1390.874
73000,70,1.164,1.712,6.966,"No",147.07,10736345.2,276.953
48000,50,3.229,4.229,7.475,"No",115.17,5528280.8,632.517
11250,40,4.444,6.489,8,"No",192.9,2170177.8,904.018
1100,40,4.545,7.273,7.484,"No",106.99,117692.4,1807.463
90000,40,1.944,1.933,6.942,"No",243.15,21883391.15,647.987
40000,68,1.875,2.7,7.292,"No",197.08,7883106,579.248
74000,53,2.973,1.865,6.435,"No",273.55,20242871.95,55.969
62000,60,4.032,4.113,6.798,"No",80.27,4977005.95,158.3
6900,60,2.899,2.464,7.39,"No",201.27,1388780.4,143.946
116000,168,2.586,4.44,8.127,"No",132.23,15339240,17.712
3500,50,2.286,3.143,7.653,"No",158.3,554043,1791.31
70000,45,1.143,1.486,6.169,"No",176.91,12383940.8,653.843
96000,60,2.083,2.802,5.824,"No",172.48,16557977.21,276.953
1900,70,3.684,4.211,8.296,"No",564.65,1072827.7,1879.456
305000,60,3.115,3.541,7.072,"No",307.99,93936302.76,52.146
6900,40,1.739,3.478,7.683,"No",116.42,803313,519.502
4250,40,2.824,2.824,5.648,"No",74.98,318670.8,1868.403
2750,60,3.636,7.273,8.365,"No",205.99,566470.8,1162.263
3050,44,2.951,2.951,7.302,"No",126.08,384556.2,336.402
65000,126,0.185,0.215,6.788,"No",80.11,5207399.4,73.698
138000,75,4.348,6.652,4.949,"No",211.18,29142781.15,163.09
4150,40,1.928,2.41,7.585,"No",75.2,312090.1,751.727
150000,50,6,3.427,6.486,"No",113.28,16992032.4,53.724
8e+05,55,1.968,2.556,5.145,"No",127.52,102018143.15,10.856
2400,40,3.333,7.5,7.441,"No",50.02,120050,1807.463
7e+05,75,3,3.461,6.7,"No",253.21,177247044.38,62.141
2500,48,2.4,4.4,6.151,"Yes",273.9,684742.8,1851.67
3200,40,0.625,0.625,7.611,"No",55.97,179102.7,1868.403
40500,60,3.086,3.877,6.583,"No",123.28,4992970.5,177.345
3600,45,1.111,1.389,7.329,"No",47.65,171551.45,1387.077
6e+05,72,3.5,4.223,6.856,"No",286.76,172055083.43,25.323
3400,60,0.882,1.765,8.239,"No",65.84,223840.4,1834.966
1250,50,4,4,7.863,"No",137.75,172183.2,1461.857
2200,85,1.364,1.364,1.989,"No",252.73,556010,1807.463
3500,40,1.429,2.571,1.683,"No",142.41,498425.2,148.055
5200,70,0.962,2.115,7.392,"No",118.97,618651.6,961.783
2600,40,0.385,2.692,8.424,"No",73.11,190089.2,2140.906
59000,75,2.542,1.814,3.626,"No",94.2,5557515.25,52.146
4250,45,0.471,1.412,5.886,"No",39.39,167398,1559.829
50000,50,2.4,2.42,6.785,"No",128.31,6415466.75,48.841
5000,60,2.2,2.6,7.503,"No",153.49,767440.8,1069.328
3950,40,2.532,2.025,7.47,"No",69.42,274218,920.124
3500,50,2.571,3.429,7.979,"No",165.02,577581.2,1451.617
40000,45,5,3.625,5.744,"No",232.9,9315819.1,1655.242
415000,50,0.53,0.482,7.097,"No",196.14,81398139.86,25.323
88000,65,1.705,2.727,7.951,"No",207.81,18287168.55,48.841
250000,62,2,2.952,5.762,"No",210.89,52721742.56,48.841
445000,66,0.674,1.169,5.025,"No",77.09,34304361.3,48.841
7500,40,2.533,2.267,8.007,"No",153.6,1151984.4,1276.539
205000,85,2.073,2.268,6.56,"No",137.32,28150522.4,52.146
4600,44,2.174,3.261,4.026,"No",66.13,304208.45,1851.67
52000,90,1.923,1.596,7.58,"No",393.4,20456995.3,177.345
85000,168,1.765,4.412,7.252,"No",24.9,2116873.85,365.059
25000,50,1,2.08,3.8,"No",148.43,3710789.25,48.841
500001,60,1.2,1.628,7.595,"No",183.18,91590801.24,55.969
1500,45,2.667,6,4.079,"No",112.9,169349.95,1667.755
6e+05,168,2.5,3.633,6.776,"Yes",400.63,240377126.51,62.141
5400,55,3.333,4.815,7.222,"Yes",236.41,1276591.4,1274.256
16250,60,1.169,0.308,7.255,"No",51.65,839291.6,1828.052
17000,45,4.118,4.941,7.105,"Yes",159.59,2712976.35,918.03
500001,168,0.6,1.21,7.323,"No",128.39,64195808.89,23.718
1500,50,2,4,6.645,"No",99.34,149004.45,1484.515
500001,168,2.4,3,6.348,"Yes",85.86,42928373.92,25.323
280000,50,1.857,1.107,6.594,"No",358.4,100350756.48,177.345
5800,60,3.621,4.31,6.469,"No",153.69,891388.4,1667.755
3450,48,1.739,3.478,5.958,"No",95.03,327868.8,1851.67
3500,48,1.429,2.286,5.927,"Yes",122.67,429339.05,918.03
32000,168,1.562,1.781,4.979,"No",124.45,3982258.7,308.206
5700,40,1.754,2.105,6.553,"No",43.92,250348.35,1484.515
