"WKHRS","NWKER_SQFT","RFG_SQFT","HDD65_HEATP","CDD65_COOLP","IsSuperMarket","AdjNWKER_SQFTsuperMarket","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
78,1.351,0.135,8.9,6.797,"No",0,181.82,1345504.3,964.604
72,0.833,0.067,8.506,0.068,"Yes",0.833,397.88,11936447.6,657.711
168,1.335,0.011,8.237,7.267,"No",0,131,23056584.38,226.828
50,0.625,0.188,8.569,5.911,"No",0,247.83,3965223.85,1162.263
105,1.143,0.014,8.292,7.131,"No",0,340.15,119051085.82,19.69
168,0.189,0.189,8.557,6.822,"Yes",0.189,532.97,2824716.65,1879.456
68,0.205,0,8.402,6.724,"No",0,78.8,3073093.8,579.248
58,0.405,0.135,8.532,5.631,"No",0,68.32,505533,1729.173
100,1.6,2.7,6.346,2.718,"Yes",1.6,543.65,5436525.15,1117.742
72,0.261,0.065,5.649,8.318,"No",0,163.22,7508107.6,63.074
54,0.167,0.25,5.667,2.272,"No",0,31.25,374950.8,1559.829
70,1.364,0.818,8.282,7.141,"No",0,193.61,2129696.8,1794.739
105,1.159,0.754,7.803,7.469,"Yes",1.159,634.16,21878465.7,226.828
50,1,0.5,8.14,4.886,"No",0,152.4,914403,1729.173
60,0.606,0.303,6.027,5.643,"No",0,236.44,1560532.4,1451.617
74,0.93,0.023,8.728,6.026,"No",0,142.38,6122211.2,583.627
98,0.522,1.304,8.506,6.755,"No",0,237.77,2734315.85,787.079
168,0.324,0.986,8.56,5.854,"Yes",0.324,271.56,40191533.9,48.841
48,0.2,0.2,7.933,7.513,"No",0,41.89,209448.75,1484.515
168,0.568,0.5,8.306,5.814,"No",0,243.71,53615985.15,231.995
98,0.523,0.398,7.768,6.605,"No",0,155.61,19918124.8,144.558
98,0.857,1.143,8.32,6.656,"Yes",0.857,659.91,11548510.75,1069.328
75,0.758,0.303,7.156,8.178,"No",0,357.33,2358364.4,1134.75
101,0.539,0.196,8.537,6.858,"No",0,209.39,21357638.75,276.953
74,0.389,0.044,6.842,8.214,"No",0,185.31,16677784.34,48.841
112,0.606,0.152,6.988,8.079,"No",0,143.3,945785.75,1879.456
103,0.569,0,6.757,7.758,"No",0,167.9,17126261.6,1031.346
110,0.889,0.127,8.702,6.914,"No",0,298.47,4700851.4,1162.263
69,1.014,0.182,7.458,6.763,"No",0,378.66,56041184.15,48.841
78,0.87,0.261,8.099,7.261,"No",0,223.87,2574552.05,941.818
85,0.87,0,7.432,7.926,"No",0,138.88,1597170.4,1791.31
84,0.25,0.05,8.326,7.268,"No",0,148.72,8923196.8,143.946
85,0.853,0.017,7.047,8.097,"No",0,227.56,26396908.12,62.703
59,0.69,0,8.266,5.268,"No",0,157.22,1367834.65,1655.242
64,0.2,0.267,3.867,3.844,"No",0,50.53,757888.25,1387.077
61,1.429,0.095,8.806,5.622,"No",0,90.8,1906765.77,1145.08
96,1,0.15,8.396,5.13,"No",0,308.09,6161816.85,583.627
71,0.809,0.125,8.518,6.938,"No",0,346.74,47156471.95,158.3
54,0.615,0.308,7.806,7.487,"No",0,114.91,746896.15,1807.463
106,0.569,0.026,8.198,7.216,"No",0,210.25,24389023.75,62.703
105,2.164,0.366,8.425,6.662,"No",0,187.4,25111275.7,247.695
64,0.653,0.327,7.712,3.927,"No",0,119.11,1459158.4,1031.346
50,2.841,0,7.062,4.13,"No",0,166.35,14638579.2,19.69
60,0.972,0,3.547,3.794,"No",0,61.71,444309.6,1461.857
56,4.118,0.235,8.66,6.426,"No",0,308.8,5249657.41,1390.874
126,0.933,3.467,6.934,5.221,"Yes",0.933,731.36,21940703.4,1155.428
60,0.217,0.087,7.902,7.797,"No",0,57.03,1311662.8,632.517
83,1.091,0.582,8.643,6.918,"Yes",1.091,596.86,8206760.1,1162.263
168,0.674,1.304,8.582,5.094,"Yes",0.674,513.7,47260852.8,647.987
60,1.667,0,8.381,7.108,"No",0,94.09,16936592.98,175.756
78,0.53,0.038,6.658,5.551,"No",0,150.63,19883684.45,157.112
65,2.159,0.455,7.632,2.048,"No",0,139.22,1225148.75,1162.263
98,0.644,0.736,8.805,6.806,"No",0,241.3,41985349,61.581
45,1.818,0.13,8.22,7.304,"No",0,381.32,2936163.65,1107.753
54,0.4,0.2,8.22,7.614,"No",0,90.38,451904.95,1484.515
84,1.714,0,8.488,5.004,"No",0,42.19,2953227.2,249.445
112,0.26,0.188,6.031,6.067,"No",0,147.18,14129540.95,48.841
84,0.8,2.9,8.775,5.293,"Yes",0.8,412.72,4127202.8,1461.857
168,0.678,0.203,8.791,6.77,"No",0,328.62,4847088.05,1162.263
168,0.445,0.753,5.989,8.631,"No",0,305.37,44583470.4,847.37
90,0.294,1.847,8.268,7.35,"No",0,598.18,50845057.9,365.059
50,0.159,0,8.009,3.776,"No",0,55.26,348145.7,1868.403
84,0.25,0.65,7.287,7.84,"No",0,168.68,30362104.15,639.722
168,0.189,0.592,8.855,5.226,"No",0,291.19,77166209.83,52.146
57,0.245,0.163,7.203,2.704,"No",0,44.49,544997.25,857.774
56,0.1,0.04,8.508,7.277,"No",0,72.08,3604100.5,281.109
168,0.8,1.78,7.835,4.55,"Yes",0.8,521.98,26099072.65,532.964
96,0.362,0.036,8.044,7.091,"No",0,157.74,21768318.53,144.558
48,1,0,4.47,1.663,"No",0,91.03,910307.3,918.03
98,0.484,0.398,8.346,6.757,"No",0,182.01,23296679.7,445.731
168,1.737,0.102,8.504,7.048,"No",0,200.83,23697406.25,59.086
60,0.714,0.057,8.074,7.555,"No",0,122.05,4271795.5,665.409
90,1.333,0.222,4.466,8.396,"No",0,154.04,1386322,1834.966
55,0.609,0.174,8.38,3.698,"No",0,125.42,1442294.35,1117.742
74,0.632,0.042,8.585,5.088,"No",0,69.04,6558788.6,249.445
85,0.521,0.146,4.705,4.139,"No",0,112.12,5381821.2,158.3
168,0.61,0.537,7.885,6.903,"No",0,259.41,53178036.8,247.695
