"Unit.Density","Bedrooms.Unit","CDD","HDD","IsLowRise","SOURCE_ENERGY","SOURCE_EUI","FINALWT"
1.28,1,905,5888,"Yes",3986121,127.9,925.04
2.25,1,1162,5895,"Yes",3387678,190.3,925.04
1.14,1,655,7520,"Yes",3928257,112.3,925.04
1.34,1,467,2274,"No",2168705,70.7,925.04
1.7,1,2362,2543,"Yes",3589632,148.9,925.04
1.17,1,2130,3482,"Yes",3450967,98.3,925.04
1.13,1,924,5179,"Yes",4814103,132.5,433
1.71,1,2273,2838,"Yes",3744681,152.1,925.04
0.52,1,1272,4423,"No",8254033,101.7,433
1.16,1,250,8032,"Yes",3768065,104.1,925.04
1.7,1,3112,1849,"Yes",4706841,182,925.04
1.17,1,1835,4855,"No",3225935,85.8,925.04
1.6,1,924,5221,"No",3521954,127.8,433
0.63,1.9,1272,4423,"No",10704462,147.6,433
1.13,1,393,6387,"No",5383739,131.9,433
1.02,2,1272,4423,"No",7359629,158.9,433
1.2,1,3209,2241,"No",4740732,118.1,925.04
1.3,1,2837,2369,"Yes",7562707,205.6,925.04
1.18,1,1522,5227,"Yes",4626456,113.3,925.04
1.49,1,588,5882,"No",3363676,104.6,925.04
0.6,1.4,1070,5456,"Yes",8322947,101.4,925.04
1.39,1.1,2563,3245,"Yes",4365271,121,925.04
0.99,1.2,1165,4570,"No",6993583,138.6,433
1.52,1,1522,5227,"Yes",5015621,152.6,925.04
1.09,1,520,5352,"Yes",4511797,98,433
1.38,1,783,6008,"Yes",4563169,125.7,925.04
0.83,1,393,6387,"Yes",5771639,95.9,433
1.1,1,763,6294,"Yes",7948437,171.3,925.04
1.55,1,2120,2960,"Yes",4983972,145.5,925.04
0.28,1.7,1272,4423,"No",31607252,167.3,433
1.17,1.3,100,5094,"No",4832295,106.4,925.04
0.97,1,1055,5180,"Yes",6123699,112.2,433
0.64,2.1,1272,4423,"No",11717790,139.3,433
1.29,1,1642,3932,"No",6290240,147.9,925.04
1.34,1,1467,4329,"No",5819031,141.7,433
1.08,1.3,1536,4312,"No",6137789,118.1,433
1.29,1.1,851,5371,"Yes",4493808,103.9,433
1.12,1,884,5936,"No",6417851,128.6,925.04
0.82,1.4,1165,4570,"No",10791097,155.3,433
1.1,1.5,1165,4570,"No",6420729,124,433
1.87,1,34,3345,"Yes",8453866,272.7,925.04
0.27,1,1272,4423,"No",33294474,150.3,433
1.25,1,745,7168,"No",4685323,98.9,925.04
1.5,1.1,2920,2281,"Yes",4934284,123.1,925.04
0.48,2.2,1272,4423,"No",12601678,100.6,433
1.37,1,875,5152,"No",5550057,127.1,433
1.28,1,1155,5770,"No",7585158,162,925.04
1.18,1,905,5888,"Yes",8827612,174.3,925.04
1.19,1,1162,5895,"No",12266601,243.2,925.04
1.37,1,946,5977,"No",6119314,140.1,925.04
1.29,1,946,5977,"No",8872080,190.6,925.04
1.42,1,697,5983,"No",8915902,211.4,925.04
0.89,1,523,6194,"No",10496669,156.5,433
1.31,1,846,6287,"Yes",3699912,81,925.04
1.23,1,861,6331,"Yes",4363041,89.3,925.04
1.64,1,924,5221,"No",4739230,125.1,433
1.27,1,216,4701,"No",5136246,103.2,925.04
1.11,1.2,1272,4423,"No",9020434,157.1,433
1.36,1,4602,1061,"No",7514619,157.4,925.04
1.28,1,1217,5412,"No",5863544,115.2,925.04
1.2,1,824,2838,"Yes",5712340,103.9,925.04
1.26,1,1467,4329,"No",7904165,150.7,433
0.84,1.2,1165,4570,"No",8004818,101.8,433
0.92,1,946,5977,"No",13780460,191.5,925.04
1.37,1.1,1536,4312,"No",6173786,122.5,433
1.21,1.3,1272,4423,"No",8690547,152.2,433
0.86,1.229,1272,4423,"No",11481921,140.5,433
2.01,1,1272,4423,"No",6380386,182.8,433
1.3,1,1187,5405,"No",9437795,175,925.04
1.32,1,765,5436,"No",8898880,167.4,925.04
1.25,1,4602,1061,"No",9493394,165,925.04
0.81,1.3,1536,4312,"No",10656420,119.7,433
0.88,1.6,1272,4423,"No",9687345,117.7,433
2,1.1,851,5371,"Yes",6425819,178.5,433
1.2,1.1,898,6020,"No",9903558,164.9,925.04
1.04,2.438,206,7993,"Yes",9144957,130.3,925.04
2.5,1,100,3289,"No",5794783,196.1,925.04
0.67,1.7,1272,4423,"No",14239899,128.3,433
1.38,1,750,1381,"No",4025824,74.3,925.04
1.42,1,1067,2468,"Yes",3918224,74.4,925.04
1.21,1.1,1877,2731,"Yes",5572687,89.9,925.04
1.69,1,1061,5751,"Yes",7762901,174.9,925.04
1.22,1,338,1391,"No",3937177,63.2,925.04
1.92,1,3238,1754,"Yes",4765989,120.2,925.04
1.27,1,944,5414,"No",8016945,133.7,433
0.77,1,859,5674,"No",6859785,69.3,433
1.47,1.2,475,6315,"Yes",9651366,187.2,925.04
0.43,2.3,1272,4423,"No",28721421,160.7,433
0.74,1.4,1272,4423,"No",14944644,143.7,433
1.3,1,2416,2838,"No",8506859,141.6,925.04
0.81,1,761,2845,"Yes",7911154,82.3,925.04
1.43,1.1,1603,3715,"Yes",6856695,125.5,925.04
1.3,1,587,6199,"No",7187817,120.2,433
1.15,1.5,1165,4570,"No",8729116,126.9,433
0.83,2.6,938,5404,"Yes",12172964,128.1,433
1.49,1,3453,960,"No",5466311,101.9,925.04
1.4,1,356,2340,"Yes",4092679,70.9,925.04
1.03,1,2870,3425,"Yes",8584981,109.4,925.04
1.96,1,475,6315,"Yes",9165734,221.3,925.04
1.57,1.1,2831,1869,"Yes",6184661,118.5,925.04
0.72,1.4,1272,4423,"No",12054020,105.3,433
0.52,1.6,100,5094,"No",9143232,58.4,925.04
1.09,1.1,851,5371,"No",12429050,164.5,433
1.6,1,905,5888,"No",4815930,93.9,925.04
0.89,1.4,1536,4312,"No",10066077,108.5,433
1.05,1.1,1272,4423,"No",9982630,126.4,433
0.83,1.2,1272,4423,"No",8717223,86.9,433
0.75,1.988,1272,4423,"No",13229781,118.5,433
0.98,1,1734,4461,"Yes",11527079,134.9,925.04
0.97,1.1,1217,5412,"No",12611532,145.7,925.04
1.07,1.1,1093,4856,"Yes",11296523,141.6,433
0.84,2.4,1749,4585,"Yes",18579684,181.3,925.04
2.09,1,34,3345,"No",4971138,117.9,925.04
0.87,1.6,1272,4423,"No",9571408,94.6,433
1.4,1,1272,4423,"No",9417295,149.7,433
0.6,1.2,1165,4570,"No",10991612,74.9,433
0.91,2.2,689,5171,"Yes",15351724,158.5,433
1.77,1,924,5221,"No",7660819,154,433
1.17,1.4,979,5346,"Yes",10620829,139.1,433
0.51,2.3,1272,4423,"No",36916244,209,433
1.19,1.2,1272,4423,"No",4666605,61,433
1.25,1,967,4619,"No",9606051,132.4,925.04
1.65,1,327,6728,"Yes",5301986,96,925.04
1.35,1.3,1536,4312,"No",13763539,199.8,433
0.32,2.1,1272,4423,"No",43722405,152.8,433
1.52,1,2110,3523,"Yes",9724803,156.9,925.04
1.06,2.2,1322,3950,"Yes",14828692,166.7,925.04
0.99,1.6,1272,4423,"No",15044544,156,433
1.2,1,825,5597,"Yes",9945241,124.8,433
1.52,1,4114,429,"No",7132322,108.1,469.3
1.27,2.1,926,2835,"Yes",6610915,83.9,469.3
1.54,1,2416,2838,"Yes",10648539,164.4,469.3
0.91,1,136,3150,"No",10281191,93.5,469.3
1.44,1.1,2055,3246,"No",15988087,230.5,469.3
0.55,3,1272,4423,"No",30101157,165.3,79.26
1.12,1.2,1272,4423,"No",19993603,223.5,79.26
1.25,1.1,1820,4889,"Yes",15837144,197.7,469.3
1.34,1,834,5180,"No",8056356,107.7,79.26
1.25,1,881,5332,"No",10815649,135.3,469.3
0.58,2.1,769,5546,"Yes",9484869,54.6,469.3
1.4,1,924,5179,"No",9369146,129.5,79.26
1.09,1,877,5237,"No",7799484,84.3,79.26
1.11,1,508,5354,"No",8515875,93.9,79.26
1.16,1,387,6260,"No",9306095,107.2,79.26
1.29,1,3906,1328,"No",12228944,152.8,469.3
1.29,1,998,5400,"No",11295861,141.2,79.26
0.68,2,1155,5770,"Yes",18590748,123.4,469.3
1.18,1,900,6310,"Yes",10252135,117.2,469.3
1.28,1,3283,1001,"No",9080678,111.9,469.3
0.99,1.5,1165,4570,"No",11670484,111.1,79.26
1.67,1.2,475,6315,"Yes",13651673,219.8,469.3
0.8,1.2,1272,4423,"No",12157847,92.1,79.26
1.2,1,1219,5764,"Yes",13920013,157.5,469.3
1.52,1.4,1536,4312,"No",7562659,107.3,79.26
1.86,1.4,1536,4312,"No",6128164,106.4,79.26
