"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",144,27,28,0.189,-0.008,2863.227
"2","C1",1,"Reg","SiteEnergyUse",144,27,28,0.315,0.148,2184653560456.07
"3","C1a",1,"Reg-Lasso","SourceEUI",144,1,1,NA,NA,3532.639
"4","C1a",1,"Reg-Ridge","SourceEUI",144,31,31,0.134,-0.115,3524.545
"5","C1a",1,"Reg-ElasticNet","SourceEUI",144,1,1,NA,NA,3532.639
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",144,2,2,0.172,-0.067,3189229676107.42
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",144,31,31,0.2,-0.031,3183855679224.08
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",144,2,2,0.188,-0.047,3189229676107.42
"9","C2",2,"Reg","SourceEUI",144,74,296,0.729,1.253,958.099
"10","C2",2,"Reg","SiteEnergyUse",144,74,296,0.833,1.156,532603208303.305
"11","C2",3,"Reg","SourceEUI",144,80,1614,0.784,1.021,762.399
"12","C2",3,"Reg","SiteEnergyUse",144,80,1614,0.847,1.015,489267530092.666
"13","C2",4,"Reg","SourceEUI",144,80,5191,0.784,1.006,762.399
"14","C2",4,"Reg","SiteEnergyUse",144,80,5191,0.847,1.004,489267530092.666
"15","C2",5,"Reg","SourceEUI",144,80,10790,0.784,1.003,762.399
"16","C2",5,"Reg","SiteEnergyUse",144,80,10790,0.847,1.002,489267530092.666
"17","C2",6,"Reg","SourceEUI",144,80,15824,0.784,1.002,762.399
"18","C2",6,"Reg","SiteEnergyUse",144,80,15824,0.847,1.001,489267530092.666
"19","C2",7,"Reg","SourceEUI",144,80,18240,0.784,1.002,762.399
"20","C2",7,"Reg","SiteEnergyUse",144,80,18240,0.847,1.001,489267530092.666
"21","C2",8,"Reg","SourceEUI",144,80,18720,0.784,1.002,762.399
"22","C2",8,"Reg","SiteEnergyUse",144,80,18720,0.847,1.001,489267530092.666
"23","C3a",1,"rpart","SourceEUI",144,8,8,0.138,0.087,3045.727
"24","C3a",1,"rpart","SiteEnergyUse",144,8,8,0.266,0.223,2339665028152.78
"25","C3b",1,"xgboost","SourceEUI",144,20,20,0.702,0.616,1893.398
"26","E3b",1,"xgboost","SiteEnergyUse",144,20,20,0.741,0.666,1288178618322.94
