"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",375,31,31,0.182,0.108,8894.827
"2","C1",1,"Reg","SiteEnergyUse",375,31,31,0.767,0.746,18235799340349.4
"3","C1a",1,"Reg-Lasso","SourceEUI",375,1,1,NA,NA,10875.634
"4","C1a",1,"Reg-Ridge","SourceEUI",375,35,35,0.116,0.028,10839.717
"5","C1a",1,"Reg-ElasticNet","SourceEUI",375,2,2,0.046,-0.049,10875.634
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",375,3,3,0.726,0.698,28821727463355.7
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",375,35,35,0.735,0.708,23173508727902.1
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",375,17,17,0.746,0.721,21594428349304.6
"9","C2",2,"Reg","SourceEUI",375,166,354,0.645,-5.63,3855.789
"10","C2",2,"Reg","SiteEnergyUse",375,166,354,0.913,-0.618,6765496682041.01
"11","C2",3,"Reg","SourceEUI",375,288,2050,0.939,1.014,658.211
"12","C2",3,"Reg","SiteEnergyUse",375,288,2050,0.983,1.004,1364472287292.01
"13","C2",4,"Reg","SourceEUI",375,320,6925,0.973,1.002,289.435
"14","C2",4,"Reg","SiteEnergyUse",375,320,6925,0.996,1,295134346498.154
"15","C2",5,"Reg","SourceEUI",375,322,14931,0.975,1.001,273.805
"16","C2",5,"Reg","SiteEnergyUse",375,322,14931,0.996,1,288245055281.069
"17","C2",6,"Reg","SourceEUI",375,322,22416,0.975,1,273.805
"18","C2",6,"Reg","SiteEnergyUse",375,322,22416,0.996,1,288245055281.069
"19","C2",7,"Reg","SourceEUI",375,322,26124,0.975,1,273.805
"20","C2",7,"Reg","SiteEnergyUse",375,322,26124,0.996,1,288245055281.069
"21","C2",8,"Reg","SourceEUI",375,322,26880,0.975,1,273.805
"22","C2",8,"Reg","SiteEnergyUse",375,322,26880,0.996,1,288245055281.069
"23","C3a",1,"rpart","SourceEUI",375,8,8,0.238,0.222,8285.501
"24","C3a",1,"rpart","SiteEnergyUse",375,8,8,0.756,0.75,19107066406848.6
"25","C3b",1,"xgboost","SourceEUI",375,31,31,0.85,0.835,3029.978
"26","E3b",1,"xgboost","SiteEnergyUse",375,26,26,0.89,0.879,9647338539877.23
