"SOURCE_EUI","SOURCE_ENERGY","FINALWT","SQFT","NFLOOR","WKHRS","NWKER","COOLP","CDD65","HEATP","HDD65","IsCooking","IsOpenWeekends","IsHighSchool"
164.14,15100839.6,90.622,92000,2,39,84,100,4009,100,1037,"Yes","Yes","No"
209.36,5234304.25,918.03,25001,1,50,7,100,984,100,4817,"Yes","No","Yes"
148.67,14718450.6,362.07,99000,2,45,104,75,781,100,4701,"Yes","Yes","No"
141.08,19751090.8,139.17,140000,2,40,35,98,975,100,5050,"Yes","Yes","Yes"
89.43,6260301.6,360.218,70000,1,60,70,100,1705,100,3064,"Yes","No","No"
92.47,37914691.85,84.056,410000,2,90,220,100,1102,100,5528,"Yes","Yes","Yes"
137.54,19531242.5,209.1,142000,1,40,65,100,3269,100,889,"Yes","No","No"
63.85,1213147.95,751.727,19000,2,44,12,75,1029,100,4935,"No","Yes","No"
208.52,10009064.13,904.018,48000,1,60,45,90,621,100,7932,"Yes","No","No"
92.94,5019007,242.087,54000,1,40,37,100,1610,100,4190,"Yes","No","Yes"
125.01,5937755.28,139.17,47500,2,45,57,95,778,100,5300,"Yes","No","No"
123.87,59458336.35,21.599,480000,1,120,250,100,931,100,5305,"Yes","Yes","Yes"
138.76,31914990.11,356.198,230000,3,48,95,90,1658,95,4179,"Yes","No","Yes"
107.45,4083124.85,299.395,38000,2,40,40,90,2243,95,2778,"Yes","No","No"
186.9,27287350.3,84.056,146000,2,70,100,99,1372,100,6168,"Yes","Yes","Yes"
150.95,3849220.9,583.351,25500,1,70,44,15,1039,100,4814,"Yes","No","No"
116.42,23866517.15,84.589,205000,2,50,116,100,1036,100,3901,"Yes","Yes","Yes"
127.86,37717810.82,139.17,295000,2,84,194,100,2002,100,2968,"Yes","Yes","Yes"
173.62,7986594,207.132,46000,2,50,26,100,1851,100,3576,"Yes","Yes","No"
84.19,4378028.2,311.134,52000,2,40,60,100,3772,100,1100,"Yes","No","No"
80.58,4996120.11,499.12,62000,3,45,50,20,770,100,4152,"Yes","No","Yes"
124.27,7083601.35,271.015,57000,1,80,42,100,1140,100,5354,"No","Yes","No"
85.43,4698386,356.198,55000,2,50,30,100,1793,100,2489,"Yes","No","No"
137.77,17083913.63,125.65,124000,3,90,80,100,880,100,6816,"Yes","Yes","No"
70.94,6951964.95,73.063,98000,1,45,56,100,2008,100,2706,"Yes","No","No"
91.29,5842771.2,825.402,64000,3,70,24,10,970,100,5263,"Yes","Yes","No"
77.71,5828128.25,311.134,75000,1,60,53,100,3297,100,1596,"Yes","Yes","No"
103.29,7643538.35,179.596,74000,2,60,45,75,1404,100,3556,"Yes","No","No"
138.96,9032276.75,201.21,65000,2,50,20,100,1796,100,4748,"No","Yes","Yes"
86.63,11781712.25,139.17,136000,2,40,90,75,1892,80,3353,"Yes","No","Yes"
56.25,12093168.5,138.566,215000,1,40,60,100,2408,100,2711,"Yes","No","No"
155.22,13038785.68,212.426,84000,5,55,125,59,1474,100,3538,"Yes","No","Yes"
87.93,7738135.65,239.385,88000,2,50,60,100,788,100,6889,"Yes","No","No"
158.2,16452828,366.156,104000,2,40,81,100,1389,100,4130,"Yes","No","No"
217.19,95563493.55,84.056,440000,5,105,298,10,1643,100,4721,"Yes","Yes","Yes"
102.63,7492250.5,160.426,73000,1,60,84,100,1510,100,2547,"Yes","No","No"
