"SOURCE_EUI","SOURCE_ENERGY","FINALWT","SQFT","NFLOOR","WKHRS","NWKER","COOLP","CDD65","HEATP","HDD65","IsCooking","IsOpenWeekends","IsHighSchool"
84.78,12886284.6,84.056,152000,1,50,84,90,770,100,6469,"Yes","No","No"
169.65,23411497.55,143.946,138000,2,95,150,100,1620,100,3789,"Yes","Yes","No"
94.18,7346053.05,366.156,78000,1,50,81,100,1722,100,2457,"Yes","No","No"
98.85,10477605.6,209.1,106000,1,45,35,100,3676,100,803,"Yes","No","No"
104.58,31896404.75,171.867,305000,6,35,130,100,3700,100,712,"Yes","Yes","Yes"
139.56,3384378.55,503.863,24250,1,35,37,100,2568,100,2478,"Yes","No","No"
72.9,7581887.25,160.426,104000,1,45,80,98,2070,100,1959,"Yes","No","No"
80.8,3837933.75,751.727,47500,3,62,65,50,1365,50,1080,"Yes","No","No"
200.38,3606914.85,385.908,18000,3,66,30,75,3840,75,767,"No","Yes","No"
131.24,11548920.95,360.218,88000,1,40,81,95,1252,100,4421,"Yes","No","No"
103.37,2790910.35,499.12,27000,3,40,33,60,701,80,5731,"Yes","No","No"
130.52,12007523.15,139.17,92000,2,40,50,90,1372,100,4268,"Yes","No","No"
176.47,1323554.4,1849.185,7500,1,60,7,100,2932,100,1144,"Yes","No","No"
117.92,2653264.25,583.351,22500,1,35,18,100,1898,100,2704,"No","No","No"
54.71,4596006.8,311.134,84000,1,40,51,95,173,100,6253,"Yes","No","No"
159.62,20112610.57,84.056,126000,2,40,72,100,1216,100,5057,"Yes","No","Yes"
198.67,16687879.25,139.17,84000,3,50,30,100,1830,100,2265,"Yes","Yes","No"
163.51,19294184.35,139.17,118000,3,40,120,50,809,100,5669,"Yes","Yes","Yes"
200.05,47011600.65,125.65,235000,3,70,120,100,1144,100,5643,"Yes","Yes","Yes"
165.71,35627034.1,125.65,215000,2,40,75,100,748,100,6894,"Yes","No","Yes"
155.51,27370601.3,84.056,176000,2,70,79,40,1129,100,5085,"Yes","Yes","Yes"
146.96,15872203.55,356.198,108000,3,40,62,95,1149,100,3210,"Yes","No","No"
89.86,12759985,84.056,142000,4,85,65,99,1815,100,3257,"Yes","Yes","No"
