"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
132000,45,225,280,"No",90,1209,197.64,26088364.58,53.724
1100,38,2,3,"No",100,2513,517.79,569567.6,23.718
34500,50,82,102,"No",98,814,142.9,4930016.7,1031.346
186000,80,200,202,"Yes",72,1933,86.64,16114812,161.867
3e+05,70,800,590,"No",50,918,282.29,84687451.45,52.146
2150,45,5,10,"No",100,1825,130.18,279888,1868.403
6300,60,5,9,"Yes",100,3574,297.95,1877111.6,1162.263
6000,40,2,13,"No",100,1615,92.72,556343.2,1849.185
4000,45,6,16,"No",100,1050,189.11,756425.95,1879.456
7e+05,168,1500,4170,"No",100,1924,446.73,312711398.74,2.187
4000,49,6,8,"Yes",100,1422,217.96,871826.9,1807.463
7000,80,15,27,"No",100,4119,386.65,2706560.85,624.954
7e+05,65,1200,1225,"No",95,1370,211.14,147800229.5,25.323
18500,60,25,92,"No",66,905,65.96,1220321.55,1145.08
90000,55,40,61,"No",80,1175,70.86,6377847.35,190.59
210000,60,350,275,"No",100,1004,159.49,33493455,9.093
100001,54,60,70,"No",90,4129,140.01,14001125.6,50.319
405000,88,425,825,"No",100,1130,169.85,68787646.37,52.146
3000,40,4,8,"No",100,3646,49.63,148892.8,1879.456
1400,48,5,5,"No",100,2014,82.7,115780,1667.755
3300,70,5,6,"Yes",100,3783,320.36,1057201.6,1879.456
225000,65,400,821,"No",90,4672,128.59,28932683.7,55.969
1600,60,2,7,"No",50,361,52.72,84351.54,1461.857
290000,60,350,505,"No",85,1726,240.06,69616650.45,48.841
78000,45,128,205,"No",85,1178,103.79,8095777.9,19.69
60000,40,85,101,"No",100,1468,27.31,1638719.6,1117.742
1050,40,2,3,"No",50,1417,175.33,184091.6,1868.403
58000,168,120,140,"No",100,1403,155.6,9025059.6,665.409
73000,72,400,225,"No",95,3372,143.09,10445542.8,48.841
9300,40,30,36,"No",70,1900,75.28,700106.4,1031.346
160000,50,300,329,"No",85,1745,99.89,15981693.31,139.17
4900,98,15,10,"No",100,1096,92.91,455253.05,1145.08
2000,40,4,3,"No",50,2037,81.93,163859.5,1069.328
120000,40,170,385,"No",100,994,137.81,16536908.85,53.724
1500,40,2,2,"No",80,1600,64.91,97370,1807.463
10000,61,22,15,"No",100,2440,164.39,1643878.6,1879.456
47000,60,200,225,"No",100,801,85.67,4026394.4,249.445
27500,50,50,64,"Yes",100,3075,196.34,5399284.8,653.843
140000,60,300,332,"No",85,1019,160.14,22419743.85,64.022
102000,50,300,355,"No",100,935,172.3,17575102.68,148.303
16000,168,24,39,"No",100,1232,89.69,1434967.1,1155.428
6e+05,67,800,1350,"No",83,1796,141.98,85189623.45,23.718
4500,70,13,23,"No",100,2187,138.5,623228.9,1868.403
4500,98,6,6,"No",100,2022,219.91,989609.6,23.718
5600,56,16,24,"No",100,519,24.92,139577.2,1851.67
6000,40,22,24,"No",100,1408,149.73,898402.4,1831.778
44500,60,35,101,"No",100,506,234.23,10423377.6,445.923
65000,60,100,320,"No",92,818,252.06,16384195.52,52.146
5000,45,9,14,"No",90,1633,88.51,442531.6,1807.463
5200,45,5,4,"No",30,701,39.02,202895.35,1879.456
6300,50,6,5,"No",40,1047,41.56,261847.25,789.937
4800,45,13,15,"Yes",70,1449,101.81,488684.35,1484.515
5000,56,12,10,"Yes",100,497,297.71,1488532.15,1667.755
3000,56,13,7,"No",100,2932,204.32,612962,23.718
10001,60,20,29,"No",75,1201,188.3,1883174.65,52.146
365000,46,350,425,"No",100,4225,245.14,89475420.67,63.074
