"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
450000,75,1000,1820,"No",100,1908,236.14,106261234.8,28.661
56000,80,350,359,"No",60,932,181.28,10151485.05,48.841
75000,45,125,177,"No",100,1596,154.78,11608606.8,44.148
2000,35,1,3,"No",100,1291,4.74,9486.4,1117.742
20750,40,47,58,"No",100,1011,127.91,2654062.95,1155.428
225000,50,1200,1405,"No",100,1028,172.11,38725264.55,19.69
44000,65,150,58,"No",70,4632,141.48,6225079,249.445
5400,40,5,6,"No",85,1083,56.34,304228.05,1879.456
4500,45,8,13,"No",100,3137,362.1,1629462.8,1879.456
500001,45,652,957,"No",98,1075,139.82,69911284.93,48.841
3500,63,5,4,"No",100,4116,281.28,984472.65,75.267
1900,56,2,5,"No",50,561,181.12,344123.92,316.084
2850,40,4,10,"Yes",100,2236,131.16,373818.2,1451.617
52000,60,104,282,"No",98,1061,174.19,9057899.9,315.52
4e+05,66,999,185,"No",60,3339,78.67,31466269.21,23.718
32500,72,100,68,"No",50,950,155.91,5066968.2,55.969
65000,40,250,354,"No",100,1457,178.23,11585219.32,212.426
2600,35,3,5,"No",100,3790,171.48,445846.8,1879.456
3000,40,10,9,"No",75,853,108.36,325071.6,583.351
11000,60,22,32,"No",100,1510,154.21,1696318.4,1023.608
2200,40,5,6,"No",100,1544,134.9,296783.2,1807.463
20000,60,50,73,"No",100,2549,261.58,5231629.2,1162.263
29000,37,36,131,"No",100,1447,177.4,5144471.85,632.517
16000,45,55,85,"No",100,529,349.24,5587831.9,356.198
28000,48,200,172,"No",100,1781,177.49,4969799.63,19.69
265000,40,450,781,"No",100,1597,205.23,54387082.65,52.146
4700,57,9,11,"No",100,3466,299.15,1406022.8,23.718
60000,40,246,390,"No",100,951,366,21960173.2,48.841
30000,60,60,79,"No",95,752,237.26,7117832.05,647.987
7e+05,60,1250,2450,"No",100,1756,212.99,149091087.06,23.718
3e+05,60,418,672,"No",100,1370,95.55,28664036.88,48.841
6e+05,65,925,1250,"No",100,4584,210.98,126587071.67,23.718
130000,55,400,530,"No",100,1264,208.18,27063375.2,53.724
66000,168,428,380,"No",100,165,266.25,17572462.6,249.445
2500,55,3,2,"No",100,2055,104.2,260498,23.718
30000,168,100,120,"No",100,3219,84.08,2522265.2,281.109
126000,168,368,478,"No",100,1052,182.09,22943104.45,26.089
160000,50,244,376,"No",100,1835,110.52,17683387.34,148.303
156000,168,275,300,"No",75,1138,106.37,16594051.09,53.724
5000,40,3,3,"No",66,1741,39.04,195210.05,1807.463
15750,40,5,14,"No",75,934,87.19,1373320.55,1130.475
4000,38,3,8,"Yes",100,1778,175.01,700029.4,1807.463
5900,60,5,9,"No",65,722,158.67,936152.7,1791.31
5300,54,21,29,"Yes",66,1026,317.48,1682630.95,964.604
200001,168,350,560,"No",100,1757,163.74,32749036.23,48.841
18250,40,28,30,"No",100,1595,114.17,2083611.6,1155.428
310000,50,350,553,"No",75,1509,111.04,34421934.63,25.323
290000,50,400,450,"No",100,310,142.46,41312764.01,51.111
4550,60,3,6,"No",33,701,137.56,625917.6,1559.829
420000,45,1519,1277,"No",90,1156,145.66,61178134.53,52.146
11000,45,50,64,"No",80,1401,190.87,2099529.25,1130.475
8e+05,168,2000,1603,"No",90,1146,61.94,49548918.49,25.323
132000,45,130,150,"No",44,4641,101.55,13404962.2,50.319
14000,50,20,21,"No",40,1656,76.71,1073996,1807.463
6300,168,13,14,"No",100,2075,372.15,2344529.6,48.841
4600,45,12,13,"No",100,3793,179.56,825966.4,1162.263
220000,60,354,540,"No",95,984,167.89,36936328.8,48.841
3450,40,8,16,"No",100,1955,104.46,360396.05,1807.463
6700,60,27,36,"No",85,2046,145.93,977723.6,1828.052
1300,48,3,2,"Yes",100,5078,263.41,342428.8,1197.386
5200,40,17,20,"No",100,1326,421.61,2192390.9,1522.982
95000,50,50,70,"No",100,1153,56.95,5410300,79.35
132000,55,600,592,"No",100,3194,186.48,24615230.43,183.793
184000,66,700,1000,"No",100,1426,242.81,44677644.11,53.724
5e+05,60,1000,1253,"No",100,1354,216.94,108468897.6,25.323
4200,40,3,11,"No",80,1824,137.09,575796.55,23.718
3e+05,50,300,380,"No",90,500,83.65,25096207.13,23.251
24000,58,14,30,"Yes",100,3737,124.77,2994590.9,281.109
310000,40,425,587,"No",60,1437,203.61,63120563,25.323
1500,60,4,5,"No",50,1050,112.26,168392.7,1155.428
2750,41,10,17,"Yes",100,1432,328.31,902854.4,1522.982
3e+05,50,650,1000,"No",100,1255,141.53,42459917.85,25.323
2000,61,6,7,"No",100,2871,455.16,910324.8,23.718
33500,80,200,175,"No",100,2161,114.02,3819824.4,583.627
44000,50,155,64,"No",75,1144,171.59,7550137,48.841
20000,60,65,67,"Yes",95,2622,254.95,5098917.6,281.109
1200,50,4,3,"No",100,588,156.28,187537.14,1451.617
4000,35,2,8,"No",100,2486,95.72,382880.75,1879.456
330000,70,304,302,"No",100,1031,504.13,166362462.56,25.323
132000,60,550,413,"No",100,2036,79.38,10478731.2,148.303
52000,50,215,260,"No",95,1087,229.58,11938309.6,545.858
3000,45,3,3,"No",80,1301,38.76,116270,1387.077
2000,70,4,10,"No",100,897,282.81,565614,1879.456
8900,44,31,43,"No",100,1648,154.78,1377532.1,1098.788
10000,144,20,35,"No",100,2058,508.92,5089184.8,1130.475
8e+05,68,2500,5070,"No",75,2108,193.27,154619970.46,16.67
2200,60,1,4,"No",100,797,71.5,157291.05,1868.403
3200,45,4,6,"Yes",50,474,111.69,357409.85,1274.256
265000,50,425,1370,"No",100,2052,157.48,41731328.8,74.845
2500,70,8,17,"No",100,1327,86.08,215194,23.251
465000,59,371,415,"No",90,1229,110.82,51530918.31,15.946
1e+05,40,30,46,"No",50,1227,65.14,6513693.91,787.079
3800,45,8,12,"No",100,1181,95.38,362437.25,1851.67
17750,77,72,52,"No",100,1807,201.94,3584410.2,1023.608
6e+05,60,2000,3424,"No",100,1203,150.29,90172430.55,25.323
285000,45,924,3540,"No",100,235,133.09,37931573.45,23.718
8e+05,55,450,459,"No",85,2105,126.02,100815667.57,6.623
275000,68,900,1100,"No",100,2628,261.67,71959536.07,48.841
96000,60,285,1120,"No",100,1154,359.19,34481809.25,177.345
85000,40,160,309,"No",100,2035,139.91,11892297.55,316.084
3200,45,4,6,"No",90,1725,111.05,355345.2,1069.328
370000,40,500,674,"No",80,1078,75.11,27791875.02,52.146
4e+05,70,1000,5625,"No",90,1256,91.5,36601652.9,52.146
3e+05,168,1500,2435,"No",75,1312,101.12,30335352.6,52.146
17500,38,70,77,"No",100,1338,409.5,7166166.35,1117.742
41000,40,50,7,"No",80,1407,74.73,3064083.75,440.046
2700,35,3,7,"No",100,1369,144.74,390797.05,2249.135
15250,168,3,3,"No",10,1297,27.31,416488.8,1031.346
380000,97,1200,3010,"No",99,652,139.93,53171519.01,19.69
4150,45,7,9,"No",100,981,88.21,366058.7,21.56
80000,50,6,20,"No",60,122,74.07,5925824.1,157.112
3300,48,4,8,"Yes",75,924,482.46,1592125.5,1879.456
41500,72,40,74,"No",43,116,65.69,2726110.1,249.445
49500,73,200,655,"No",95,949,293.03,14505134.35,42.764
9000,168,10,7,"No",100,967,50.83,457458.05,1729.173
8e+05,55,260,258,"No",80,1040,277.2,221756822.1,6.623
355000,76,585,490,"No",100,2157,148.63,52764268.55,23.251
2200,84,5,7,"No",85,1629,386.21,849660,1117.742
190000,60,500,782,"No",100,302,174.2,33098207.1,148.933
10500,60,11,35,"No",50,771,327.99,3443850.55,1145.08
5000,70,7,8,"No",100,1215,154.6,773021.2,810.405
150000,56,300,566,"Yes",90,3482,279.78,41967272.1,183.793
4450,40,6,7,"No",31,944,54.11,240806.05,1851.67
4700,42,9,18,"No",100,2161,126.43,594244,961.783
59000,50,75,100,"No",100,1229,194.85,11496340.8,63.074
144000,55,550,750,"No",100,2118,308.27,44390308.97,50.319
4150,40,7,9,"Yes",100,3843,252.44,1047639.6,1879.456
18000,50,15,16,"No",100,2864,41.31,743604.4,657.711
122000,60,320,359,"No",100,461,147.57,18003013,50.319
3200,45,7,15,"No",60,854,328.88,1052413.6,1031.346
35500,168,52,66,"No",100,2984,262.92,9333668.02,657.711
2000,40,2,3,"No",100,1938,50.2,100399.6,1807.463
14000,40,40,75,"No",60,1539,234.38,3281280.8,583.627
62000,60,175,170,"No",95,612,142.76,8851031.35,217.118
174000,55,60,68,"No",100,864,152.1,26465035.7,150.44
7100,50,10,18,"No",80,690,87.96,624505,1851.67
78000,50,70,40,"No",60,780,70.52,5500708.05,62.703
3600,53,5,5,"No",100,4177,136.74,492270.45,48.841
305000,40,1000,1214,"No",100,1735,452.37,137973870.88,62.141
4800,44,4,7,"Yes",46,385,179.52,861673.54,1461.857
98000,60,285,360,"No",100,2884,262.48,25723494.73,178.394
42000,50,150,162,"No",100,3221,200.16,8406738.9,657.711
4500,40,7,10,"No",100,2029,37.78,170031.4,1807.463
2500,40,3,5,"No",100,325,53.29,133218.05,1655.242
15000,40,5,9,"Yes",100,873,99.26,1488853.8,1879.456
31500,168,70,110,"No",100,678,254.43,8014529.14,52.146
250000,45,400,700,"No",100,1083,194.19,48547391.2,62.141
8e+05,50,2200,4775,"No",80,64,113.81,91047273.8,23.718
36000,84,30,27,"No",100,1830,156.59,5637329.6,632.517
3900,72,12,6,"No",100,1107,109.93,428738.45,1667.755
5000,40,1,1,"No",100,1093,112.39,561960,953.188
26000,50,60,66,"No",58,2118,40.4,1050442.4,1868.403
9000,60,19,40,"No",100,1842,188.35,1695193.5,1130.475
290000,60,875,628,"Yes",100,4636,138.38,40128998,48.841
39500,40,35,46,"No",100,504,54.35,2146702.95,639.722
2800,45,11,16,"Yes",65,585,263.89,738904.04,1851.67
7e+05,168,2400,3844,"No",80,1913,201.21,140849119.85,23.718
4000,50,22,31,"Yes",100,1034,353.78,1415109.86,1107.753
5400,50,7,18,"No",100,1165,173.83,938673.1,31.359
150000,50,80,122,"No",30,1479,173.44,26016454.45,16.67
90000,60,100,142,"No",100,744,198.77,17889074.94,84.056
62000,55,200,265,"No",100,814,95.48,5920041.4,276.953
1500,42,3,7,"Yes",100,2035,372.13,558188.4,1107.753
5400,50,6,10,"No",85,1769,53.77,290334.8,1828.052
7600,50,40,63,"No",100,1861,68.9,523614,1117.742
44000,45,109,116,"No",100,876,48.12,2117325.31,532.964
1200,50,3,12,"No",90,3382,135.72,162859.2,1868.403
7900,40,22,28,"No",100,3864,86.67,684670.35,1868.403
136000,45,200,300,"No",70,763,265.45,36100604.05,321.82
40000,48,45,76,"Yes",100,951,211.31,8452288.95,1162.263
5500,50,19,25,"No",100,824,108.57,597123.1,1461.857
10001,53,35,41,"No",100,918,77.57,775748.75,1145.08
112000,60,160,161,"No",100,475,136.71,15311228.45,57.663
9900,50,5,10,"No",100,854,31.08,307650,2396.734
6700,50,12,36,"No",100,1741,88.84,595246.4,1828.052
5000,43,9,10,"No",100,666,150.11,750540,1667.755
6000,35,1,1,"No",20,1865,35.83,214999.75,1807.463
11000,50,49,90,"No",100,470,669.75,7367200.33,1667.755
6700,40,13,26,"No",75,2215,99.98,669875.15,1879.456
128000,50,250,375,"No",100,942,124.12,15887554.9,16.428
215000,68,800,887,"No",80,900,209.02,44939683.22,52.146
230000,61,600,1075,"No",90,1609,208.3,47908562.48,23.718
4000,60,10,15,"No",100,2097,61.81,247248.4,1729.173
7000,40,10,16,"No",60,224,90.6,634225.2,48.841
37500,50,150,225,"No",100,3850,146.45,5491934,19.69
14000,50,20,25,"No",100,3121,84.43,1182008.8,1162.263
6600,50,5,11,"No",33,651,71.6,472592.4,575.39
2500,60,8,12,"No",100,664,77.29,193230.8,1851.67
5200,80,9,10,"No",15,3190,103.11,536166.4,1879.456
7100,45,23,18,"No",100,2077,99.51,706546.4,1117.742
120000,64,312,588,"No",99,1428,226.87,27223994.35,64.479
5000,60,3,16,"No",100,3845,347.83,1739152.05,23.718
46500,75,75,83,"No",100,1144,336.76,15659254.1,247.574
99000,60,250,255,"No",100,1047,184.88,18303208,52.146
215000,55,625,970,"No",90,641,160.92,34596899.86,48.841
420000,60,425,542,"No",100,629,152.24,63938938.93,25.323
26000,50,76,23,"No",75,2686,699.46,18185857.9,196.322
106000,50,300,500,"No",100,1847,504.92,53521360.67,50.319
2e+05,40,525,733,"No",100,475,261.66,52331644.49,57.663
110000,64,175,175,"No",95,2060,131.16,14427504,50.319
120000,40,420,275,"No",100,124,261.15,31337681.2,20.286
1700,48,4,4,"No",100,230,122.51,208263.65,1667.755
8e+05,62,1534,1653,"No",100,3488,171.24,136989459.35,23.718
17750,168,20,100,"No",80,1842,39.24,696422.3,1031.346
17000,40,33,35,"No",100,2116,95.33,1620626,1069.328
97000,55,150,164,"No",100,1239,65.99,6401113.6,239.385
2500,49,10,13,"No",100,3023,241.91,604768.15,1879.456
1800,52,4,5,"No",100,1690,522.96,941319.05,48.841
4000,40,9,10,"No",100,559,84.18,336715.75,1868.403
230000,40,450,1525,"No",90,470,96.04,22088382.4,62.141
25001,100,50,105,"No",100,1073,514.31,12858205.15,145.504
1200,40,2,3,"No",100,1607,92.85,111419.7,1729.173
186000,168,312,905,"No",100,1706,110.63,20577457.05,64.022
8200,42,20,21,"Yes",100,831,110.97,909971.3,1461.857
95000,55,175,710,"No",100,1348,349.14,33167996.4,62.141
17750,45,55,90,"No",100,1773,199.3,3537607.5,1117.742
2500,50,6,3,"No",100,2702,264.34,660850.4,19.69
5200,45,8,11,"No",100,1754,89.99,467972.75,1451.617
65000,40,60,11,"No",75,1052,126.66,8233208.04,179.596
6700,96,16,26,"No",80,1998,161.67,1083160.4,1828.052
66000,50,175,310,"No",85,1287,177.33,11703952.8,139.17
7500,50,20,25,"No",75,645,95.77,718257.81,1868.403
2500,50,7,15,"No",100,1192,123.13,307824.3,4458.21
43500,168,20,60,"No",100,1681,361.16,15710479.29,321.294
450000,168,1500,2350,"No",85,2090,199.46,89757275.84,23.251
3e+05,55,550,852,"No",100,1602,201.49,60446165.15,86.871
325000,98,425,386,"No",100,2761,159.04,51687758.15,23.251
41500,60,80,96,"No",100,1146,46.6,1934051.35,55.969
3000,168,3,3,"No",100,3815,209.12,627353.65,48.841
10750,50,11,19,"No",100,819,96.73,1039829,964.604
500001,55,400,662,"No",92,2081,160.98,80491685.75,14.6
2500,51,3,5,"No",100,1929,383.6,958991.6,23.718
370000,72,800,1321,"No",90,3352,234.66,86823364.87,23.718
1550,50,4,6,"No",100,1422,147.94,229309.5,1655.242
14500,40,19,11,"No",50,1286,185.76,2693532.8,639.722
164000,60,502,547,"No",95,439,154.96,25414018.82,26.089
16000,40,31,39,"No",100,722,160.89,2574255.6,1031.346
1400,84,7,12,"No",100,768,60.32,84445.2,1559.829
43500,40,150,153,"No",98,3365,140.21,6098979.6,259.352
6300,35,6,4,"No",100,913,55.52,349775.65,1197.386
1600,50,4,6,"No",100,1603,204.3,326882.15,1522.982
76000,90,60,40,"No",75,817,270.33,20545327.6,942.557
33500,60,17,21,"No",100,1218,548.34,18369538.6,62.703
5000,40,4,7,"No",100,3463,350.62,1753105.2,23.718
112000,168,700,848,"No",100,3479,225.91,25301533.6,50.319
6300,37,6,16,"No",100,1487,51.15,322252,961.783
1750,40,3,6,"No",75,1896,191.14,334490.8,1484.515
96000,45,500,910,"No",100,120,899.47,86348711.86,55.969
4500,40,7,15,"No",100,1916,129.63,583334.15,1868.403
250000,55,250,950,"No",98,1247,156.85,39211266.67,19.69
6e+05,168,120,172,"No",90,2303,106.21,63728295.4,62.585
1100,51,3,4,"No",100,2001,279.76,307739.95,19.69
4500,70,6,4,"No",100,1627,124.16,558723.2,23.718
100001,60,600,765,"No",100,510,221.97,22197508.9,57.663
3000,49,8,8,"Yes",100,2268,154.59,463766.8,1451.617
1600,42,6,9,"No",100,2577,122.2,195515.6,1461.857
7e+05,65,3000,4545,"No",80,1305,210.71,147495346.85,25.323
2000,57,4,4,"No",100,2260,394.3,788592,23.718
11000,40,17,21,"No",100,469,99.01,1089149.6,751.727
25000,40,100,126,"No",75,1600,158.58,3964530.15,639.722
12000,50,40,99,"No",75,1384,108.28,1299404.4,632.517
7e+05,40,2100,1272,"No",100,1239,1245.06,871540355.35,23.718
75000,67,100,233,"No",90,3884,234.59,17594178,48.841
160000,40,175,132,"No",100,14,211.44,33830090.98,84.056
7e+05,65,2200,2450,"No",98,1318,274.2,191939670.99,25.323
2750,50,3,7,"Yes",100,144,266.05,731636.5,1655.242
1700,40,3,3,"No",100,902,69.3,117808.6,1559.829
5000,40,20,43,"No",100,2153,281.05,1405230.4,1807.463
4500,45,5,2,"No",100,1144,158.61,713741.35,1197.386
6e+05,67,925,1009,"No",100,1211,130.21,78125700.8,25.323
150000,168,500,450,"No",99,990,162.13,24319122.15,50.319
1500,35,1,3,"No",100,1639,54.44,81664.8,1791.31
25001,60,60,296,"No",100,529,275.05,6876601.9,48.841
28000,168,200,280,"No",100,1888,463.57,12980089.85,1117.742
6000,40,17,17,"No",75,3920,95.22,571314.8,1134.75
2400,60,3,5,"Yes",75,715,75.3,180725.65,25.323
7e+05,66,500,790,"No",75,1162,129.32,90524734.02,25.323
22000,40,24,28,"No",100,54,22.77,500886.4,1667.755
59000,50,187,215,"No",100,500,175.78,10371016.6,7.577
2200,52,5,5,"No",100,3376,462.06,1016530.2,48.841
102000,85,200,245,"No",100,1021,181.73,18535992.3,57.663
310000,76,1279,2255,"No",95,1670,235.68,73060032.37,52.146
68000,168,150,121,"No",100,955,378.17,25715344.45,276.953
39500,55,75,59,"No",95,2313,231.36,9138914.4,48.841
6000,60,12,16,"No",100,2647,155,929981.5,1807.463
6100,168,4,8,"No",90,3710,224.53,1369655.35,23.718
40000,45,25,44,"No",80,1529,103.4,4135881.05,48.841
1700,40,2,4,"No",100,1211,128.18,217912.1,738.088
12250,50,12,50,"Yes",70,2258,171.85,2105135.2,1031.346
5500,47,18,23,"No",100,1488,113.29,623077,1484.515
36500,50,60,68,"No",66,754,98.71,3602803.05,545.858
158000,60,130,460,"No",100,795,287.95,45495350.25,3.785
24000,60,20,60,"Yes",100,1295,258.16,6195778.05,445.923
14000,60,17,15,"No",40,2997,112.18,1570515.45,1117.742
5700,44,26,22,"No",100,1367,92.48,527157.05,1791.31
42000,50,30,48,"No",80,1885,173.22,7275360.75,632.517
4150,40,2,5,"No",80,1314,118.4,491358.7,1851.67
45000,40,20,110,"No",100,394,158.21,7119615.65,63.018
170000,55,380,423,"No",100,3806,182.09,30955164.8,50.319
180000,64,250,556,"No",90,1247,144.72,26049708.65,163.09
3000,54,7,13,"Yes",100,1800,230.17,690496.8,1807.463
2e+05,55,650,1288,"No",100,880,161.03,32205973.8,53.724
55000,45,175,178,"No",85,653,223.39,12286459.5,281.109
4000,54,1,2,"No",100,642,467.45,1869801.5,1107.753
96000,168,600,1000,"No",100,3198,583.86,56050979.6,178.394
345000,59,1100,1420,"No",100,3258,193.83,66870639.8,23.718
27000,50,3,8,"No",33,1172,58.17,1570465.4,653.843
14250,48,27,29,"No",100,999,114.29,1628679.15,1559.829
48500,168,100,120,"No",100,914,872.37,42310099.76,276.953
4400,40,12,14,"Yes",100,986,138.39,608905.85,1851.67
45000,40,62,91,"No",100,419,115.63,5203391.55,63.018
60000,85,150,200,"No",100,1202,342.77,20566302.4,213.483
58000,50,93,27,"No",70,131,117.61,6821153.5,833.878
5000,60,10,8,"No",100,1827,264.08,1320405.8,31.847
61000,60,175,83,"No",100,683,112.55,6865337.85,20.781
2400,48,3,8,"No",30,1892,139.46,334707.1,1807.463
2000,40,3,4,"No",100,963,109.34,218689.8,1868.403
97000,50,300,400,"No",100,1717,271.59,26343966.17,143.946
45000,40,40,137,"No",75,1187,133.99,6029504.95,178.394
3200,36,5,8,"Yes",100,1271,133.09,425882.45,1729.173
39500,40,40,45,"No",100,1802,86.25,3407062.4,48.841
4350,50,15,10,"No",100,3675,83.29,362320,1879.456
2950,44,2,7,"No",100,1546,60.13,177370.9,1791.31
32000,40,70,121,"No",100,913,235.99,7551780.49,279.456
6100,40,3,4,"No",66,3611,22.23,135584.4,1879.456
7e+05,80,1509,1870,"No",90,1254,187.32,131126109.44,25.323
116000,40,400,455,"No",100,1037,143.84,16685611.66,84.056
34000,45,48,35,"No",100,1124,169.95,5778406.9,356.198
225000,168,1100,620,"No",90,1001,196.28,44163087.17,15.946
76000,55,177,218,"No",100,1585,196.47,14931505.4,48.841
380000,50,1000,1012,"No",100,1652,135.51,51493617.46,143.946
18000,45,46,73,"Yes",100,1750,27.56,496137.6,579.248
95000,65,50,214,"No",100,1056,184.97,17571899.76,157.112
25500,40,40,42,"No",90,807,278.17,7093223.6,223.942
325000,45,469,378,"No",90,3499,189.47,61578309.5,90.622
186000,50,250,383,"No",100,3950,175.33,32611930.69,24.435
62000,60,200,297,"No",100,3387,309.05,19160888.74,48.841
24000,84,24,4,"No",100,1569,220.61,5294745.05,1655.242
8000,56,5,6,"No",100,1761,146.89,1175146.7,48.841
1600,50,4,9,"No",100,500,117.44,187898.9,1559.829
13500,54,41,62,"No",85,468,152.94,2064738.2,583.627
295000,55,300,420,"No",90,2097,160.54,47359764.24,48.841
1001,37,1,1,"No",80,833,17.7,17721.2,1828.052
27000,40,121,156,"No",100,1970,174.3,4706215.85,519.502
16750,40,10,19,"No",100,1783,101.92,1707242.25,499.12
126000,60,300,320,"No",100,863,153.06,19285780.5,53.724
67000,50,290,329,"No",100,175,155.64,10428181.4,249.445
350000,50,900,880,"No",100,4904,177.66,62181064.04,17.191
24000,48,25,16,"No",100,1597,133.55,3205258.7,632.517
1200,40,4,4,"No",100,2201,226.24,271482.75,23.718
24750,50,34,52,"No",75,1112,110.4,2732468.55,653.843
53000,49,16,22,"No",30,1422,51.66,2737925.4,74.845
50000,168,100,100,"No",100,1791,369.73,18486599.95,626.865
7500,60,15,18,"No",95,1662,102.27,767050.9,1274.256
8e+05,55,533,895,"No",100,1117,53.94,43151385.2,52.146
9200,50,9,22,"No",100,1224,347.34,3195507.35,1484.515
23000,50,80,28,"No",80,1881,283.48,6519969.2,632.517
5e+05,60,1000,1022,"No",100,1070,141.39,70695435.98,62.141
4900,50,7,7,"Yes",100,855,183.15,897424.15,1484.515
168000,80,50,61,"No",40,1073,315.22,52957325.05,228.758
9000,60,1,20,"No",100,741,223.28,2009550.2,1145.08
380000,55,621,833,"No",78,1589,149.87,56950636.62,48.841
5900,50,15,25,"Yes",90,894,195.54,1153672.1,1851.67
2850,40,4,21,"No",100,1565,93.57,266680.4,1807.463
44500,60,30,38,"No",100,3637,136.3,6065466.4,61.581
150000,55,150,259,"No",30,1301,160.74,24111564.81,89.5
102000,80,360,650,"Yes",100,1825,286.68,29240988.03,53.724
305000,60,425,494,"No",100,975,161.72,49325810.8,61.581
2500,40,3,3,"No",100,2917,52.84,132106.8,1879.456
210000,60,900,1246,"No",100,1067,265.01,55652089.52,52.146
26000,168,65,195,"No",90,1241,691.76,17985710.05,62.141
6500,45,8,11,"No",100,1789,161.42,1049232.8,2140.906
3200,100,3,4,"No",100,198,16.12,51570.4,2249.135
6e+05,55,900,495,"No",80,1213,147.81,88684911.35,6.203
270000,65,418,516,"No",100,1490,241.87,65304598.21,48.841
1200,55,4,7,"No",60,2239,138.78,166538.4,1522.982
13500,40,41,91,"No",90,1309,51.48,695029.3,639.722
6000,70,6,18,"No",66,961,127.12,762692,1851.67
25000,168,80,46,"No",50,1220,75,1874922,74.845
470000,55,1200,1220,"No",100,1878,175.05,82271813.98,23.718
2200,48,3,5,"No",100,3855,85.7,188549.2,48.841
2000,40,5,12,"No",100,1734,164.9,329800.8,4637.851
11000,48,32,31,"No",75,819,179.79,1977739.05,1667.755
6000,56,4,5,"No",100,3643,187.63,1125786.9,23.718
3000,45,14,20,"No",100,2939,108.31,324931.25,1879.456
37000,54,91,108,"No",100,1201,169.16,6259024.45,657.711
73000,60,200,309,"No",100,3071,290.23,21187104.4,274.455
6000,40,5,8,"No",100,918,72.07,432406.45,1559.829
51000,168,175,250,"No",100,1411,332.59,16962051.1,160.426
6000,44,14,20,"No",100,2279,434.21,2605239,880.783
6300,60,10,9,"No",100,3067,402.55,2536088.45,17.191
13500,40,20,24,"No",85,2837,68.52,925075.2,657.711
2100,35,2,3,"No",100,2033,73.58,154515.2,1451.617
7e+05,60,1500,2350,"No",85,53,99.62,69731677,23.718
40000,43,50,51,"Yes",75,2027,368.59,14743569.05,226.828
10500,50,25,30,"No",75,1885,649.22,6816810.35,692.221
8300,60,27,35,"No",100,1533,122.72,1018586.8,48.841
43000,40,50,59,"No",100,213,94.78,4075445.28,499.12
64000,55,100,91,"No",100,1621,77.98,4990579.97,212.426
8900,45,5,6,"No",100,919,108.47,965393.45,964.604
156000,105,800,1130,"No",81,531,149.62,23340582.63,64.601
70000,60,250,173,"No",80,840,155.32,10872615.6,233.303
4850,40,9,12,"No",100,1705,75.37,365531.6,1807.463
74000,61,228,201,"No",100,4898,132.19,9782157.87,48.841
1500,40,4,7,"No",100,2044,170.9,256343.85,1117.742
8000,40,20,21,"No",100,709,64.69,517531,1390.874
290000,60,875,1176,"No",100,4325,150.43,43625674.4,23.718
15250,40,4,10,"No",100,1984,59.51,907525.5,365.059
24750,50,35,25,"No",70,2008,154.92,3834375.65,23.718
6500,54,6,12,"Yes",100,729,212.12,1378775.65,1868.403
6000,44,4,9,"No",100,1637,24.01,144068.4,1791.31
4600,168,3,9,"No",100,429,97.45,448255.5,1667.755
47000,48,200,225,"No",100,1513,144.6,6796269.2,639.722
1001,40,2,4,"Yes",100,1728,515.7,516210.8,1807.463
7e+05,60,1500,1450,"No",20,61,104.16,72915317.44,10.856
8000,90,8,9,"No",100,3270,311.95,2495594.15,48.841
6700,40,15,16,"No",100,1464,66.6,446219.2,365.059
2e+05,40,600,915,"No",80,1433,189.56,37912970.9,17.175
18500,72,50,70,"No",75,467,299.11,5533503.85,158.3
6e+05,168,317,406,"No",60,1409,244.57,146739016.4,84.056
3200,45,8,15,"No",100,779,70.64,226047.5,1868.403
2000,45,4,6,"No",100,2078,197.64,395271.45,1868.403
43500,42,30,45,"No",75,1418,126.24,5491399.2,751.727
12000,40,5,16,"No",100,1559,99.93,1199186.8,440.046
146000,45,550,537,"No",100,3512,361.08,52718395.94,64.983
3500,45,12,10,"No",100,1363,109.08,381783.5,1807.463
118000,50,400,1366,"No",90,1030,245.56,28976375.5,148.303
1500,32,4,5,"Yes",100,1257,189.45,284178.3,1522.982
184000,55,900,904,"No",100,161,142.83,26281142.01,50.319
13000,70,35,102,"No",100,2568,189.44,2462656.35,1162.263
