"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",179,9,9,0.776,0.766,6910.967,83.132,59.508,0.387,53.415,11.734,38.899
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",179,6,6,0.718,0.71,6377.08,79.857,58.904,0.423,51.31,11.272,37.366
"E1","SOURCE_ENERGY","Reg",1,"meanCent",179,9,9,0.866,0.86,59363941911727.2,7704799.927,4416239.516,0.838,35.247,6.482,50.873
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",179,5,5,0.862,0.858,55612409485647.3,7457372.827,4375272.753,1.12,34.115,6.274,49.239
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",179,35,37,0.824,0.783,5277.196,72.644,54.353,0.381,46.676,10.254,33.991
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",179,18,18,0.801,0.78,4849.933,69.641,49.671,0.367,44.746,9.83,32.586
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",179,35,37,0.939,0.925,47112345246445.5,6863843.329,3184466.87,0.404,31.4,5.775,45.32
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",179,20,20,0.914,0.903,39388565977434.9,6276031.069,3735216.991,0.873,28.711,5.28,41.439
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",179,69,93,0.876,0.799,3553.439,59.611,39.841,0.321,38.302,8.414,27.893
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",179,56,56,0.866,0.806,3076.413,55.465,38.42,0.328,35.638,7.829,25.953
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",179,69,93,0.962,0.939,41526279726864.9,6444088.743,2508465.835,0.407,29.48,5.421,42.549
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",179,53,53,0.927,0.897,27046682387240.7,5200642.498,3140826.212,1.08,23.792,4.375,34.338
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",179,84,163,0.884,0.782,3397.248,58.286,38.558,0.318,37.45,8.227,27.273
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",179,71,71,0.877,0.798,2677.195,51.742,35.559,0.296,33.246,7.303,24.211
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",179,84,163,0.968,0.94,38395037286892.6,6196372.914,2295504.684,0.384,28.347,5.213,40.913
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",179,71,71,0.932,0.888,23122964328455.8,4808634.352,2793671.574,0.957,21.998,4.045,31.75
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",179,90,219,0.886,0.772,3132.525,55.969,36.851,0.308,35.962,7.9,26.189
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",179,79,79,0.88,0.786,2547.13,50.469,33.538,0.275,32.428,7.124,23.615
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",179,90,219,0.974,0.948,32196545412352.5,5674199.98,2020320.032,0.379,25.958,4.774,37.465
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",179,78,78,0.946,0.905,20714315472824.6,4551298.218,2583029.688,0.906,20.821,3.829,30.051
"E2","SOURCE_EUI","Reg_Int",6,"meanCent",179,91,247,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"E2","SOURCE_EUI","Reg_AIC_Int",6,"meanCent",179,79,79,0.88,0.786,2547.13,50.469,33.538,0.275,32.428,7.124,23.615
"E2","SOURCE_ENERGY","Reg_Int",6,"meanCent",179,91,247,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"E2","SOURCE_ENERGY","Reg_AIC_Int",6,"meanCent",179,88,88,0.946,0.895,19737432015324.5,4442682.975,2386734.717,0.85,20.324,3.738,29.334
"E2","SOURCE_EUI","Reg_Int",7,"meanCent",179,91,255,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"E2","SOURCE_EUI","Reg_AIC_Int",7,"meanCent",179,79,79,0.88,0.786,2547.13,50.469,33.538,0.275,32.428,7.124,23.615
"E2","SOURCE_ENERGY","Reg_Int",7,"meanCent",179,91,255,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"E2","SOURCE_ENERGY","Reg_AIC_Int",7,"meanCent",179,88,88,0.946,0.895,19737432015324.5,4442682.975,2386734.717,0.85,20.324,3.738,29.334
"E2","SOURCE_EUI","Reg_Int",8,"meanCent",179,91,256,0.886,0.769,3135.993,56,36.964,0.308,35.982,7.904,26.203
"E2","SOURCE_EUI","Reg_AIC_Int",8,"meanCent",179,79,79,0.88,0.786,2547.13,50.469,33.538,0.275,32.428,7.124,23.615
"E2","SOURCE_ENERGY","Reg_Int",8,"meanCent",179,91,256,0.974,0.947,32223894252026.3,5676609.398,2021816.6,0.378,25.969,4.776,37.481
"E2","SOURCE_ENERGY","Reg_AIC_Int",8,"meanCent",179,88,88,0.946,0.895,19737432015324.5,4442682.975,2386734.717,0.85,20.324,3.738,29.334
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",179,8,8,0.984,0.984,1400.533,37.424,23.401,0.156,24.046,5.282,17.511
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",179,8,8,0.999,0.999,119.059,10.911,6.354,0.039,7.011,1.54,5.105
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",179,8,8,0.97,0.969,2275.005,47.697,30.163,0.199,30.647,6.732,22.318
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",179,8,8,0.808,0.801,4455.842,66.752,48.678,0.355,42.89,9.422,31.234
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",179,8,8,0.844,0.837,3886.078,62.338,46.401,0.331,40.054,8.799,29.169
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",179,8,8,1,1,0.642,0.801,0.526,0.004,0.515,0.113,0.375
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",179,8,8,0.995,0.995,3405860392384.97,1845497.329,1074505.349,0.2,8.443,1.553,12.185
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",179,8,8,1,1,233457529627.534,483174.43,265825.224,0.06,2.21,0.406,3.19
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",179,8,8,1,1,1082106150.184,32895.382,21840.032,0.006,0.15,0.028,0.217
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",179,8,8,0.984,0.983,10622644261779.9,3259239.829,1843804.575,0.293,14.91,2.742,21.52
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",179,8,8,0.988,0.988,7503307270114.6,2739216.543,1541117.457,0.29,12.531,2.304,18.086
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",179,8,8,1,1,14.399,3.795,1.749,0,0,0,0
