"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",333,7,7,0.159,0.144,1596.89,39.961,31.639,0.327,73.892,18.852,34.795
"E1","SOURCE_EUI","Reg_AIC",1,"meanCent",333,7,7,0.159,0.144,1596.89,39.961,31.639,0.327,73.892,18.852,34.795
"E1","SOURCE_ENERGY","Reg",1,"meanCent",333,7,7,0.307,0.295,132042431002815,11490971.717,6782547.523,0.987,97.706,12.046,85.846
"E1","SOURCE_ENERGY","Reg_AIC",1,"meanCent",333,6,6,0.426,0.417,111406709798177,10554937.698,7033607.358,1.439,89.747,11.065,78.853
"E2","SOURCE_EUI","Reg_Int",2,"meanCent",333,22,22,0.215,0.162,1581.593,39.769,31.672,0.32,73.537,18.762,34.628
"E2","SOURCE_EUI","Reg_AIC_Int",2,"meanCent",333,11,11,0.131,0.104,1531.782,39.138,30.877,0.315,72.371,18.464,34.078
"E2","SOURCE_ENERGY","Reg_Int",2,"meanCent",333,22,22,0.464,0.428,108703694465030,10426106.39,6157730.197,0.72,88.651,10.929,77.891
"E2","SOURCE_ENERGY","Reg_AIC_Int",2,"meanCent",333,11,11,0.498,0.482,98263577193158.9,9912798.656,6386191.585,0.969,84.287,10.391,74.056
"E2","SOURCE_EUI","Reg_Int",3,"meanCent",333,42,42,0.303,0.205,1534.049,39.167,31.172,0.316,72.424,18.478,34.104
"E2","SOURCE_EUI","Reg_AIC_Int",3,"meanCent",333,19,19,0.172,0.124,1476.153,38.421,30.112,0.303,71.045,18.126,33.454
"E2","SOURCE_ENERGY","Reg_Int",3,"meanCent",333,42,42,0.533,0.467,97258194919160.8,9861956.952,5909589.483,0.64,83.854,10.338,73.676
"E2","SOURCE_ENERGY","Reg_AIC_Int",3,"meanCent",333,27,27,0.54,0.501,87496755959000.4,9353970.064,6072708.963,0.939,79.535,9.806,69.881
"E2","SOURCE_EUI","Reg_Int",4,"meanCent",333,57,57,0.399,0.277,1391.523,37.303,28.836,0.292,68.977,17.598,32.481
"E2","SOURCE_EUI","Reg_AIC_Int",4,"meanCent",333,40,40,0.312,0.22,1343.167,36.649,28.616,0.286,67.768,17.29,31.911
"E2","SOURCE_ENERGY","Reg_Int",4,"meanCent",333,57,57,0.588,0.505,93309677620398.5,9659693.454,5635598.63,0.582,82.135,10.126,72.165
"E2","SOURCE_ENERGY","Reg_AIC_Int",4,"meanCent",333,33,33,0.552,0.504,85101805076817.1,9225063.961,5964224.629,0.944,78.439,9.67,68.918
"E2","SOURCE_EUI","Reg_Int",5,"meanCent",333,63,63,0.418,0.284,1366.914,36.972,28.232,0.286,68.365,17.442,32.192
"E2","SOURCE_EUI","Reg_AIC_Int",5,"meanCent",333,58,58,0.352,0.218,1285.395,35.852,27.354,0.276,66.294,16.914,31.217
"E2","SOURCE_ENERGY","Reg_Int",5,"meanCent",333,63,63,0.596,0.504,91787661249869.4,9580587.73,5511139.439,0.557,81.462,10.043,71.574
"E2","SOURCE_ENERGY","Reg_AIC_Int",5,"meanCent",333,45,45,0.559,0.492,83716637251976.8,9149679.626,5854445.989,0.897,77.798,9.591,68.355
"E2","SOURCE_EUI","Reg_Int",6,"meanCent",333,64,64,0.429,0.295,1351.406,36.761,27.696,0.28,67.975,17.343,32.009
"E2","SOURCE_EUI","Reg_AIC_Int",6,"meanCent",333,64,64,0.429,0.295,1351.406,36.761,27.696,0.28,67.975,17.343,32.009
"E2","SOURCE_ENERGY","Reg_Int",6,"meanCent",333,64,64,0.597,0.503,91722922525818.2,9577208.493,5481063.867,0.548,81.433,10.04,71.549
"E2","SOURCE_ENERGY","Reg_AIC_Int",6,"meanCent",333,45,45,0.559,0.492,83716637251976.8,9149679.626,5854445.989,0.897,77.798,9.591,68.355
"E3b","SOURCE_EUI","xgboost_default",2,"meanCent",333,6,6,0.78,0.777,584.767,24.182,18.502,0.187,44.715,11.408,21.056
"E3b","SOURCE_EUI","xgboost_default",3,"meanCent",333,6,6,0.937,0.936,214.655,14.651,10.624,0.105,27.091,6.912,12.757
"E3b","SOURCE_EUI","xgboost_random",1,"meanCent",333,6,6,1,1,0.008,0.09,0.063,0.001,0.166,0.042,0.078
"E3b","SOURCE_EUI","xgboost_grid",2,"meanCent",333,6,6,0.174,0.161,1456.502,38.164,29.843,0.303,70.57,18.004,33.23
"E3b","SOURCE_EUI","xgboost_grid",3,"meanCent",333,6,6,0.295,0.284,1217.187,34.888,27.137,0.267,64.512,16.459,30.378
"E3b","SOURCE_EUI","xgboost_adaptive",1,"meanCent",333,6,6,1,1,0.009,0.092,0.063,0.001,0.17,0.043,0.08
"E3b","SOURCE_ENERGY","xgboost_default",2,"meanCent",333,6,6,0.798,0.794,38356036272368.8,6193225.03,3897235.797,0.444,52.66,6.492,46.268
"E3b","SOURCE_ENERGY","xgboost_default",3,"meanCent",333,6,6,0.95,0.949,15020695280270.8,3875654.174,2176111.603,0.22,32.954,4.063,28.954
"E3b","SOURCE_ENERGY","xgboost_random",1,"meanCent",333,6,6,1,1,3.289,1.814,1.159,0,0,0,0
"E3b","SOURCE_ENERGY","xgboost_grid",2,"meanCent",333,6,6,0.515,0.508,90923337361622.2,9535372.953,5654067.49,0.638,81.077,9.996,71.236
"E3b","SOURCE_ENERGY","xgboost_grid",3,"meanCent",333,6,6,0.65,0.645,65162899771206.5,8072354.041,4997682.575,0.56,68.638,8.462,60.306
"E3b","SOURCE_ENERGY","xgboost_adaptive",1,"meanCent",333,6,6,1,1,145.043,12.043,8.555,0,0,0,0
