"model","r2","adjr2","mse","rmse","mae","nrmse_iqr","nrmse_range","nrmse_mean"
"MLR",0,0,0,0,0,0,0,0
"MLRi2",8.07,7.1,18950733953538.2,1010972.35,751220.27,8.07,0.92,8.23
"MLRi3",10.48,8.15,32389313545167.6,1766841.25,1367403.55,12.02,1.53,12.48
"MLRi4",12.47,9.3,44202297602615.5,2795704.29,2061074.6,15.73,2.29,16.72
"GBTi2",10.82,11.18,50758988932925.2,3421579.68,1996385.9,21.43,2.82,22.67
"GBTi3",16.38,16.83,54414443300662.9,3708174.01,2072300.34,30.78,3.53,31.56
